区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
八王子市／100m2未満,759,14,43261,0,68,12,3039,0,827,14,46299,0
八王子市／200m2未満,1144,22,167819,1,36,6,4930,0,1180,20,172748,1
八王子市／300m2未満,506,10,124928,1,38,7,9176,0,544,9,134105,0
八王子市／500m2未満,580,11,223953,1,52,9,19869,0,632,11,243821,1
"八王子市／1,000m2未満",547,10,395126,2,63,11,47389,0,610,10,442515,1
"八王子市／2,000m2未満",473,9,684855,4,43,7,65222,1,516,9,750077,2
"八王子市／5,000m2未満",566,11,1843961,10,85,15,282358,2,651,11,2126319,7
"八王子市／10,000m2未満",322,6,2294118,12,57,10,424524,3,379,6,2718642,9
"八王子市／10,000m2以上",404,8,13065473,69,132,23,11957089,93,536,9,25022562,79
八王子市／計,5301,100,18843493,100,574,100,12813595,100,5875,100,31657089,100
立川市／100m2未満,6,21,353,1,1,100,37,100,7,24,390,1
立川市／200m2未満,2,7,296,1,0,0,0,0,2,7,296,1
立川市／300m2未満,2,7,402,2,0,0,0,0,2,7,402,2
立川市／500m2未満,4,14,1669,6,0,0,0,0,4,14,1669,6
"立川市／1,000m2未満",5,18,3211,12,0,0,0,0,5,17,3211,12
"立川市／2,000m2未満",5,18,6754,26,0,0,0,0,5,17,6754,26
"立川市／5,000m2未満",4,14,13401,51,0,0,0,0,4,14,13401,51
"立川市／10,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"立川市／10,000m2以上",0,0,0,0,0,0,0,0,0,0,0,0
立川市／計,28,100,26087,100,1,100,37,100,29,100,26124,100
武蔵野市／100m2未満,0,0,0,0,0,0,0,0,0,0,0,0
武蔵野市／200m2未満,1,100,180,100,0,0,0,0,1,100,180,100
武蔵野市／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
武蔵野市／500m2未満,0,0,0,0,0,0,0,0,0,0,0,0
"武蔵野市／1,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"武蔵野市／2,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"武蔵野市／5,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"武蔵野市／10,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"武蔵野市／10,000m2以上",0,0,0,0,0,0,0,0,0,0,0,0
武蔵野市／計,1,100,180,100,0,0,0,0,1,100,180,100
三鷹市／100m2未満,1,4,39,0,0,0,0,0,1,4,39,0
三鷹市／200m2未満,2,8,279,2,0,0,0,0,2,8,279,0
三鷹市／300m2未満,3,12,686,5,0,0,0,0,3,12,686,1
三鷹市／500m2未満,8,32,2857,20,0,0,0,0,8,31,2857,4
"三鷹市／1,000m2未満",8,32,5756,40,0,0,0,0,8,31,5756,7
"三鷹市／2,000m2未満",3,12,4809,33,0,0,0,0,3,12,4809,6
"三鷹市／5,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"三鷹市／10,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"三鷹市／10,000m2以上",0,0,0,0,1,100,64909,100,1,4,64909,82
三鷹市／計,25,100,14426,100,1,100,64909,100,26,100,79334,100
青梅市／100m2未満,288,9,15443,0,18,6,1023,0,306,9,16466,0
青梅市／200m2未満,311,10,47124,0,20,7,2797,0,331,10,49921,0
青梅市／300m2未満,222,7,55554,0,15,5,3725,0,237,7,59279,0
青梅市／500m2未満,284,9,110107,0,18,6,6816,0,302,9,116923,0
"青梅市／1,000m2未満",348,11,255840,1,29,10,20500,0,377,11,276340,1
"青梅市／2,000m2未満",341,11,492833,2,33,11,46922,0,374,11,539755,2
"青梅市／5,000m2未満",469,15,1592138,7,32,11,104140,1,501,15,1696277,5
"青梅市／10,000m2未満",311,10,2268139,9,28,10,212186,2,339,10,2480325,7
"青梅市／10,000m2以上",520,17,19160633,80,100,34,9830976,96,620,18,28991609,85
青梅市／計,3094,100,23997812,100,293,100,10229085,100,3387,100,34226897,100
昭島市／100m2未満,8,18,457,1,1,9,3,0,9,16,460,0
昭島市／200m2未満,9,20,1299,3,2,18,366,0,11,20,1665,1
昭島市／300m2未満,10,23,2315,6,1,9,251,0,11,20,2566,1
昭島市／500m2未満,5,11,1749,4,1,9,362,0,6,11,2111,1
"昭島市／1,000m2未満",8,18,5135,13,1,9,519,0,9,16,5654,3
"昭島市／2,000m2未満",1,2,1037,3,1,9,1524,1,2,4,2561,1
"昭島市／5,000m2未満",1,2,2031,5,0,0,0,0,1,2,2031,1
"昭島市／10,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"昭島市／10,000m2以上",2,5,26179,65,4,36,141334,98,6,11,167513,91
昭島市／計,44,100,40201,100,11,100,144359,100,55,100,184561,100
調布市／100m2未満,6,14,314,1,3,50,149,4,9,19,463,2
調布市／200m2未満,10,24,1474,7,0,0,0,0,10,21,1474,6
調布市／300m2未満,2,5,486,2,0,0,0,0,2,4,486,2
調布市／500m2未満,7,17,2675,13,1,17,394,10,8,17,3069,12
"調布市／1,000m2未満",11,26,7441,35,0,0,0,0,11,23,7441,30
"調布市／2,000m2未満",5,12,6453,31,1,17,1013,25,6,13,7466,30
"調布市／5,000m2未満",1,2,2172,10,1,17,2533,62,2,4,4705,19
"調布市／10,000m2未満",0,0,0,0,0,0,0,0,0,0,0,0
"調布市／10,000m2以上",0,0,0,0,0,0,0,0,0,0,0,0
調布市／計,42,100,21015,100,6,100,4089,100,48,100,25104,100
町田市／100m2未満,369,14,20975,0,34,16,1442,0,403,14,22417,0
町田市／200m2未満,539,21,79063,2,27,12,4063,0,566,20,83125,1
町田市／300m2未満,252,10,61961,1,15,7,3764,0,267,10,65725,1
町田市／500m2未満,302,12,113720,3,15,7,6082,0,317,11,119802,2
"町田市／1,000m2未満",325,13,230912,5,26,12,19464,2,351,13,250376,4
"町田市／2,000m2未満",300,12,431732,10,27,12,39075,3,327,12,470808,8
"町田市／5,000m2未満",295,11,951996,22,42,19,142914,11,337,12,1094910,20
