摘要,全地目／所有者数(人),全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数(人),宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,1202761,99.3,172115,84.4,1200302,99.4,170567,85.6
区部／2000m2以上,8115,0.7,31909,15.6,7389,0.6,28790,14.4
区部／計,1210876,100,204023,100,1207691,100,199357,100
市部／2000m2未満,909679,98,181568,56.1,881420,99,166804,82.8
市部／2000m2以上,18954,2,142020,43.9,8462,1,34624,17.2
市部／計,928633,100,323588,100,889882,100,201428,100
区市計／2000m2未満,2112440,98.7,353683,67,2081722,99.2,337371,84.2
区市計／2000m2以上,27069,1.3,173928,33,15851,0.8,63414,15.8
区市計／計,2139509,100,527611,100,2097573,100,400785,100
