年度（昭和・平成）,区部／計画延長(km),多摩地域／計画延長(km),島しょ部／計画延長(km),その他／計画延長(km),合計／計画延長(km),区部／完成延長(km),多摩地域／完成延長(km),島しょ部／完成延長(km),その他／完成延長(km),合計／完成延長(km),区部／完成率(%),多摩地域／完成率(%),島しょ部／完成率(%),その他／完成率(%),合計／完成率(%)
58,1673,1298,6,,2977,842,436,4,,1282,50.3,33.6,66.7,,43.1
5,1728,1382,10,,3120,926,555,6,,1487,53.6,40.2,60,,47.7
14,1771,1425,10,,3206,1019,718,7,,1744,57.5,50.4,74.1,,54.4
15,1773,1425,10,,3207,1024,724,8,,1756,57.8,50.8,79.7,,54.8
16,1774,1425,10,,3208,1028,729,9,,1766,58,51.2,86.4,,55
17,1775,1425,10,,3210,1039,737,9,,1785,58.5,51.7,86.4,,55.6
18,1777,1428,10,,3215,1047,745,9,,1801,58.9,52.2,86.4,,56
19,1764,1428,10,,3202,1049,753,9,,1811,59.5,52.7,86.4,,56.6
20,1759,1429,10,3,3202,1053,759,8,0,1822,59.9,53.1,86.4,5.7,56.9
21,1759,1426,10,3,3198,1058,807,8,0,1875,60.1,56.6,86.4,3.2,58.6
22,1759,1426,10,3,3198,1094,827,8,0,1931,62.2,58,86.4,7.8,60.3
23,1760,1427,10,3,3200,1099,830,8,0,1939,62.4,58.2,86.4,7.8,60.5
24,1764,1428,10,3,3206,1127,842,10,0,1980,63.8,58.9,100,25.7,61.7
25,1766,1430,10,,3207,1135,852,10,,1997,64.2,59.5,100,,62.2
26,1767,1431,10,,3208,1143,855,10,,2009,64.7,59.7,100,,62.6
27,1768,1431,10,,3209,1147,864,10,,2021,64.8,60.3,100,,62.9
28,1769,1431,10,,3210,1157,873,10,,2040,65.4,61,100,,63.5
29,1770,1433,10,,3213,1162,881,10,,2053,65.6,61.5,100,,63.9
30,1770,1431,10,,3212,1164,884,10,,2058,65.7,61.7,100,,64
