区市名,平成31年／個人(千m2),平成31年／法人(千m2),平成31年／計(千m2),平成30年／個人(千m2),平成30年／法人(千m2),平成30年／計(千m2),平成31年-平成30年／個人(千m2),平成31年-平成30年／法人(千m2),平成31年-平成30年／計(千m2)
区部／千代田区,581,2543,3124,599,2567,3167,-18,-25,-43
区部／中央区,707,2402,3108,713,2404,3118,-7,-3,-9
区部／港区,1875,5434,7309,1915,5391,7307,-40,43,3
区部／新宿区,4756,3474,8230,4818,3441,8259,-62,33,-29
区部／文京区,3269,1688,4957,3292,1685,4977,-23,3,-20
区部／台東区,2393,1649,4041,2431,1621,4052,-38,27,-11
区部／墨田区,3877,2083,5960,3919,2057,5977,-42,26,-17
区部／江東区,3857,8586,12444,3908,8563,12471,-51,23,-27
区部／品川区,5756,4013,9770,5811,4032,9844,-55,-19,-74
区部／目黒区,6100,1968,8068,6141,1925,8066,-41,43,2
区部／大田区,15667,6855,22522,15756,6802,22558,-89,54,-36
区部／世田谷区,25308,5694,31002,25383,5663,31046,-76,31,-44
区部／渋谷区,3846,2878,6724,3888,2846,6733,-42,32,-9
区部／中野区,7485,1623,9108,7545,1590,9135,-60,32,-27
区部／杉並区,17251,2725,19976,17314,2668,19981,-63,58,-5
区部／豊島区,5232,1747,6979,5270,1730,7000,-38,17,-21
区部／北区,5939,2728,8668,5994,2729,8723,-55,-1,-55
区部／荒川区,3446,1286,4732,3480,1268,4748,-34,19,-15
区部／板橋区,11509,4299,15808,11585,4261,15846,-76,38,-38
区部／練馬区,23382,3044,26426,23455,2983,26438,-73,61,-12
区部／足立区,20268,5308,25576,20380,5191,25571,-112,117,5
区部／葛飾区,12632,2772,15404,12678,2735,15413,-46,37,-9
区部／江戸川区,17005,4696,21701,17066,4643,21709,-61,52,-9
区部／区部計,202140,79495,281636,203341,78797,282138,-1201,699,-502
市部／八王子市,30850,7563,38413,30778,7336,38114,72,227,299
市部／立川市,7838,2995,10833,7829,2973,10802,9,22,31
市部／武蔵野市,5112,1206,6318,5120,1193,6313,-8,14,5
市部／三鷹市,7262,1410,8672,7257,1388,8645,5,22,27
市部／青梅市,10445,2185,12629,10451,2145,12597,-7,39,32
市部／府中市,9828,3143,12972,9824,3128,12951,5,16,20
市部／昭島市,5200,2429,7629,5198,2379,7577,2,50,52
市部／調布市,8435,1790,10225,8399,1819,10218,36,-28,8
市部／町田市,24063,4302,28365,24012,4259,28272,50,43,93
市部／小金井市,5091,662,5753,5093,638,5731,-2,24,23
市部／小平市,8569,1733,10302,8516,1740,10257,53,-7,46
市部／日野市,8798,2492,11290,8767,2473,11241,31,18,49
市部／東村山市,6798,949,7747,6780,909,7689,18,40,58
市部／国分寺市,5276,1135,6411,5267,1114,6381,9,21,30
市部／国立市,3387,749,4136,3385,751,4136,1,-2,-1
市部／福生市,3107,515,3622,3117,503,3619,-10,12,3
市部／狛江市,3080,358,3438,3075,344,3419,4,15,19
市部／東大和市,4460,722,5182,4454,708,5162,6,14,20
市部／清瀬市,3054,581,3635,3033,584,3618,21,-3,18
市部／東久留米市,5570,1161,6730,5548,1139,6687,21,22,44
市部／武蔵村山市,4567,883,5450,4547,872,5418,20,11,32
市部／多摩市,5975,2157,8132,5963,2154,8117,12,4,15
市部／稲城市,3906,1003,4910,3875,1005,4880,32,-2,30
市部／羽村市,3597,1847,5444,3614,1826,5440,-17,21,4
市部／あきる野市,7468,875,8343,7431,878,8309,37,-3,34
市部／西東京市,7726,1151,8878,7694,1144,8838,32,7,40
市部／市部計,199462,45996,245459,199031,45399,244430,432,597,1029
区部・市部計,401603,125492,527095,402372,124196,526568,-769,1296,527
