区名,平成12年中(千m2),平成13年中(千m2),平成14年中(千m2),平成15年中(千m2),平成16年中(千m2),平成17年中(千m2),平成18年中(千m2),平成19年中(千m2),平成20年中(千m2),平成21年中(千m2),平成22年中(千m2),平成23年中(千m2),平成24年中(千m2),平成25年中(千m2),平成26年中(千m2),平成27年中(千m2),平成28年中(千m2),平成29年中(千m2),平成30年中(千m2),平成31年中(千m2),昭60.1.1～令2.1.1(千m2)
千代田区,-2,-12,-1,18,-10,23,-1,22,-25,-6,-2,-3,3,-2,-27,-5,-1,11,-1,7,-68
中央区,-1,-4,-10,2,5,57,-8,2,50,2,-1,0,67,19,-82,-3,5,-3,6,0,935
港区,-59,39,-128,-105,12,50,14,53,-31,-7,16,-34,-17,-13,-11,21,3,5,-4,-15,614
新宿区,-9,-15,11,-1,8,-4,27,23,-32,-12,-6,196,1,1,-191,15,-10,186,2,-9,1178
文京区,-4,-10,69,2,13,49,-29,-5,-14,-12,-17,142,2,-1,-12,-5,-3,221,-3,-3,610
台東区,5,1,65,-12,0,53,1,-2,-3,-1,0,-1,0,0,0,-2,-1,-1,0,-1,1301
墨田区,-3,-4,20,-1,8,6,6,-7,7,-5,-6,91,32,0,-30,0,-1,6,-3,0,2463
江東区,6,11,547,8,214,327,-31,41,30,13,-8,14,-5,-8,65,54,2,64,-5,-26,4220
品川区,-4,-7,18,-7,-13,21,18,-29,11,-8,-5,252,-12,-13,-15,-9,-12,113,-18,-5,2404
目黒区,-7,-16,-8,24,22,-12,-12,0,-16,-1,19,21,10,14,14,12,1,-2,19,-7,252
大田区,-24,2,-2,-4,-6,128,-31,-53,93,5,-15,164,-21,-8,3,19,-4,112,-6,-6,2711
世田谷区,24,111,33,153,52,75,118,17,-14,44,2,42,22,34,13,34,29,-35,17,3,2537
渋谷区,6,18,-43,21,-8,-104,16,-8,-51,-3,15,-3,-2,0,-9,-2,14,-1,-4,0,-253
中野区,-302,15,17,18,12,25,-7,24,39,-5,12,8,-1,5,-12,7,-2,-19,2,4,829
杉並区,-6,-30,24,29,26,83,17,-14,3,-9,-2,65,11,3,7,27,-12,10,7,18,1022
豊島区,-19,-13,-14,14,-4,22,-6,-14,-15,-6,-6,-43,-2,-9,-2,-6,-14,-19,-11,5,315
北区,-13,-14,-32,39,29,71,27,8,1,-12,16,34,-8,4,49,4,-4,73,-8,-24,1204
荒川区,-10,6,168,-11,-12,-13,-9,21,47,3,-5,86,1,-3,-6,-3,-15,-9,-7,-9,1868
板橋区,26,-6,14,31,31,65,14,6,-1,19,17,-16,6,22,101,10,16,31,-14,3,2522
練馬区,66,102,82,121,80,101,63,59,-15,22,37,22,51,36,26,29,24,22,27,31,3432
足立区,183,212,345,56,68,258,-6,44,71,5,66,38,-6,31,272,-23,-47,27,22,10,2284
葛飾区,1,-74,96,9,-7,828,-18,-27,71,5,-11,176,8,3,-12,10,19,44,4,2,1009
江戸川区,101,217,38,33,10,84,5,-11,38,22,4,144,-11,-14,70,2,10,123,-2,-2,2309
区部計,-44,531,1311,437,530,2193,167,151,248,54,121,1397,130,100,213,186,-3,959,20,-25,35696
