区分,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年
50m2未満／件数（件）,152,77,105,170,80,84,60,111,104,214
50m2未満／面積（m2）,2995,1635,1865,2716,1480,1490,1196,2024,1835,5688
50m2以上100m2未満／件数（件）,67,28,31,61,25,38,24,54,33,25
50m2以上100m2未満／面積（m2）,4668,1960,2189,4196,1746,2735,1624,4628,2590,1664
100m2以上150m2未満／件数（件）,22,11,11,23,16,19,10,25,24,7
100m2以上150m2未満／面積（m2）,2696,1357,1386,2744,1915,2250,1224,2840,3043,879
150m2以上200m2未満／件数（件）,11,3,4,8,3,3,8,5,7,3
150m2以上200m2未満／面積（m2）,1882,530,745,1403,543,523,1411,869,1180,488
200m2以上300m2未満／件数（件）,20,9,5,9,6,7,7,5,40,5
200m2以上300m2未満／面積（m2）,4852,2239,1124,2109,1412,1623,1724,1331,8916,1199
300m2以上500m2未満／件数（件）,7,2,3,11,3,2,9,5,7,4
300m2以上500m2未満／面積（m2）,2811,758,1008,4170,1046,692,3717,1746,2514,1644
500m2以上1000m2未満／件数（件）,7,2,1,5,3,6,0,5,1,4
500m2以上1000m2未満／面積（m2）,5647,1642,674,3180,2205,4165,0,3759,668,2513
1000m2以上2000m2未満／件数（件）,7,2,4,6,2,3,2,2,2,1
1000m2以上2000m2未満／面積（m2）,9300,3525,5221,8904,3113,3587,2834,3567,2372,1348
2000m2以上5000m2未満／件数（件）,2,0,2,0,2,1,3,2,1,1
2000m2以上5000m2未満／面積（m2）,5234,0,9176,0,6529,2300,8421,4903,3211,4182
5000m2以上10000m2未満／件数（件）,1,0,0,0,0,0,0,1,0,0
5000m2以上10000m2未満／面積（m2）,5033,0,0,0,0,0,0,5431,0,0
10000m2以上／件数（件）,0,0,0,0,1,0,0,0,0,1
10000m2以上／面積（m2）,0,0,0,0,13680,0,0,0,0,21092
合計／件数（件）,296,134,166,293,141,163,123,215,219,265
合計／面積（m2）,45115,13648,23389,29422,33669,19365,22151,31098,26329,40697
