区分,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年
50m2未満／件数（件）,1122,1554,1278,1541,2201,2143,1989,2245,2353,2347
50m2未満／面積（m2）,24547,32894,28897,28581,38837,41460,41327,46096,49486,51382
50m2以上100m2未満／件数（件）,753,1009,911,1030,1239,1368,1471,1515,1564,1509
50m2以上100m2未満／面積（m2）,55320,73757,66375,75645,89085,98888,105129,109070,112553,108728
100m2以上150m2未満／件数（件）,444,614,515,547,582,743,810,736,790,793
100m2以上150m2未満／面積（m2）,54222,75342,63117,66995,71118,90133,97679,89079,96774,96345
150m2以上200m2未満／件数（件）,213,300,316,281,399,400,449,469,498,444
150m2以上200m2未満／面積（m2）,36649,51692,54611,49030,68976,68741,77328,80618,86019,75820
200m2以上300m2未満／件数（件）,229,296,315,290,346,345,378,382,421,351
200m2以上300m2未満／面積（m2）,55528,71950,76731,70923,84194,83869,91517,92442,101632,83739
300m2以上500m2未満／件数（件）,204,261,259,232,248,225,273,262,275,248
300m2以上500m2未満／面積（m2）,76530,99358,99805,87604,93111,85847,103530,98747,103352,92336
500m2以上1000m2未満／件数（件）,107,130,128,98,130,129,111,106,112,91
500m2以上1000m2未満／面積（m2）,76859,90304,89118,67366,87291,89240,77493,72948,76982,61290
1000m2以上2000m2未満／件数（件）,47,63,47,47,45,34,37,35,37,19
1000m2以上2000m2未満／面積（m2）,66057,90251,61733,61319,61414,47490,50062,50486,49174,25899
2000m2以上5000m2未満／件数（件）,11,28,21,9,16,15,13,14,13,10
2000m2以上5000m2未満／面積（m2）,28966,83839,65959,24451,44625,38121,42848,38606,33849,27576
5000m2以上10000m2未満／件数（件）,2,6,10,2,5,3,3,4,1,2
5000m2以上10000m2未満／面積（m2）,13611,37299,65181,14500,34538,20855,20048,32808,5713,12262
10000m2以上／件数（件）,7,40,7,1,3,3,2,2,1,3
10000m2以上／面積（m2）,190030,544436,139556,14987,38707,42366,30210,33691,14988,62889
合計／件数（件）,3139,4301,3807,4078,5214,5408,5536,5770,6065,5817
合計／面積（m2）,678319,1251127,811083,561401,711896,707010,737171,744591,730522,698266
