区市町村名　/　用途,住宅地,商業地,工業地,全用途平均
千代田区,2907.5,5351.8,― ,5046.3
中央区,1187.8,6835.9,― ,6107.1
港区,1894,5244.1,550,4238.9
新宿区,715.8,4919,― ,3688.8
文京区,927.9,1508.2,― ,1282.5
台東区,701.5,1574,― ,1506.9
墨田区,418.8,667.6,― ,602.1
江東区,505.4,816.5,357.5,621.1
品川区,782.2,1162.9,― ,980.8
目黒区,813.2,1622.6,― ,1167.3
大田区,461.8,751.5,375.5,569.8
世田谷区,602.2,1022.4,― ,712.4
渋谷区,1143,5466.1,― ,3922.1
中野区,565.5,1237.5,― ,885.5
杉並区,560.7,936.1,― ,695.5
豊島区,634.1,2424.7,― ,1692.2
北区,484.8,960.3,325,684.6
荒川区,538.7,767.9,― ,669.6
板橋区,422.8,718.9,― ,543.1
練馬区,372.1,704.3,― ,453.4
足立区,319.5,551.8,254,413
葛飾区,311.8,561.4,222,377.6
江戸川区,344.8,655.3,― ,438
区部,590.9,2654.1,352.1,1619.9
八王子市,123.8,378.4,162,164.7
立川市,250.1,1705.8,― ,666
武蔵野市,497.9,2083.1,― ,1237.7
三鷹市,393.3,1457,― ,592.8
青梅市,89.4,174.3,83,104.3
府中市,288.6,539.7,― ,356.2
昭島市,178.6,319.3,150,206.7
調布市,337.6,651.2,― ,412.3
町田市,148.8,562,― ,233
小金井市,339.7,1005,― ,460.6
小平市,236.7,322.7,― ,250.3
日野市,197.7,322.3,― ,217.4
東村山市,188.8,359,― ,222.8
国分寺市,271.9,1193,― ,439.4
国立市,332,386,― ,339.7
福生市,164.4,224.7,― ,187
狛江市,322.2,410,― ,336.8
東大和市,166.5,189,― ,170.3
清瀬市,193.2,446,― ,235.3
東久留米市,193.2,375,― ,221.2
武蔵村山市,117.4,140.5,― ,121.6
多摩市,176.9,372.8,― ,235.7
稲城市,226.2,302.3,― ,240.4
羽村市,144.6,233.5,92,160.3
あきる野市,84.9,132.5,― ,92.2
西東京市,276.7,520.8,― ,330.9
市部,204.3,645.6,114,295
瑞穂町,98.8,127,61.5,97.7
日の出町,60.4,― ,― ,60.4
檜原村,19.8,― ,― ,19.8
奥多摩町,26.3,32.9,― ,29.6
西多摩郡,63.1,64.3,61.5,63.2
大島町,6.9,21.7,― ,12.8
新島村,6.2,10,― ,7.4
神津島村,6.9,9.7,― ,7.8
三宅村,7.3,12.5,― ,9
八丈町,9.1,19.1,― ,14.1
小笠原村,20.3,62,― ,27.2
島しょ,11.3,22,― ,14.9
東　京　都,374.3,2157.9,246.3,1044.7
