区分,1m2当たり平均単価(万円),75m2当たり価格(万円),年収倍率
区部,112.3,8423,10.4
多摩部,79.3,5948,7.4
東京都,106.8,8010,9.9
神奈川県,75.8,5685,7
埼玉県,64,4800,5.9
千葉県,60.5,4538,5.6
