区市町村名,住宅地：最大値,住宅地：平成30年,住宅地：上昇率,住宅地：下落率(%),商業地：最大値,商業地：平成30年,商業地：上昇率,商業地：下落率(%)
千代田区,403.8,112.3,303.8,-72.2,420.5,89.4,320.5,-78.7
中央区,199.1,50.7,99.1,-74.5,431.5,96.5,331.5,-77.6
港区,363.9,106.2,263.9,-70.8,394.7,85.4,294.7,-78.4
新宿区,349.2,117.6,249.2,-66.3,419,99.5,319,-76.3
文京区,288.9,138.1,188.9,-52.2,379.4,90.5,279.4,-76.1
台東区,256.5,111.3,156.5,-56.6,311.7,65.9,211.7,-78.9
墨田区,230.2,120,130.2,-47.9,391.7,94.6,291.7,-75.9
江東区,246.3,116.6,146.3,-52.7,365,88,265,-75.9
品川区,256,120.8,156,-52.8,343,101.8,243,-70.3
目黒区,318.8,131.6,218.8,-58.7,398.7,100.3,298.7,-74.8
大田区,339.8,117.2,239.8,-65.5,328.4,96.2,228.4,-70.7
世田谷区,336,142.9,236,-57.5,343.1,103.6,243.1,-69.8
渋谷区,355,126.5,255,-64.4,393.7,125.2,293.7,-68.2
中野区,297.5,119.3,197.5,-59.9,306.7,90.4,206.7,-70.5
杉並区,332.8,136.2,232.8,-59.1,288.8,75,188.8,-74
豊島区,243,98.8,143,-59.3,393.7,82.2,293.7,-79.1
北区,241.5,110.8,141.5,-54.1,277.2,80.6,177.2,-70.9
荒川区,222.2,115.2,122.2,-48.2,292.3,93.3,192.3,-68.1
板橋区,261.2,121.2,161.2,-53.6,308.1,90.6,208.1,-70.6
練馬区,316.3,133.8,216.3,-57.7,394,128.1,294,-67.5
足立区,241.3,117.9,141.3,-51.1,313.1,109.3,213.1,-65.1
葛飾区,245.4,116.1,145.4,-52.7,292.9,79,192.9,-73
江戸川区,316.8,134.9,216.8,-57.4,400,85.7,300,-78.6
区部,300.5,131.5,200.5,-56.2,346.1,91.5,246.1,-73.6
八王子市,223.3,72.1,123.3,-67.7,407.8,74.3,307.8,-81.8
立川市,259.8,118.8,159.8,-54.3,323.6,89,223.6,-72.5
武蔵野市,344.2,152.6,244.2,-55.7,399.9,142.2,299.9,-64.4
三鷹市,302.5,129.4,202.5,-57.2,448.4,164.2,348.4,-63.4
青梅市,219.6,76.3,119.6,-65.2,284.6,57.9,184.6,-79.6
府中市,267.4,126.5,167.4,-52.7,366.7,127,266.7,-65.4
昭島市,232.5,106.5,132.5,-54.2,184.3,50.2,84.3,-72.8
調布市,322.9,129,222.9,-60,494.5,145.9,394.5,-70.5
町田市,267.3,89.5,167.3,-66.5,339.7,66.1,239.7,-80.5
小金井市,257.4,118.8,157.4,-53.9,376.9,117.1,276.9,-68.9
小平市,277.1,103.9,177.1,-62.5,316.7,73.3,216.7,-76.8
日野市,250.8,97.4,150.8,-61.2,151.8,34.3,51.8,-77.4
東村山市,272.7,102.4,172.7,-62.4,259.6,52.6,159.6,-79.8
国分寺市,280,122,180,-56.4,373.8,113,273.8,-69.8
国立市,339.3,128.6,239.3,-62.1,469.9,138.1,369.9,-70.6
福生市,218.5,106,118.5,-51.5,377,88.6,277,-76.5
狛江市,321.3,116.9,221.3,-63.6,414.5,103.6,314.5,-75
東大和市,221.8,96.8,121.8,-56.4,275.8,77.2,175.8,-72
清瀬市,255.4,97.6,155.4,-61.8,191.8,31.4,91.8,-83.6
東久留米市,260.4,96.6,160.4,-62.9,388.3,97.7,288.3,-74.8
武蔵村山市,194.7,86.1,94.7,-55.8,172.3,55.2,72.3,-68
多摩市,322.4,90,222.4,-72.1,564.5,90,464.5,-84.1
稲城市,238.4,111.9,138.4,-53.1,305.7,107.3,205.7,-64.9
羽村市,216.3,105.8,116.3,-51.1,253.8,80.3,153.8,-68.4
あきる野市,182,86.1,82,-52.7,111,43.2,11,-61
西東京市,285.3,116.6,185.3,-59.1,307.7,78.5,207.7,-74.5
瑞穂町,185.8,88.2,85.8,-52.5,265.3,80.8,165.3,-69.5
日の出町,166.4,63.9,66.4,-61.6,,,,
檜原村,,,,,,,,
奥多摩町,,,,,,,,
多摩地域,261.9,101.8,161.9,-61.2,362.6,97.2,262.6,-73.2
大島町,,,,,,,,
新島村,,,,,,,,
神津島村,,,,,,,,
三宅村,,,,,,,,
八丈町,,,,,,,,
小笠原村,,,,,,,,
島しょ,,,,,,,,
東京都,283.2,117.6,183.2,-58.5,348.6,93.2,248.6,-73.3
