順位,標準地番号,都道府県,標準地の所在地,平成29年,平成30年,変動率
1,焼津－９－２,静岡県,利右衛門字地蔵森２７２６番６５外,18000,17200,-4.4
2,福山－９－７,広島県,山手町２丁目３７番２,42000,40300,-4
3,秋田－９－１,秋田県,土崎港相染町字浜ナシ山６番２９,7750,7450,-3.9
4,横須賀－９－４,神奈川県,長瀬３丁目８５５番４,65000,62500,-3.8
4,赤穂－９－２,兵庫県,木津字稲荷山１３２５番７２外,16900,16300,-3.6
6,松阪－９－１,三重県,大口町字新地１７２８番２１,16000,15500,-3.1
7,秋田－９－２,秋田県,向浜１丁目１番５９外,4900,4750,-3.1
8,苫小牧－９－１２,北海道,字錦岡６８番２,7200,7000,-2.8
9,駿河－９－４,静岡県,用宗１丁目２７１番,47000,45800,-2.6
10,津－９－２,三重県,雲出伊倉津町字二十一割１４３０番１外,11800,11500,-2.5
