区市町村名,宅地面積A(千m2),建物延床面積B(千m2),概算容積率C＝B/A×100(%),指定平均容積率D(%),充足率E＝C/D×100(%)
区部／千代田区,3652,25255,691.6,561.9,123.1
区部／中央区,3942,23492,595.9,571,104.4
区部／港区,9343,38162,408.5,408.5,100
区部／新宿区,9862,26387,267.6,387.4,69.1
区部／文京区,5879,12869,218.9,338,64.8
区部／台東区,4534,14295,315.3,484.8,65
区部／墨田区,6840,14182,207.3,325.7,63.7
区部／江東区,14946,32016,214.2,288.3,74.3
区部／品川区,11502,23904,207.8,278.5,74.6
区部／目黒区,9113,13735,150.7,207.4,72.7
区部／大田区,25015,36893,147.5,217.1,67.9
区部／世田谷区,35086,39166,111.6,169.3,65.9
区部／渋谷区,8122,21244,261.6,327.8,79.8
区部／中野区,10068,13939,138.5,216.7,63.9
区部／杉並区,21647,23287,107.6,155.9,69
区部／豊島区,7787,16344,209.9,354.6,59.2
区部／北区,9545,14510,152,253.3,60
区部／荒川区,5367,9343,174.1,326,53.4
区部／板橋区,18087,23640,130.7,235.6,55.5
区部／練馬区,28660,28222,98.5,164.8,59.8
区部／足立区,27352,28127,102.8,242.8,42.4
区部／葛飾区,16584,18135,109.4,212.6,51.4
区部／江戸川区,23302,26820,115.1,234.6,49.1
区部／区部計,316236,523969,165.7,257.2,64.4
市部／八王子市,38691,28198,72.9,126.1,57.8
市部／立川市,10905,9262,84.9,165.5,51.3
市部／武蔵野市,6333,7383,116.6,165.1,70.6
市部／三鷹市,8627,7694,89.2,127.7,69.8
市部／青梅市,12441,7056,56.7,147.6,38.4
市部／府中市,13061,12007,91.9,158.8,57.9
市部／昭島市,7688,5562,72.3,157.9,45.8
市部／調布市,10324,9754,94.5,137.3,68.8
市部／町田市,28629,19524,68.2,116.9,58.3
市部／小金井市,5801,4954,85.4,126,67.8
市部／小平市,10414,7826,75.2,131.3,57.2
市部／日野市,11399,8630,75.7,132.9,57
市部／東村山市,7817,5928,75.8,127.6,59.4
市部／国分寺市,6501,5424,83.4,132.7,62.9
市部／国立市,4147,3424,82.6,158,52.3
市部／福生市,3642,2510,68.9,165.9,41.5
市部／狛江市,3470,3166,91.2,126.9,71.9
市部／東大和市,5231,3540,67.7,105.9,63.9
市部／清瀬市,3731,2781,74.5,145,51.4
市部／東久留米市,6790,4826,71.1,128.5,55.3
市部／武蔵村山市,5517,3362,60.9,114.3,53.3
市部／多摩市,8227,7449,90.6,172.3,52.6
市部／稲城市,5082,3852,75.8,118.7,63.8
市部／羽村市,5481,3239,59.1,172.2,34.3
市部／あきる野市,8444,3919,46.4,115.3,40.3
市部／西東京市,8971,8000,89.2,140.9,63.3
市部／市部計,247361,189267,76.5,135.3,56.6
西多摩郡／瑞穂町,5169,2446,47.3,113.2,41.8
西多摩郡／日の出町,2490,1029,41.3,117.9,35
西多摩郡／檜原村,420,193,45.9,,・・・
西多摩郡／奥多摩町,836,383,45.8,,・・・
西多摩郡／西多摩郡計,8914,4051,45.4,114.3,39.8
多摩地域計,256276,193317,75.4,134.7,56
区部・多摩計,572512,717287,125.3,198.7,63.1
