区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
目黒区／50m2未満,0,0,0,0,1,50,0,1,1,5,0,0
目黒区／100m2未満,0,0,0,0,0,0,0,0,0,0,0,0
目黒区／150m2未満,0,0,0,0,0,0,0,0,0,0,0,0
目黒区／200m2未満,2,12,0,2,0,0,0,0,2,11,0,1
目黒区／300m2未満,1,6,0,1,0,0,0,0,1,5,0,1
目黒区／500m2未満,1,6,0,2,0,0,0,0,1,5,0,2
目黒区／1000m2未満,4,24,3,13,1,50,1,99,5,26,4,16
目黒区／2000m2未満,5,29,7,31,0,0,0,0,5,26,7,29
目黒区／5000m2未満,4,24,13,52,0,0,0,0,4,21,13,50
目黒区／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
目黒区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
目黒区／計,17,100,24,100,2,100,1,100,19,100,25,100
大田区／50m2未満,1,5,0,0,0,0,0,0,1,5,0,0
大田区／100m2未満,0,0,0,0,0,0,0,0,0,0,0,0
大田区／150m2未満,1,5,0,0,0,0,0,0,1,5,0,0
大田区／200m2未満,1,5,0,1,0,0,0,0,1,5,0,1
大田区／300m2未満,2,10,0,2,0,0,0,0,2,10,0,2
大田区／500m2未満,2,10,1,3,0,0,0,0,2,10,1,3
大田区／1000m2未満,5,25,4,15,0,0,0,0,5,24,4,14
大田区／2000m2未満,3,15,4,15,1,100,2,100,4,19,5,19
大田区／5000m2未満,4,20,12,46,0,0,0,0,4,19,12,43
大田区／10000m2未満,1,5,5,20,0,0,0,0,1,5,5,18
大田区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
大田区／計,20,100,27,100,1,100,2,100,21,100,28,100
世田谷区／50m2未満,13,2,0,0,0,0,0,0,13,2,0,0
世田谷区／100m2未満,14,2,1,0,0,0,0,0,14,2,1,0
世田谷区／150m2未満,21,4,3,0,1,100,0,100,22,4,3,0
世田谷区／200m2未満,14,2,2,0,0,0,0,0,14,2,2,0
世田谷区／300m2未満,32,6,8,1,0,0,0,0,32,6,8,1
世田谷区／500m2未満,45,8,18,2,0,0,0,0,45,8,18,2
世田谷区／1000m2未満,132,23,97,10,0,0,0,0,132,23,97,10
世田谷区／2000m2未満,155,27,230,24,0,0,0,0,155,27,230,24
世田谷区／5000m2未満,123,21,392,42,0,0,0,0,123,21,392,42
世田谷区／10000m2未満,26,5,162,17,0,0,0,0,26,5,162,17
世田谷区／10000m2以上,1,0,31,3,0,0,0,0,1,0,31,3
世田谷区／計,576,100,944,100,1,100,0,100,577,100,945,100
中野区／50m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／100m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／150m2未満,2,9,0,1,0,0,0,0,2,9,0,1
中野区／200m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／300m2未満,2,9,0,2,0,0,0,0,2,9,0,2
中野区／500m2未満,4,18,1,7,0,0,0,0,4,18,1,7
中野区／1000m2未満,5,23,4,16,0,0,0,0,5,23,4,16
中野区／2000m2未満,7,32,11,49,0,0,0,0,7,32,11,49
中野区／5000m2未満,2,9,6,26,0,0,0,0,2,9,6,26
中野区／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
中野区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
中野区／計,22,100,22,100,0,0,0,0,22,100,22,100
杉並区／50m2未満,3,2,0,0,0,0,0,0,3,2,0,0
杉並区／100m2未満,2,1,0,0,1,33,0,4,3,2,0,0
杉並区／150m2未満,7,4,1,0,0,0,0,0,7,4,1,0
杉並区／200m2未満,7,4,1,0,0,0,0,0,7,4,1,0
杉並区／300m2未満,12,7,3,1,0,0,0,0,12,7,3,1
杉並区／500m2未満,13,7,5,1,0,0,0,0,13,7,5,1
杉並区／1000m2未満,27,15,19,5,1,33,1,37,28,16,20,6
杉並区／2000m2未満,41,23,59,17,1,33,1,59,42,24,61,17
杉並区／5000m2未満,47,27,136,38,0,0,0,0,47,26,136,38
杉並区／10000m2未満,13,7,87,25,0,0,0,0,13,7,87,25
杉並区／10000m2以上,3,2,41,12,0,0,0,0,3,2,41,12
杉並区／計,175,100,353,100,3,100,2,100,178,100,355,100
北区／50m2未満,0,0,0,0,0,0,0,0,0,0,0,0
北区／100m2未満,0,0,0,0,0,0,0,0,0,0,0,0
北区／150m2未満,0,0,0,0,0,0,0,0,0,0,0,0
北区／200m2未満,0,0,0,0,0,0,0,0,0,0,0,0
北区／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
北区／500m2未満,0,0,0,0,0,0,0,0,0,0,0,0
北区／1000m2未満,2,67,1,43,0,0,0,0,2,67,1,43
北区／2000m2未満,1,33,2,57,0,0,0,0,1,33,2,57
北区／5000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
北区／10000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
北区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
北区／計,3,100,3,100,0,0,0,0,3,100,3,100
板橋区／50m2未満,0,0,0,0,0,0,0,0,0,0,0,0
板橋区／100m2未満,2,2,0,0,0,0,0,0,2,2,0,0
板橋区／150m2未満,6,5,1,0,1,50,0,34,7,6,1,1
板橋区／200m2未満,8,6,1,1,0,0,0,0,8,6,1,1
板橋区／300m2未満,10,8,3,2,1,50,0,66,11,9,3,2
板橋区／500m2未満,25,20,10,7,0,0,0,0,25,20,10,7
板橋区／1000m2未満,25,20,18,12,0,0,0,0,25,20,18,12
板橋区／2000m2未満,24,19,32,23,0,0,0,0,24,19,32,22
板橋区／5000m2未満,23,18,67,46,0,0,0,0,23,18,67,46
板橋区／10000m2未満,2,2,12,8,0,0,0,0,2,2,12,8
板橋区／10000m2以上,0,0,0,0,0,0,0,0,0,0,0,0
板橋区／計,125,100,143,100,2,100,0,100,127,100,144,100
練馬区／50m2未満,17,2,0,0,2,50,0,2,19,2,0,0
練馬区／100m2未満,23,3,2,0,1,25,0,5,24,3,2,0
