区市名,令和2年所有者数／個人(人),令和2年所有者数／法人(人),令和2年所有者数／計(人),平成31年所有者数／個人(人),平成31年所有者数／法人(人),平成31年所有者数／計(人),令和2年-平成31年／個人(人),令和2年-平成31年／法人(人),令和2年-平成31年／計(人)
区部／千代田区,4800,3416,8216,4940,3411,8351,-140,5,-135
区部／中央区,7612,4440,12052,7806,4472,12278,-194,-32,-226
区部／港区,12823,5453,18276,13117,5422,18539,-294,31,-263
区部／新宿区,32727,5808,38535,32954,5705,38659,-227,103,-124
区部／文京区,25928,2964,28892,25957,2938,28895,-29,26,-3
区部／台東区,22239,4782,27021,22502,4711,27213,-263,71,-192
区部／墨田区,29730,3611,33341,29787,3501,33288,-57,110,53
区部／江東区,30139,4390,34529,30100,4346,34446,39,44,83
区部／品川区,41781,3874,45655,41780,3830,45610,1,44,45
区部／目黒区,36755,3095,39850,36653,3018,39671,102,77,179
区部／大田区,91473,6942,98415,90946,6864,97810,527,78,605
区部／世田谷区,133648,6920,140568,132798,6757,139555,850,163,1013
区部／渋谷区,23902,4811,28713,24052,4749,28801,-150,62,-88
区部／中野区,47918,3492,51410,47937,3369,51306,-19,123,104
区部／杉並区,95145,4601,99746,94555,4498,99053,590,103,693
区部／豊島区,35411,3814,39225,35585,3684,39269,-174,130,-44
区部／北区,40553,2889,43442,40460,2795,43255,93,94,187
区部／荒川区,24684,2178,26862,24521,2091,26612,163,87,250
区部／板橋区,64851,4334,69185,64691,4162,68853,160,172,332
区部／練馬区,123732,4421,128153,123032,4273,127305,700,148,848
区部／足立区,104435,5460,109895,103844,5274,109118,591,186,777
区部／葛飾区,73498,3855,77353,73044,3719,76763,454,136,590
区部／江戸川区,97644,4844,102488,97249,4757,102006,395,87,482
区部／区部計,1201428,100394,1301822,1198310,98346,1296656,3118,2048,5166
市部／八王子市,122643,4275,126918,122085,4150,126235,558,125,683
市部／立川市,31192,1380,32572,30920,1322,32242,272,58,330
市部／武蔵野市,22151,1084,23235,22070,1065,23135,81,19,100
市部／三鷹市,32576,1095,33671,32341,1078,33419,235,17,252
市部／青梅市,36187,1291,37478,35959,1268,37227,228,23,251
市部／府中市,45111,1536,46647,44715,1481,46196,396,55,451
市部／昭島市,21274,873,22147,21145,869,22014,129,4,133
市部／調布市,38011,1368,39379,37577,1364,38941,434,4,438
市部／町田市,101626,3067,104693,100898,2963,103861,728,104,832
市部／小金井市,24412,722,25134,23747,756,24503,665,-34,631
市部／小平市,48864,1743,50607,48373,1698,50071,491,45,536
市部／日野市,47974,1761,49735,47541,1693,49234,433,68,501
市部／東村山市,33385,898,34283,33016,871,33887,369,27,396
市部／国分寺市,27165,1006,28171,26904,985,27889,261,21,282
市部／国立市,13423,637,14060,13336,629,13965,87,8,95
市部／福生市,10786,421,11207,10748,408,11156,38,13,51
市部／狛江市,18108,664,18772,17970,651,18621,138,13,151
市部／東大和市,18370,525,18895,18198,508,18706,172,17,189
市部／清瀬市,14410,334,14744,14291,317,14608,119,17,136
市部／東久留米市,37344,1103,38447,36890,1053,37943,454,50,504
市部／武蔵村山市,19681,605,20286,19439,590,20029,242,15,257
市部／多摩市,40652,905,41557,40351,875,41226,301,30,331
市部／稲城市,14385,528,14913,14112,518,14630,273,10,283
市部／羽村市,12832,408,13240,12778,403,13181,54,5,59
市部／あきる野市,27726,730,28456,27519,719,28238,207,11,218
市部／西東京市,56192,3692,59884,55754,3723,59477,438,-31,407
市部／市部計,916480,32651,949131,908677,31957,940634,7803,694,8497
区部・市部計,2117908,133045,2250953,2106987,130303,2237290,10921,2742,13663
