区名,100m2未満(千m2),200m2未満(千m2),300m2未満(千m2),500m2未満(千m2),1000m2未満(千m2),2000m2未満(千m2),5000m2未満(千m2),10000m2未満(千m2),10000m2以上(千m2),計(千m2),増減率(%)
千代田区,10,32,21,38,40,51,-15,9,275,461,21.9
中央区,6,20,8,7,-15,-7,-70,7,-200,-245,-9.3
港区,23,68,54,60,59,-2,-8,152,412,819,18
新宿区,40,97,80,107,60,52,-14,-72,315,665,23.3
文京区,13,39,23,35,10,-10,-18,-64,142,170,11.1
台東区,31,73,54,41,70,26,-29,-11,41,296,21.3
墨田区,25,54,35,48,42,-17,27,24,-60,179,9.1
江東区,26,63,44,37,17,42,-94,7,-970,-828,-8.9
品川区,22,52,31,47,31,-25,-207,-90,-705,-843,-17.3
目黒区,20,63,59,59,53,-18,-62,-42,31,163,8.8
大田区,36,93,82,128,171,76,87,-22,-491,161,2.4
世田谷区,33,132,107,164,145,47,-56,-56,-273,243,4.2
渋谷区,38,93,78,110,110,63,83,3,152,730,33.6
中野区,32,74,54,56,28,47,-20,-50,-4,219,15.1
杉並区,21,70,44,75,62,34,-24,-133,-274,-125,-4.2
豊島区,33,83,58,51,90,10,-45,-13,49,316,21
北区,28,52,35,37,44,22,-26,69,-353,-93,-3.3
荒川区,25,41,31,31,47,13,-6,-17,-127,37,2.9
板橋区,32,74,55,69,86,55,108,-78,-400,-1,0
練馬区,17,52,39,51,81,52,63,45,-362,37,1.2
足立区,27,105,64,110,197,211,211,40,-715,250,4.8
葛飾区,32,78,39,43,60,18,91,-8,-422,-69,-2.4
江戸川区,28,70,72,88,167,120,128,53,470,1195,33.4
区部計,598,1578,1167,1491,1656,862,102,-250,-3470,3735,4.9
