区分,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
千代田区／件数(件）,254,218,383,157,142,206,192,238,167,189,162,316,2624
千代田区／面積（千m2）,6,8,15,5,5,9,7,8,7,7,6,10,93
中央区／件数(件）,1072,657,702,475,462,489,448,396,466,377,466,854,6864
中央区／面積（千m2）,13,11,21,12,10,8,8,9,11,8,8,13,132
港区／件数(件）,495,576,852,653,542,644,560,490,678,545,546,636,7217
港区／面積（千m2）,19,21,45,27,18,19,23,21,42,25,24,37,321
新宿区／件数(件）,590,620,908,661,701,654,644,669,724,668,865,1367,9071
新宿区／面積（千m2）,21,25,44,22,31,29,23,26,32,25,25,37,340
文京区／件数(件）,301,347,535,333,372,338,395,301,418,457,325,443,4565
文京区／面積（千m2）,14,14,28,16,13,14,15,14,21,13,16,17,195
台東区／件数(件）,388,402,636,437,362,408,431,382,461,423,346,455,5131
台東区／面積（千m2）,10,12,22,13,11,13,15,12,15,13,11,19,166
墨田区／件数(件）,298,390,708,408,360,526,455,473,457,490,491,549,5605
墨田区／面積（千m2）,11,17,30,13,14,18,18,15,15,18,16,24,209
江東区／件数(件）,560,617,1503,1006,760,775,710,691,769,688,732,821,9632
江東区／面積（千m2）,17,26,65,25,30,20,24,24,27,22,37,30,347
品川区／件数(件）,451,556,869,784,700,718,510,515,632,601,551,1014,7901
品川区／面積（千m2）,19,24,44,25,24,29,20,23,42,28,21,44,343
目黒区／件数(件）,304,427,490,375,338,505,324,321,317,337,317,386,4441
目黒区／面積（千m2）,18,24,29,23,21,26,24,20,29,16,17,25,272
大田区／件数(件）,713,852,1622,981,853,946,995,792,986,899,917,1102,11658
大田区／面積（千m2）,60,50,88,56,49,54,55,47,67,49,62,71,708
世田谷区／件数(件）,836,894,1571,913,1051,1107,1075,948,997,977,908,1078,12355
世田谷区／面積（千m2）,62,71,123,97,79,88,86,67,102,77,75,92,1019
渋谷区／件数(件）,339,358,636,363,394,472,470,401,418,423,412,521,5207
渋谷区／面積（千m2）,20,16,35,20,23,24,25,22,29,17,21,42,294
中野区／件数(件）,327,336,557,369,397,431,371,423,466,529,435,510,5151
中野区／面積（千m2）,24,25,38,20,24,29,24,18,26,22,18,28,296
杉並区／件数(件）,542,646,1091,692,613,787,620,671,723,637,669,763,8454
杉並区／面積（千m2）,36,45,82,49,41,55,43,45,51,58,51,57,613
豊島区／件数(件）,374,488,620,457,422,467,443,373,421,437,409,458,5369
豊島区／面積（千m2）,14,22,33,17,16,22,19,16,24,19,26,20,248
北区／件数(件）,290,394,448,366,331,419,407,320,482,465,429,472,4823
北区／面積（千m2）,17,43,47,17,19,22,19,27,28,17,25,24,305
荒川区／件数(件）,172,251,311,192,249,329,251,230,244,251,273,344,3097
荒川区／面積（千m2）,8,13,22,10,9,14,11,10,20,12,10,17,156
板橋区／件数(件）,491,607,1000,993,724,730,666,699,697,625,691,797,8720
板橋区／面積（千m2）,29,32,59,55,34,44,39,35,44,36,34,44,485
練馬区／件数(件）,572,781,1234,700,745,910,839,775,891,745,717,830,9739
練馬区／面積（千m2）,50,61,105,55,54,71,60,62,71,61,65,79,794
足立区／件数(件）,567,705,1490,712,653,704,819,808,1044,708,822,963,9995
足立区／面積（千m2）,40,50,98,49,53,63,66,51,67,50,54,77,718
葛飾区／件数(件）,372,452,707,476,486,515,446,429,490,495,489,632,5989
葛飾区／面積（千m2）,27,29,52,33,32,41,28,34,33,38,46,39,432
江戸川区／件数(件）,532,543,862,530,488,543,521,609,594,491,498,668,6879
江戸川区／面積（千m2）,41,47,69,40,37,49,43,47,50,46,64,61,594
