区市町村名,平成20年度／空き家率／全体(%),平成20年度／空き家率／二次的(%),平成20年度／空き家率／賃貸用(%),平成20年度／空き家率／売却用(%),平成20年度／空き家率／その他(%),平成20年度／住宅総数(戸数),平成25年度／空き家率／全体(%),平成25年度／空き家率／二次的(%),平成25年度／空き家率／賃貸用(%),平成25年度／空き家率／売却用(%),平成25年度／空き家率／その他(%),平成25年度／住宅総数(戸数),平成30年度／空き家率／全体(%),平成30年度／空き家率／二次的(%),平成30年度／空き家率／賃貸用(%),平成30年度／空き家率／売却用(%),平成30年度／空き家率／その他(%),平成30年度／住宅総数(戸数)
区部／千代田区,25.8,2,19.2,0.9,3.8,32460,13.3,0.2,8.6,2,2.6,33670,10.7,0.1,6.3,0.1,4.1,41700
区部／中央区,25.4,1.6,13.9,0.3,9.6,95420,10.6,1.3,6.5,1.4,1.4,92260,11.9,0.4,3,0.5,8,105540
区部／港区,9.9,0.3,7,0.9,1.7,140440,12.9,0.3,8.7,1.1,2.8,132910,12.4,0.1,9.7,0.4,2.1,160440
区部／新宿区,12.6,0.7,8.1,0.7,3.1,215890,12.2,0.1,9.2,0.7,2.1,234960,11.4,0.1,9.6,0.7,1.1,244780
区部／文京区,10.2,0.6,5.5,0.3,3.8,113410,10,0.3,6.5,1.3,2,128940,9.5,0.1,6.2,1.4,1.7,139790
区部／台東区,15.1,0.1,7.6,2.4,4.9,100860,9.7,0.2,6.8,1,1.6,112730,9.8,0.5,6.1,1,2.2,131160
区部／墨田区,9.1,0.2,4.3,0.6,3.9,126050,11.1,0.3,7.4,0.5,3,140210,10.4,0,6.9,0.6,3,154720
区部／江東区,8.3,0.1,3.6,1.1,3.5,220760,7.8,0,6,1.6,0.3,255910,7.7,0.1,4.2,0.1,3.3,275340
区部／品川区,11.7,0.3,6,2.9,2.5,213050,11.4,0.5,8.3,0.7,1.9,227590,9.8,0.1,6.9,0.7,2.1,243080
区部／目黒区,16.3,0.1,12.8,2.2,1.2,170140,9.8,0.1,7.3,0.4,2,153510,8,0,5.5,0.3,2.1,162000
区部／大田区,12.2,0.2,8.3,0.6,3.2,357800,14.8,0,11,2.5,1.3,416610,11.3,0.1,8.9,1.4,1,427580
区部／世田谷区,7.6,0,4.9,0.4,2.3,455220,10.4,0.1,6.1,0.3,3.9,505840,9.6,0.2,6.7,0.3,2.4,521110
区部／渋谷区,13.7,0.1,6.5,0.8,6.3,147380,12.1,0.2,9.5,0.4,2,142950,10.1,0,8.8,0.9,0.4,160700
