区市名,平成30年所有者数／個人（人）,平成30年所有者数／法人（人）,平成30年所有者数／計（人）,平成29年所有者数／個人（人）,平成29年所有者数／法人（人）,平成29年所有者数／計（人）,平成30年-平成29年／個人（人）,平成30年-平成29年／法人（人）,平成30年-平成29年／計（人）
区部／千代田区,5045,3347,8392,5067,3467,8534,-22,-120,-142
区部／中央区,8026,4310,12336,8115,4462,12577,-89,-152,-241
区部／港区,13223,5041,18264,13234,5214,18448,-11,-173,-184
区部／新宿区,32955,5262,38217,32918,5427,38345,37,-165,-128
区部／文京区,25783,2734,28517,25730,2789,28519,53,-55,-2
区部／台東区,22509,4453,26962,22589,4513,27102,-80,-60,-140
区部／墨田区,29558,3221,32779,29445,3300,32745,113,-79,34
区部／江東区,30030,3995,34025,29898,4093,33991,132,-98,34
区部／品川区,41635,3595,45230,41434,3713,45147,201,-118,83
区部／目黒区,36466,2838,39304,36292,2899,39191,174,-61,113
区部／大田区,90121,6411,96532,89321,6618,95939,800,-207,593
区部／世田谷区,131237,6463,137700,130103,6752,136855,1134,-289,845
区部／渋谷区,24095,4394,28489,24104,4498,28602,-9,-104,-113
区部／中野区,47936,3132,51068,47755,3165,50920,181,-33,148
区部／杉並区,93840,4251,98091,93027,4454,97481,813,-203,610
区部／豊島区,35413,3373,38786,35358,3426,38784,55,-53,2
区部／北区,40213,2527,42740,39993,2592,42585,220,-65,155
区部／荒川区,24207,1926,26133,24167,1889,26056,40,37,77
区部／板橋区,64131,3869,68000,63941,3955,67896,190,-86,104
区部／練馬区,121553,4059,125612,120607,4179,124786,946,-120,826
区部／足立区,102449,4776,107225,101583,4946,106529,866,-170,696
区部／葛飾区,71978,3358,75336,71468,3388,74856,510,-30,480
区部／江戸川区,96149,4457,100606,95397,4577,99974,752,-120,632
区部／区部計,1188552,91792,1280344,1181546,94316,1275862,7006,-2524,4482
市部／八王子市,121303,4054,125357,120544,3960,124504,759,94,853
市部／立川市,30577,1285,31862,30315,1231,31546,262,54,316
市部／武蔵野市,22021,1033,23054,21902,986,22888,119,47,166
市部／三鷹市,32104,1038,33142,31895,1023,32918,209,15,224
市部／青梅市,35771,1220,36991,35492,1185,36677,279,35,314
市部／府中市,44449,1423,45872,44150,1369,45519,299,54,353
市部／昭島市,20973,840,21813,20657,825,21482,316,15,331
市部／調布市,37214,1321,38535,36864,1280,38144,350,41,391
市部／町田市,100247,2868,103115,99531,2803,102334,716,65,781
市部／小金井市,23462,742,24204,23233,703,23936,229,39,268
市部／小平市,47938,1646,49584,47428,1585,49013,510,61,571
市部／日野市,47204,1657,48861,46822,1572,48394,382,85,467
市部／東村山市,32754,844,33598,32425,797,33222,329,47,376
市部／国分寺市,26678,950,27628,26488,891,27379,190,59,249
市部／国立市,13225,605,13830,13124,586,13710,101,19,120
市部／福生市,10684,400,11084,10626,381,11007,58,19,77
市部／狛江市,17836,628,18464,17715,613,18328,121,15,136
市部／東大和市,18057,498,18555,17954,472,18426,103,26,129
市部／清瀬市,14118,311,14429,13965,285,14250,153,26,179
市部／東久留米市,36623,992,37615,32694,698,33392,3929,294,4223
市部／武蔵村山市,19231,580,19811,18922,567,19489,309,13,322
市部／多摩市,40129,860,40989,39583,828,40411,546,32,578
市部／稲城市,13858,487,14345,13714,464,14178,144,23,167
市部／羽村市,12700,378,13078,12599,358,12957,101,20,121
市部／あきる野市,27312,703,28015,27191,685,27876,121,18,139
市部／西東京市,55370,3502,58872,54914,3425,58339,456,77,533
市部／市部計,901838,30865,932703,890747,29572,920319,11091,1293,12384
区部・市部計,2090390,122657,2213047,2072293,123888,2196181,18097,-1231,16866
