区市町村名,宅地面積A(千m2),建物延床面積B(千m2),概算容積率C＝B/A×100(%),指定平均容積率D(%),充足率E＝C/D×100(%)
区部／千代田区,3652,25224,690.6,561.9,122.9
区部／中央区,3938,23472,596.1,571,104.4
区部／港区,9309,38025,408.5,408.5,100
区部／新宿区,9870,26320,266.7,387.2,68.9
区部／文京区,5873,12781,217.6,338,64.4
区部／台東区,4534,14133,311.7,484.8,64.3
区部／墨田区,6845,14033,205,325.7,62.9
区部／江東区,14941,31441,210.4,288.3,73
区部／品川区,11520,23930,207.7,278.5,74.6
区部／目黒区,9114,13684,150.1,207.4,72.4
区部／大田区,25018,36902,147.5,217.1,67.9
区部／世田谷区,35066,38843,110.8,169.2,65.5
区部／渋谷区,8124,20785,255.9,327.8,78.1
区部／中野区,10072,13835,137.4,216.6,63.4
区部／杉並区,21648,23168,107,155.9,68.6
区部／豊島区,7794,16148,207.2,354.6,58.4
区部／北区,9549,14390,150.7,253.2,59.5
区部／荒川区,5374,9265,172.4,326,52.9
区部／板橋区,18071,23557,130.4,235.6,55.3
区部／練馬区,28528,28060,98.4,164.5,59.8
区部／足立区,27343,27891,102,242.7,42
区部／葛飾区,16573,18034,108.8,212.6,51.2
区部／江戸川区,23325,26717,114.5,234.5,48.8
区部／区部計,316080,520638,164.7,257.2,64
市部／八王子市,38635,28006,72.5,126.1,57.5
市部／立川市,10893,9155,84,165.3,50.8
市部／武蔵野市,6330,7320,115.6,165.1,70
市部／三鷹市,8702,7590,87.2,127.7,68.3
市部／青梅市,12699,7044,55.5,147.6,37.6
市部／府中市,13036,11942,91.6,158.8,57.7
市部／昭島市,7689,5523,71.8,157.9,45.5
市部／調布市,10303,9630,93.5,137.3,68.1
市部／町田市,28540,19241,67.4,116.8,57.7
市部／小金井市,5778,4927,85.3,126,67.7
市部／小平市,10323,7734,74.9,131.3,57.1
市部／日野市,11370,8543,75.1,132.9,56.5
市部／東村山市,7796,5949,76.3,127.4,59.9
市部／国分寺市,6458,5376,83.2,132.7,62.7
市部／国立市,4139,3402,82.2,158,52
市部／福生市,3635,2499,68.8,165.9,41.4
市部／狛江市,3350,3151,94.1,126.9,74.1
市部／東大和市,5217,3511,67.3,105.9,63.6
市部／清瀬市,3707,2759,74.4,144.8,51.4
市部／東久留米市,6766,4783,70.7,128.5,55
市部／武蔵村山市,5487,3341,60.9,113.8,53.5
市部／多摩市,8197,7435,90.7,172.3,52.6
市部／稲城市,5041,3797,75.3,118.7,63.5
市部／羽村市,5467,3222,58.9,172.2,34.2
市部／あきる野市,8392,3898,46.4,115.3,40.3
市部／西東京市,8934,7934,88.8,140.9,63
市部／市部計,246887,187712,76,135.3,56.2
西多摩郡／瑞穂町,5037,2431,48.3,113.2,42.6
西多摩郡／日の出町,2486,1092,43.9,117.9,37.3
西多摩郡／檜原村,418,192,46,,・・・
西多摩郡／奥多摩町,841,384,45.7,,・・・
西多摩郡／西多摩郡計,8782,4099,46.7,114.3,40.8
多摩地域計,255669,191811,75,134.7,55.7
区部・多摩計,571750,712449,124.6,198.7,62.7
