区分,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年
50m2未満／件数（件）,1097,1182,1177,1046,2029,2152,2084,2030,1849,1846
50m2未満／面積（m2）,23164,26569,24075,22401,30261,38027,35315,31590,30210,31052
50m2以上100m2未満／件数（件）,861,841,909,837,750,802,753,648,613,586
50m2以上100m2未満／面積（m2）,62402,59321,63518,58541,51158,54856,51875,44976,42706,40538
100m2以上150m2未満／件数（件）,311,368,316,262,211,254,244,211,218,201
100m2以上150m2未満／面積（m2）,37505,45495,38402,31594,25704,30627,28955,25491,26327,24138
150m2以上200m2未満／件数（件）,120,207,141,148,76,102,105,86,103,92
150m2以上200m2未満／面積（m2）,20935,35146,24271,25584,13090,17448,18017,14819,17562,15827
200m2以上300m2未満／件数（件）,96,111,117,120,58,104,69,58,82,52
200m2以上300m2未満／面積（m2）,23776,27332,28206,29593,13855,24104,16437,13968,19877,12197
300m2以上500m2未満／件数（件）,77,98,80,81,26,36,24,32,44,35
300m2以上500m2未満／面積（m2）,27891,34728,29296,30928,9728,13116,8921,11907,16001,12808
500m2以上1000m2未満／件数（件）,34,27,26,21,7,3,5,9,11,8
500m2以上1000m2未満／面積（m2）,22423,17876,17102,15264,4283,1908,3547,5752,7905,4817
1000m2以上2000m2未満／件数（件）,12,6,10,5,0,3,0,2,1,1
1000m2以上2000m2未満／面積（m2）,14544,7024,11166,5984,0,4242,0,2700,1162,1046
2000m2以上5000m2未満／件数（件）,8,7,1,10,0,0,0,1,0,0
2000m2以上5000m2未満／面積（m2）,26957,24014,3199,34908,0,0,0,2612,0,0
5000m2以上10000m2未満／件数（件）,8,31,8,5,0,0,0,0,0,0
5000m2以上10000m2未満／面積（m2）,60023,220914,60023,36423,0,0,0,0,0,0
10000m2以上／件数（件）,0,0,0,6,0,0,0,0,0,0
10000m2以上／面積（m2）,0,0,0,117822,0,0,0,0,0,0
合計／件数（件）,2624,2878,2785,2541,3157,3456,3284,3077,2921,2821
合計／面積（m2）,319618,498417,299256,409041,148080,184328,163067,153815,161750,142423
