区市町村名,住宅地,商業地,工業地,全用途平均
千代田区,"2,704.3","6,274.8",,"5,858.2"
中央区,"1,332.2","9,034.5",,"7,951.4"
港区,"2,076.7","5,113.8",,"4,016.0"
新宿区,816.8,"4,825.0",,"3,334.8"
文京区,"1,011.3","1,519.1",,"1,280.1"
台東区,932.8,"1,570.6",,"1,499.7"
墨田区,443.5,832.1,,654.0
江東区,489.4,906.2,482.3,636.4
品川区,860.2,"1,689.7",434.0,"1,240.2"
目黒区,973.8,"1,796.6",,"1,270.0"
大田区,532.5,905.3,408.8,663.2
世田谷区,640.6,"1,028.9",,727.5
渋谷区,"1,334.9","7,078.2",,"4,547.3"
中野区,605.8,"1,245.0",,895.2
杉並区,549.7,978.3,,664.3
豊島区,644.8,"2,174.3",,"1,534.7"
北区,535.2,983.1,,722.5
荒川区,514.9,887.8,,669.2
板橋区,434.1,714.3,286.7,503.8
練馬区,395.9,760.2,,452.2
足立区,321.1,602.6,238.6,399.2
葛飾区,323.3,512.6,,377.4
江戸川区,365.5,647.9,321.3,413.3
区部,641.4,"3,066.2",352.0,"1,668.8"
八王子市,116.4,450.1,114.0,154.4
立川市,252.8,"1,320.4",161.0,464.0
武蔵野市,575.4,"1,954.5",,"1,064.7"
三鷹市,417.7,839.9,,535.5
青梅市,92.5,187.8,,103.8
府中市,297.2,560.3,189.0,342.2
昭島市,185.9,316.7,152.0,201.5
調布市,343.5,769.3,,406.9
町田市,155.9,723.5,,245.5
小金井市,339.8,701.6,,415.2
小平市,229.5,319.9,,246.3
日野市,188.7,420.7,150.3,216.5
東村山市,186.5,301.2,151.0,217.7
国分寺市,290.8,600.9,,385.1
国立市,344.5,638.0,194.0,393.1
福生市,163.6,284.0,,201.3
狛江市,312.4,478.5,,336.1
東大和市,167.6,195.7,150.0,170.2
清瀬市,184.7,348.0,148.0,200.8
東久留米市,215.1,283.8,194.0,224.5
武蔵村山市,120.0,145.0,110.0,122.1
多摩市,183.1,396.0,,211.9
稲城市,237.4,262.3,,239.9
羽村市,137.8,177.0,89.2,136.9
あきる野市,95.8,165.5,73.9,100.3
西東京市,290.2,436.1,,320.1
瑞穂町,91.1,121.5,73.8,88.2
日の出町,85.6,92.0,91.8,76.7
檜原村,,,,
奥多摩町,,,,
多摩地域,215.4,620.9,136.5,281.1
大島町,9.4,41.0,,19.9
新島村,6.3,8.6,,7.1
神津島村,7.1,9.5,,7.9
三宅村,8.9,10.9,,9.6
八丈町,9.0,30.5,,16.2
小笠原村,40.8,75.0,,52.2
島しょ,13.6,29.3,,18.8
東京都,437.7,"2,562.6",255.0,"1,129.4"
