区市町村名,行政面積／令和2年／(A)(km2),行政面積／平成31年／(C)(km2),民有地面積／令和2年／(B)(km2),有地面積／令和2年／(B/A)(km2),民有地面積／平成31年／(D)(km2),民有地面積／平成31年／(C/D)(km2),民有地増減(B-D)(%)
区部／千代田区,11.66,11.66,4.06,34.85,4.06,34.83,0
区部／中央区,10.21,10.21,3.94,38.6,3.94,38.62,0
区部／港区,20.37,20.37,10.02,49.21,10.03,49.24,-0.01
区部／新宿区,18.22,18.22,10.18,55.88,10.19,55.92,-0.01
区部／文京区,11.29,11.29,5.95,52.67,5.95,52.7,0
区部／台東区,10.11,10.11,4.8,47.5,4.8,47.51,0
区部／墨田区,13.77,13.77,7.1,51.53,7.09,51.52,0
区部／江東区,42.99,40.16,15.28,35.54,15.62,38.88,-0.34
区部／品川区,22.84,22.84,12.77,55.9,13.65,59.75,-0.88
区部／目黒区,14.67,14.67,9.29,63.29,9.29,63.34,-0.01
区部／大田区,61.86,60.83,25.53,41.26,25.79,42.4,-0.27
区部／世田谷区,58.05,58.05,36.79,63.37,36.81,63.42,-0.03
区部／渋谷区,15.11,15.11,8.48,56.13,8.48,56.12,0
区部／中野区,15.59,15.59,10.36,66.47,10.37,66.49,0
区部／杉並区,34.06,34.06,22.4,65.77,22.39,65.75,0.01
区部／豊島区,13.01,13.01,8.18,62.85,8.17,62.81,0.01
区部／北区,20.61,20.61,10.46,50.77,10.47,50.79,0
区部／荒川区,10.16,10.16,5.88,57.83,5.88,57.92,-0.01
区部／板橋区,32.22,32.22,18.49,57.37,18.49,57.38,0
区部／練馬区,48.08,48.08,31.05,64.58,31.07,64.62,-0.02
区部／足立区,53.25,53.25,28.5,53.52,28.51,53.54,-0.01
区部／葛飾区,34.8,34.8,17.41,50.03,17.42,50.06,-0.01
区部／江戸川区,49.9,49.9,23.83,47.75,24.05,48.21,-0.23
区部／荒川河口部,1.12,1.12,-,-,-,-,-
区部／中央防波堤埋立地,3.58,7.48,-,-,-,-,-
区部／区部計,627.53,627.57,330.73,52.7,332.53,52.99,-1.8
市部／八王子市,186.38,186.38,90.51,48.56,90.61,48.62,-0.1
市部／立川市,24.36,24.36,13.91,57.09,13.9,57.06,0.01
市部／武蔵野市,10.98,10.98,6.78,61.75,6.78,61.74,0
市部／三鷹市,16.42,16.42,10.31,62.8,10.31,62.77,0
市部／青梅市,103.31,103.31,60.36,58.43,60.36,58.43,0
市部／府中市,29.43,29.43,15.13,51.42,15.13,51.4,0.01
市部／昭島市,17.34,17.34,9.1,52.47,9.16,52.82,-0.06
市部／調布市,21.58,21.58,11.96,55.44,11.99,55.54,-0.02
市部／町田市,71.55,71.55,41.87,58.51,41.91,58.57,-0.04
市部／小金井市,11.3,11.3,6.66,58.91,6.67,59.02,-0.01
市部／小平市,20.51,20.51,13.12,63.96,13.13,64.01,-0.01
市部／日野市,27.55,27.55,14.41,52.3,14.41,52.31,0
市部／東村山市,17.14,17.14,9.92,57.86,9.93,57.95,-0.01
市部／国分寺市,11.46,11.46,8.05,70.27,8.06,70.34,-0.01
市部／国立市,8.15,8.15,4.77,58.56,4.78,58.63,-0.01
市部／福生市,10.16,10.16,3.9,38.38,3.9,38.36,0
市部／狛江市,6.39,6.39,3.99,62.37,3.99,62.39,0
市部／東大和市,13.42,13.42,6.05,45.09,6.05,45.09,0
市部／清瀬市,10.23,10.23,5.9,57.67,5.89,57.62,0
市部／東久留米市,12.88,12.88,8.45,65.58,8.45,65.62,0
市部／武蔵村山市,15.32,15.32,8.85,57.79,8.88,57.99,-0.03
市部／多摩市,21.01,21.01,10.17,48.4,10.11,48.11,0.06
市部／稲城市,17.97,17.97,9.37,52.14,9.39,52.27,-0.02
市部／羽村市,9.9,9.9,6.08,61.42,6.08,61.37,0
市部／あきる野市,73.47,73.47,37.76,51.4,37.75,51.39,0.01
市部／西東京市,15.75,15.75,10.43,66.21,10.43,66.24,0
市部／市部計,783.96,783.96,427.8,54.57,428.04,54.6,-0.25
区部･市部計,1411.49,1411.53,758.53,53.74,760.58,53.88,-2.04
西多摩郡,375.86,375.86,129.77,34.53,130.92,34.83,-1.14
島しょ,406.7,406.69,135.73,33.37,136,33.44,-0.27
東京都総計,2194.05,2194.08,1024.04,46.67,1027.5,46.83,-3.46
