区名,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),238,187,53,29,31,14,9,3,1,0,0,565
千代田区／面積(m2),6007,13302,6367,4991,7221,5484,6278,4719,3493,0,0,57862
中央区／件数(件),582,267,113,37,28,20,5,2,0,0,0,1054
中央区／面積(m2),12084,18919,13566,6263,6771,7829,3576,2673,0,0,0,71681
港区／件数(件),604,301,134,103,71,51,22,12,3,0,2,1303
港区／面積(m2),11201,21648,16123,17577,16896,18411,14648,18128,9044,0,27612,171288
新宿区／件数(件),1380,625,304,127,130,62,23,5,1,0,0,2657
新宿区／面積(m2),22749,44482,36885,21886,30712,22919,15836,6186,3831,0,0,205486
文京区／件数(件),745,335,143,81,41,38,13,2,2,0,0,1400
文京区／面積(m2),14413,23151,17644,13822,9680,13846,8170,3126,6807,0,0,110659
台東区／件数(件),821,487,195,71,55,36,5,0,0,0,0,1670
台東区／面積(m2),19971,34369,23236,12195,13114,12887,3409,0,0,0,0,119181
墨田区／件数(件),1148,542,214,118,88,50,13,5,1,0,0,2179
墨田区／面積(m2),23898,38325,26143,20167,21490,17721,8595,6220,3232,0,0,165791
江東区／件数(件),1211,564,195,80,63,49,23,10,4,4,1,2204
江東区／面積(m2),25857,38426,23439,13664,15315,18430,15522,13857,10697,24889,11669,211765
品川区／件数(件),1589,653,245,146,100,50,21,14,6,1,0,2825
品川区／面積(m2),27328,45350,29442,25018,24552,19095,14413,18659,18806,5019,0,227682
目黒区／件数(件),1181,548,286,146,125,83,26,2,3,0,0,2400
目黒区／面積(m2),20406,40171,34716,25261,29850,30726,17087,2965,8126,0,0,209308
大田区／件数(件),3155,1544,635,325,262,140,85,11,6,0,0,6163
大田区／面積(m2),59963,108182,77353,56361,64175,53866,58649,16287,19067,0,0,513903
世田谷区／件数(件),3868,1996,1093,469,387,248,111,42,7,2,1,8224
世田谷区／面積(m2),68199,146046,129675,80839,93574,93849,75233,55403,17503,14477,17159,791957
渋谷区／件数(件),962,425,194,101,111,66,29,3,1,1,0,1893
渋谷区／面積(m2),15975,30779,23768,17548,27058,24882,18554,3296,2260,5413,0,169533
中野区／件数(件),1589,813,325,153,136,52,18,5,1,1,1,3094
中野区／面積(m2),27715,58425,39141,26239,32309,18878,11483,7089,2627,7437,15585,246928
杉並区／件数(件),2903,1429,613,269,260,148,45,12,3,1,0,5683
杉並区／面積(m2),51087,102975,73047,46424,62205,54795,29940,16103,8025,9800,0,454401
豊島区／件数(件),1272,582,231,104,86,39,16,1,0,0,0,2331
豊島区／面積(m2),22901,40958,27721,17733,20727,15053,9792,1102,0,0,0,155987
北区／件数(件),1543,749,232,117,77,52,25,8,0,0,0,2803
北区／面積(m2),27604,52821,28063,20077,18160,19323,15470,12301,0,0,0,193819
荒川区／件数(件),1352,571,147,76,72,30,17,2,0,0,1,2268
荒川区／面積(m2),25412,38678,17851,12949,17754,11138,10880,2252,0,0,16272,153186
板橋区／件数(件),2118,1130,435,166,148,116,51,17,3,1,1,4186
板橋区／面積(m2),34886,81321,52182,28333,35582,45550,34151,20847,9062,8289,91256,441459
練馬区／件数(件),3957,1872,1181,333,254,145,83,36,12,1,0,7874
練馬区／面積(m2),56065,134800,137314,56475,59913,56062,56812,49078,31839,6401,0,644759
足立区／件数(件),4020,1959,763,285,233,160,119,21,0,0,0,7560
足立区／面積(m2),60643,143585,89584,48646,56466,58844,82767,26449,0,0,0,566984
葛飾区／件数(件),2754,1347,384,150,115,103,49,10,2,1,0,4915
葛飾区／面積(m2),48313,96252,44912,25870,27490,38413,32690,12273,4805,5008,0,336026
江戸川区／件数(件),3006,1618,514,174,160,119,105,4,1,1,0,5702
江戸川区／面積(m2),54880,117532,60246,29972,39452,45171,69810,4986,2456,7240,0,431745
合計／件数(件),41998,20544,8629,3660,3033,1871,913,227,57,14,7,80953
合計／面積(m2),737557,1470497,1028418,628310,730466,703172,613765,303999,161680,93973,179553,6651390
