摘要,全地目／所有者数(人),全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数(人),宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,97811,94.4,30814,33.4,97568,94.5,30724,37.8
区部／2000m2以上,5823,5.6,61515,66.6,5693,5.5,50575,62.2
区部／計,103634,100,92329,100,103261,100,81299,100
市部／2000m2未満,29187,88.4,12921,12.6,25965,90.2,11237,24.3
市部／2000m2以上,3821,11.6,89259,87.4,2822,9.8,35009,75.7
市部／計,33008,100,102180,100,28787,100,46246,100
区市計／2000m2未満,126998,92.9,43735,22.5,123533,93.6,41961,32.9
区市計／2000m2以上,9644,7.1,150774,77.5,8515,6.4,85584,67.1
区市計／計,136642,100,194509,100,132048,100,127545,100
