区市町村名,宅地計／個人（千m2）,宅地計／法人（千m2）,宅地計／合計（千m2）,住宅地区／個人（千m2）,住宅地区／法人（千m2）,住宅地区／合計（千m2）,商業地区／個人（千m2）,商業地区／法人（千m2）,商業地区／合計（千m2）,工業地区／個人（千m2）,工業地区／法人（千m2）,工業地区／合計（千m2）,その他の宅地／個人（千m2）,その他の宅地／法人（千m2）,その他の宅地／合計（千m2）
千代田区,1093,2567,3661,241,247,488,852,2320,3172,0,0,0,0,0,0
中央区,1525,2404,3929,727,608,1334,787,1687,2474,11,110,121,0,0,0
港区,3910,5391,9301,3115,2988,6104,782,2203,2985,13,200,213,0,0,0
新宿区,6445,3441,9886,6011,2586,8597,381,817,1197,53,38,91,0,0,0
文京区,4197,1685,5882,3834,1264,5098,324,410,734,39,11,50,0,0,0
台東区,2914,1621,4535,1513,522,2036,1401,1099,2500,0,0,0,0,0,0
墨田区,4793,2057,6851,3860,1354,5215,216,243,459,717,460,1177,0,0,0
江東区,6392,8563,14956,6065,4008,10073,111,575,685,217,3980,4198,0,0,0
品川区,7504,4032,11537,7145,2247,9392,291,507,799,68,1278,1346,0,0,0
目黒区,7184,1925,9108,7024,1753,8777,160,172,331,0,0,0,0,0,0
大田区,18234,6802,25036,18007,4411,22418,147,168,315,80,2223,2303,0,0,0
世田谷区,29157,5663,34820,29021,5581,34603,135,81,217,0,0,0,0,0,0
渋谷区,5272,2846,8118,4923,1937,6859,350,909,1259,0,0,0,0,0,0
中野区,8484,1590,10074,8391,1506,9897,92,85,177,0,0,0,0,0,0
杉並区,18951,2668,21618,18828,2607,21436,123,60,183,0,0,0,0,0,0
豊島区,6077,1730,7808,5645,1216,6860,433,515,947,0,0,0,0,0,0
北区,6841,2729,9570,6568,2205,8773,116,87,203,158,437,594,0,0,0
荒川区,4131,1268,5398,3637,883,4521,99,61,161,394,323,717,0,0,0
板橋区,13818,4261,18079,13582,3018,16600,65,93,158,170,1150,1320,0,0,0
練馬区,25460,2983,28444,25413,2960,28373,47,23,71,0,0,0,0,0,0
足立区,22122,5191,27313,21100,3944,25044,192,161,354,830,1086,1916,0,0,0
葛飾区,13849,2735,16584,13360,2263,15624,243,167,410,245,305,550,0,0,0
江戸川区,18693,4643,23337,18411,3526,21937,214,120,334,69,997,1066,0,0,0
区部計,237047,78797,315845,226422,53635,280059,7561,12563,20125,3064,12598,15662,0,0,0
八王子市,30778,7336,38114,27782,3940,31722,217,376,593,22,1430,1452,2757,1590,4347
立川市,7829,2973,10802,7611,1384,8994,217,493,710,1,1096,1097,0,0,0
武蔵野市,5120,1193,6313,4757,766,5523,357,256,613,7,170,177,0,0,0
三鷹市,7257,1388,8645,7053,981,8034,194,114,308,4,293,296,7,0,7
青梅市,10451,2145,12597,9228,902,10130,45,137,183,229,977,1206,949,129,1078
府中市,9824,3128,12951,9226,1358,10584,217,82,299,380,1688,2068,0,0,0
昭島市,5198,2379,7577,5059,792,5851,50,451,501,88,1137,1225,0,0,0
調布市,8399,1819,10218,8112,1564,9676,223,74,297,64,181,245,1,0,1
町田市,24012,4259,28272,22997,3308,26305,331,351,683,191,388,578,494,212,706
小金井市,5093,638,5731,4965,587,5552,127,45,172,0,6,6,0,0,0
小平市,8516,1740,10257,8276,1026,9302,161,95,256,79,619,698,0,0,0
日野市,8767,2473,11241,8379,939,9318,53,61,115,335,1473,1808,0,0,0
東村山市,6780,909,7689,6388,653,7042,137,55,191,256,201,456,0,0,0
国分寺市,5267,1114,6381,5208,808,6016,59,66,124,0,241,241,0,0,0
国立市,3385,751,4136,3157,607,3764,134,40,175,93,103,197,1,0,1
福生市,3117,503,3619,2933,386,3320,139,46,185,44,71,115,0,0,0
狛江市,3075,344,3419,2887,262,3149,108,54,162,81,28,108,0,0,0
東大和市,4454,708,5162,4375,424,4799,56,93,149,23,191,214,0,0,0
清瀬市,3033,584,3618,2934,471,3406,74,49,123,25,64,88,0,0,0
東久留米市,5548,1139,6687,5326,832,6158,136,126,263,38,172,210,48,8,55
武蔵村山市,4547,872,5418,4064,241,4305,165,169,333,318,462,780,0,0,0
多摩市,5963,2154,8117,5752,1195,6947,211,959,1170,0,0,0,0,0,0
稲城市,3875,1005,4880,3843,736,4579,10,170,180,11,93,105,11,6,17
羽村市,3614,1826,5440,3279,263,3542,166,23,189,162,1539,1701,8,0,8
あきる野市,7431,878,8309,6615,308,6923,73,36,109,80,315,394,664,219,883
西東京市,7694,1144,8838,7497,917,8414,189,71,260,8,156,164,0,0,0
市部計,199031,45399,244430,187702,25651,213353,3852,4491,8343,2538,13093,15631,4939,2163,7103
瑞穂町,3612,1332,4944,2250,135,2385,113,17,130,742,1119,1860,507,62,569
日の出町,1985,476,2461,1238,105,1343,96,14,110,49,140,189,601,217,818
檜原村,410,18,428,0,0,0,0,0,0,0,0,0,410,18,428
奥多磨町,782,79,861,98,32,131,0,0,0,0,0,0,684,47,730
西多摩郡計,6788,1905,8693,3586,273,3859,210,30,240,791,1258,2049,2202,343,2545
多摩地域計,205819,47304,253123,191288,25924,217212,4062,4521,8583,3329,14351,17680,7141,2506,9648
区部・多摩計,442866,126101,568968,417710,79559,497271,11623,17084,28708,6393,26949,33342,7141,2506,9648
