順位,標準地番号,都道府県,標準地の所在地,令和２年,令和３年,変動率
1,豊見城－9－1,沖縄県,字豊崎３番６２,"79,000","102,000",29.1
2,糸満－9－1,沖縄県,西崎町５丁目８番７外,"50,100","61,300",22.4
3,那覇－9－1,沖縄県,港町３丁目７番１０,"136,000","155,000",14.0
4,筑紫野－9－1,福岡県,岡田３丁目１０番２,"29,000","32,700",12.8
5,福岡東－9－2,福岡県,松島５丁目１０区４番１,"79,000","88,500",12.0
6,福岡東－9－7,福岡県,松島１丁目８区６番,"93,200","104,000",11.6
7,鳥栖－9－1,佐賀県,原町字本原１０６０番外,"43,100","47,900",11.1
8,横浜鶴見－9－2,神奈川県,大黒町３６番１４,"126,000","140,000",11.1
9,松戸－9－1,千葉県,松飛台字中原３３６番１７,"120,000","133,000",10.8
10,浦添－9－2,沖縄県,西洲２丁目４番４,"111,000","123,000",10.8
