区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
八王子市／100m2未満,2807,33,93,2,359,28,9,0,3166,33,102,1
八王子市／200m2未満,1726,20,252,5,183,14,27,0,1909,20,278,2
八王子市／300m2未満,1077,13,265,5,104,8,26,0,1181,12,290,2
八王子市／500m2未満,1043,12,402,7,163,13,64,1,1206,12,466,4
八王子市／1000m2未満,982,12,682,13,186,15,137,2,1168,12,819,7
八王子市／2000m2未満,495,6,704,13,105,8,145,2,600,6,848,7
八王子市／5000m2未満,208,2,619,11,91,7,271,4,299,3,890,7
八王子市／10000m2未満,48,1,311,6,21,2,135,2,69,1,446,4
八王子市／10000m2以上,49,1,2071,38,58,5,6035,88,107,1,8105,66
八王子市／計,8435,100,5398,100,1270,100,6848,100,9705,100,12246,100
立川市／100m2未満,329,83,5,12,86,79,1,0,415,82,6,1
立川市／200m2未満,26,7,4,8,5,5,1,0,31,6,4,1
立川市／300m2未満,20,5,5,11,2,2,1,0,22,4,5,1
立川市／500m2未満,9,2,3,8,2,2,1,0,11,2,4,1
立川市／1000m2未満,7,2,5,12,3,3,3,1,10,2,8,1
立川市／2000m2未満,3,1,4,9,0,0,0,0,3,1,4,1
立川市／5000m2未満,2,1,6,14,2,2,8,2,4,1,14,3
立川市／10000m2未満,2,1,12,26,1,1,8,2,3,1,20,4
立川市／10000m2以上,0,0,0,0,8,7,479,96,8,2,479,88
立川市／計,398,100,45,100,109,100,501,100,507,100,546,100
武蔵野市／100m2未満,129,90,3,11,6,30,0,0,135,83,3,2
武蔵野市／200m2未満,8,6,1,4,1,5,0,0,9,6,1,1
武蔵野市／300m2未満,0,0,0,0,0,0,0,0,0,0,0,0
武蔵野市／500m2未満,0,0,0,0,2,10,1,0,2,1,1,0
武蔵野市／1000m2未満,1,1,1,2,1,5,1,0,2,1,1,1
武蔵野市／2000m2未満,1,1,1,5,0,0,0,0,1,1,1,1
武蔵野市／5000m2未満,3,2,10,38,2,10,5,3,5,3,15,8
武蔵野市／10000m2未満,0,0,0,0,4,20,29,18,4,2,29,15
武蔵野市／10000m2以上,1,1,11,40,4,20,127,78,5,3,138,73
武蔵野市／計,143,100,28,100,20,100,162,100,163,100,190,100
三鷹市／100m2未満,74,67,2,6,7,44,0,0,81,64,2,2
三鷹市／200m2未満,15,14,2,6,0,0,0,0,15,12,2,1
三鷹市／300m2未満,5,5,1,3,1,6,0,0,6,5,1,1
三鷹市／500m2未満,8,7,3,8,1,6,0,0,9,7,3,2
三鷹市／1000m2未満,2,2,1,3,2,13,1,1,4,3,2,2
三鷹市／2000m2未満,0,0,0,0,0,0,0,0,0,0,0,0
三鷹市／5000m2未満,3,3,9,24,1,6,5,5,4,3,14,10
三鷹市／10000m2未満,3,3,19,51,2,13,13,13,5,4,32,23
三鷹市／10000m2以上,0,0,0,0,2,13,82,81,2,2,82,59
三鷹市／計,110,100,38,100,16,100,102,100,126,100,140,100
青梅市／100m2未満,805,29,33,1,100,28,4,0,905,29,37,0
青梅市／200m2未満,443,16,65,3,33,9,5,0,476,15,70,1
青梅市／300m2未満,265,10,66,3,19,5,5,0,284,9,71,1
青梅市／500m2未満,356,13,141,6,27,8,11,0,383,12,152,2
青梅市／1000m2未満,357,13,253,10,46,13,35,1,403,13,289,3
青梅市／2000m2未満,269,10,376,15,37,10,51,1,306,10,428,5
青梅市／5000m2未満,187,7,580,23,34,9,109,2,221,7,690,8
青梅市／10000m2未満,58,2,411,16,12,3,88,1,70,2,498,6
青梅市／10000m2以上,33,1,619,24,52,14,6150,95,85,3,6770,75
青梅市／計,2773,100,2544,100,360,100,6458,100,3133,100,9003,100
府中市／100m2未満,1576,94,28,45,132,76,2,0,1708,92,30,3
府中市／200m2未満,56,3,8,13,9,5,1,0,65,4,9,1
府中市／300m2未満,22,1,5,8,3,2,1,0,25,1,6,1
府中市／500m2未満,14,1,5,9,3,2,1,0,17,1,6,1
府中市／1000m2未満,10,1,7,12,4,2,3,0,14,1,10,1
府中市／2000m2未満,2,0,3,4,5,3,8,1,7,0,10,1
府中市／5000m2未満,2,0,5,9,4,2,13,1,6,0,18,2
府中市／10000m2未満,0,0,0,0,2,1,14,2,2,0,14,2
