区市名,宅地所有者（人）,宅地面積（千m2）,一人当たり面積（m2）,,,,,,
区部／千代田区,5067,606 ,120,,,,,,
区部／中央区,8115,728 ,90,,,,,,
区部／港区,13234,1923 ,145,,,,,,
区部／新宿区,32917,4867 ,148,,,,,,
区部／文京区,25731,3307 ,129,,,,,,
区部／台東区,22589,2457 ,109,,,,,,
区部／墨田区,29445,3950 ,134,,,,,,
区部／江東区,29899,3924 ,131,,,,,,
区部／品川区,41435,5856 ,141,,,,,,
区部／目黒区,36296,6167 ,170,,,,,,
区部／大田区,89321,15825 ,177,,,,,,
区部／世田谷区,130007,25446 ,196,,,,,,
区部／渋谷区,24103,3918 ,163,,,,,,
区部／中野区,47750,7566 ,158,,,,,,
区部／杉並区,93010,17348 ,187,,,,,,
区部／豊島区,35359,5310 ,150,,,,,,
区部／北区,39988,6013 ,150,,,,,,
区部／荒川区,24167,3508 ,145,,,,,,
区部／板橋区,63915,11622 ,182,,,,,,
区部／練馬区,120477,23509 ,195,,,,,,
区部／足立区,101542,20432 ,201,,,,,,
区部／葛飾区,71450,12711 ,178,,,,,,
区部／江戸川区,95362,17119 ,180,,,,,,
区部／区部計,1181179,204114 ,173,,,,,,
市部／八王子市,112868,30733 ,272,,,,,,
市部／立川市,30092,7813 ,260,,,,,,
市部／武蔵野市,21636,5119 ,237,,,,,,
市部／三鷹市,31230,7238 ,232,,,,,,
市部／青梅市,33046,10420 ,315,,,,,,
市部／府中市,41803,9822 ,235,,,,,,
市部／昭島市,20129,5178 ,257,,,,,,
市部／調布市,35885,8371 ,233,,,,,,
市部／町田市,91705,23967 ,261,,,,,,
市部／小金井市,22842,5087 ,223,,,,,,
市部／小平市,45616,8479 ,186,,,,,,
市部／日野市,37268,8735 ,234,,,,,,
市部／東村山市,31391,6757 ,215,,,,,,
市部／国分寺市,25957,5272 ,203,,,,,,
市部／国立市,13045,3382 ,259,,,,,,
市部／福生市,10420,3120 ,299,,,,,,
市部／狛江市,17234,3064 ,178,,,,,,
市部／東大和市,17286,4457 ,258,,,,,,
市部／清瀬市,13738,3008 ,219,,,,,,
市部／東久留米市,31638,5524 ,175,,,,,,
市部／武蔵村山市,18027,4508 ,250,,,,,,
市部／多摩市,38672,5944 ,154,,,,,,
市部／稲城市,12294,3863 ,314,,,,,,
市部／羽村市,12427,3618 ,291,,,,,,
市部／あきる野市,25159,7413 ,295,,,,,,
市部／西東京市,53025,7644 ,144,,,,,,
市部／市部計,844433,198536 ,235,,,,,,
区部・市部計,2025612,402651 ,199,,,,,,
