区市名,面積／令和4年(千m2),面積／令和3年(千m2),面積／令和4年－令和3年(千m2)
区部／千代田区,172,176,-4
区部／中央区,293,298,-5
区部／港区,398,402,-3
区部／新宿区,1064,1063,1
区部／文京区,916,914,2
区部／台東区,861,865,-4
区部／墨田区,1143,1142,1
区部／江東区,1236,1228,8
区部／品川区,1555,1549,5
区部／目黒区,1133,1124,9
区部／大田区,3155,3109,46
区部／世田谷区,3666,3611,55
区部／渋谷区,715,718,-3
区部／中野区,1606,1587,19
区部／杉並区,2697,2642,55
区部／豊島区,1233,1226,7
区部／北区,1555,1541,14
区部／荒川区,955,946,8
区部／板橋区,2423,2403,20
区部／練馬区,3450,3416,33
区部／足立区,3924,3879,45
区部／葛飾区,2981,2946,34
区部／江戸川区,4030,3997,33
区部／区部計,41160,40783,377
市部／八王子市,768,772,-4
市部／立川市,508,493,14
市部／武蔵野市,352,351,1
市部／三鷹市,570,564,6
市部／青梅市,257,259,-2
市部／府中市,857,845,12
市部／昭島市,278,277,1
市部／調布市,1232,1219,12
市部／町田市,506,506,0
市部／小金井市,396,389,7
市部／小平市,1121,1120,1
市部／日野市,446,443,3
市部／東村山市,556,554,1
市部／国分寺市,451,449,2
市部／国立市,210,205,5
市部／福生市,149,149,0
市部／狛江市,464,467,-2
市部／東大和市,245,244,1
市部／清瀬市,178,176,2
市部／東久留米市,1002,998,4
市部／武蔵村山市,204,205,-1
市部／多摩市,800,799,1
市部／稲城市,175,173,2
市部／羽村市,154,154,-1
市部／あきる野市,130,131,-1
市部／西東京市,1347,1338,9
市部／市部計,13354,13281,72
区部・市部計,54514,54064,450
