区名,買主／個人／件数(件),買主／個人／面積(m2),買主／法人／件数(件),買主／法人／面積(m2),買主／国等／件数(件),買主／国等／面積(m2),買主／合計／件数(件),買主／合計／面積(m2)
千代田区,71,3359,559,48593,11,2396,641,54348
中央区,178,7753,957,64624,6,471,1141,72848
港区,364,17788,910,140571,212,14412,1486,172771
新宿区,1019,41134,1316,161052,41,1705,2376,203891
文京区,862,34524,791,74231,19,657,1672,109412
台東区,445,20528,1216,101801,10,614,1671,122943
墨田区,988,42232,1239,135401,85,7390,2312,185023
江東区,978,35159,1188,209438,10,4244,2176,248841
品川区,1635,57976,1271,158101,147,8345,3053,224422
目黒区,1222,63315,958,113194,32,2695,2212,179204
大田区,3270,155284,2407,312446,43,5673,5720,473403
世田谷区,4708,272532,2907,422302,325,34079,7940,728913
渋谷区,705,33695,1009,121226,12,758,1726,155679
中野区,1718,75049,1348,141621,92,4347,3158,221017
杉並区,3534,187305,2192,250197,58,8449,5784,445951
豊島区,1184,46832,1063,115705,119,7033,2366,169570
北区,1469,57117,1177,117563,100,7539,2746,182219
荒川区,996,36418,918,81537,146,10000,2060,127955
板橋区,2263,112807,1662,203272,56,5818,3981,321897
練馬区,4379,241164,2724,349331,165,36573,7268,627068
足立区,4057,214710,3203,325087,185,13545,7445,553342
葛飾区,2497,122307,2032,199549,174,21396,4703,343252
江戸川区,2987,141294,2477,260334,170,11176,5634,412804
合計,41529,2020282,35524,4107176,2218,209315,79271,6336773
