区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計,,
千代田区／件数(件）,5,1,1,0,0,1,0,0,0,0,0,8,,
千代田区／面積（m2）,154,57,100,0,0,332,0,0,0,0,0,643,,
中央区／件数(件）,0,1,0,0,0,0,0,0,0,0,0,1,,
中央区／面積（m2）,0,98,0,0,0,0,0,0,0,0,0,98,,
港区／件数(件）,46,12,9,7,37,3,0,1,1,0,0,116,,
港区／面積（m2）,721,916,"1,148","1,180","8,184","1,161",0,"1,142","3,211",0,0,"17,663",,
新宿区／件数(件）,39,18,12,0,1,2,1,0,0,0,0,73,,
新宿区／面積（m2）,681,"1,423","1,529",0,247,688,668,0,0,0,0,"5,236",,
文京区／件数(件）,12,9,1,1,0,1,0,1,0,0,0,25,,
文京区／面積（m2）,164,640,103,163,0,341,0,"1,227",0,0,0,"2,638",,
台東区／件数(件）,2,2,0,1,0,0,0,0,0,0,0,5,,
台東区／面積（m2）,76,153,0,154,0,0,0,0,0,0,0,383,,
墨田区／件数(件）,89,13,3,1,5,0,0,0,0,0,0,111,,
墨田区／面積（m2）,"1,458",813,355,170,"1,266",0,0,0,0,0,0,"4,062",,
江東区／件数(件）,1,1,0,1,1,0,0,0,0,0,0,4,,
江東区／面積（m2）,34,66,0,199,245,0,0,0,0,0,0,544,,
品川区／件数(件）,89,40,18,4,4,4,2,1,0,0,0,162,,
品川区／面積（m2）,"1,810","2,792","1,997",721,949,"1,411","1,393","1,256",0,0,0,"12,329",,
目黒区／件数(件）,25,4,7,1,1,1,0,1,0,0,0,40,,
目黒区／面積（m2）,627,253,901,188,231,438,0,"1,152",0,0,0,"3,790",,
大田区／件数(件）,18,10,5,3,2,2,0,1,0,0,0,41,,
大田区／面積（m2）,349,705,624,541,411,656,0,"1,158",0,0,0,"4,444",,
世田谷区／件数(件）,217,74,29,18,27,6,7,1,0,1,1,381,,
世田谷区／面積（m2）,"3,674","5,571","3,552","3,149","6,995","2,468","4,845","1,231",0,"9,400","12,499","53,384",,
渋谷区／件数(件）,14,1,2,0,2,1,0,1,0,0,0,21,,
渋谷区／面積（m2）,279,96,266,0,485,333,0,"1,230",0,0,0,"2,689",,
中野区／件数(件）,88,22,3,5,0,0,1,0,2,0,0,121,,
中野区／面積（m2）,"1,644","1,416",346,832,0,0,833,0,"5,533",0,0,"10,604",,
杉並区／件数(件）,3,2,5,2,3,1,2,0,1,0,0,19,,
杉並区／面積（m2）,8,150,631,384,735,436,"1,074",0,"4,089",0,0,"7,507",,
豊島区／件数(件）,107,50,20,5,5,1,2,0,0,0,0,190,,
豊島区／面積（m2）,"2,399","3,578","2,338",843,"1,257",304,"1,751",0,0,0,0,"12,470",,
北区／件数(件）,83,39,11,10,0,7,1,0,2,1,0,154,,
北区／面積（m2）,"1,716","2,630","1,248","1,660",0,"2,873",847,0,"5,629","7,671",0,"24,274",,
荒川区／件数(件）,112,27,9,5,1,1,1,3,0,0,0,159,,
荒川区／面積（m2）,"1,661","1,981",995,904,246,337,798,"4,366",0,0,0,"11,288",,
板橋区／件数(件）,30,12,7,2,4,0,2,0,1,0,0,58,,
板橋区／面積（m2）,434,959,889,354,930,0,"1,404",0,"3,835",0,0,"8,805",,
練馬区／件数(件）,121,42,23,7,9,9,8,3,1,0,0,223,,
練馬区／面積（m2）,"2,091","3,131","2,800","1,183","2,220","3,082","5,931","3,698","2,347",0,0,"26,483",,
足立区／件数(件）,71,25,9,5,3,4,1,2,1,0,0,121,,
足立区／面積（m2）,"1,242","1,800","1,103",861,753,"1,242",588,"3,812","2,648",0,0,"14,049",,
葛飾区／件数(件）,167,29,14,5,6,6,3,2,2,0,0,234,,
葛飾区／面積（m2）,"2,642","2,097","1,720",940,"1,500","2,222","2,204","2,720","6,515",0,0,"22,560",,
江戸川区／件数(件）,179,34,17,5,6,4,4,0,1,0,0,250,,
江戸川区／面積（m2）,"2,778","2,451","2,024",857,"1,451","1,625","3,105",0,"2,286",0,0,"16,577",,
合計／件数(件）,"1,518",468,205,88,117,54,35,17,12,2,1,"2,517",,
合計／面積（m2）,"26,642","33,776","24,669","15,283","28,105","19,949","25,441","22,992","36,093","17,071","12,499","262,520",,
