区市町村名,合計／令和3年(千m2),合計／令和2年(千m2),合計／増減(千m2),宅地／令和3年(千m2),宅地／令和2年(千m2),宅地／増減(千m2),農地／令和3年(千m2),農地／令和2年(千m2),農地／増減(千m2),山林／令和3年(千m2),山林／令和2年(千m2),山林／増減(千m2),その他／令和3年(千m2),その他／令和2年(千m2),その他／増減(千m2)
区部／千代田区,4060,4063,-3,3652,3655,-3,0,0,0,0,0,0,408,408,0
区部／中央区,3945,3941,4,3938,3934,4,0,0,0,0,0,0,7,7,0
区部／港区,10017,10025,-7,9309,9315,-6,0,0,0,0,0,0,708,709,-1
区部／新宿区,10173,10180,-7,9870,9879,-9,0,0,0,0,0,0,303,302,1
区部／文京区,5944,5947,-3,5873,5876,-3,0,0,0,0,0,0,71,71,0
区部／台東区,4802,4802,0,4534,4535,-1,0,0,0,0,0,0,268,268,1
区部／墨田区,7091,7095,-4,6845,6849,-4,0,0,0,0,0,0,246,246,0
区部／江東区,15606,15277,329,14941,14612,329,0,0,0,0,0,0,665,665,-1
区部／品川区,13625,12767,858,11520,10643,877,0,0,0,0,0,0,2106,2124,-19
区部／目黒区,9278,9285,-7,9114,9121,-7,25,25,0,5,5,0,134,134,0
区部／大田区,25780,25526,254,25018,24764,254,28,28,0,11,10,1,724,724,0
区部／世田谷区,36745,36788,-43,35066,34841,224,919,945,-26,50,52,-3,711,949,-238
区部／渋谷区,8483,8481,2,8124,8122,1,0,0,0,0,0,0,359,358,1
区部／中野区,10357,10363,-6,10072,10079,-7,22,22,0,1,1,0,262,261,1
区部／杉並区,22378,22401,-23,21648,21644,4,349,355,-6,12,12,0,369,390,-22
区部／豊島区,8170,8177,-7,7794,7801,-7,0,0,0,0,0,0,376,376,0
区部／北区,10452,10464,-11,9549,9559,-10,3,3,0,7,7,0,894,895,-1
区部／荒川区,5867,5876,-9,5374,5382,-9,0,0,0,0,0,0,493,493,0
区部／板橋区,18484,18486,-2,18071,18068,4,138,144,-6,21,22,-1,254,253,1
区部／練馬区,31018,31052,-34,28528,28502,26,1899,1943,-44,30,31,-1,561,577,-16
区部／足立区,28486,28502,-15,27343,27346,-3,457,467,-11,0,0,0,686,688,-2
区部／葛飾区,17394,17410,-16,16573,16589,-16,313,319,-6,0,0,0,508,502,6
区部／江戸川区,24034,23826,207,23325,23117,208,433,443,-11,0,0,0,276,266,10
区部／区部計,332192,330735,1457,316080,314232,1848,4585,4694,-109,137,141,-4,11389,11668,-278
市部／八王子市,90465,90508,-43,38635,38568,68,7814,7921,-108,31849,31560,289,12167,12459,-292
市部／立川市,13906,13906,0,10893,10868,25,2461,2488,-27,26,26,0,526,524,2
市部／武蔵野市,6781,6780,1,6330,6325,5,261,274,-13,0,0,0,190,181,9
市部／三鷹市,10302,10312,-10,8702,8705,-2,1415,1417,-2,78,78,1,106,112,-6
市部／青梅市,60375,60362,12,12699,12670,29,4435,4433,2,34226,34221,4,9016,9038,-22
市部／府中市,15142,15133,9,13036,13007,29,1171,1189,-18,0,0,0,934,936,-2
市部／昭島市,9167,9098,69,7689,7581,108,593,597,-4,202,203,-1,683,717,-34
市部／調布市,11957,11963,-6,10303,10260,43,1191,1232,-41,22,23,-1,440,447,-8
市部／町田市,41792,41865,-73,28540,28475,66,5009,5090,-80,5470,5522,-52,2773,2779,-6
市部／小金井市,6657,6657,0,5778,5778,0,626,626,0,56,38,18,197,215,-18
市部／小平市,13067,13119,-52,10323,10323,0,1713,1747,-35,13,13,0,1018,1035,-17
市部／日野市,14394,14409,-15,11370,11336,34,1355,1387,-31,538,543,-5,1130,1144,-14
市部／東村山市,9906,9917,-11,7796,7778,18,1408,1437,-29,102,106,-3,600,596,3
市部／国分寺市,8060,8053,6,6458,6424,34,1326,1348,-22,35,36,-1,241,245,-4
市部／国立市,4770,4773,-3,4139,4138,1,513,519,-6,12,12,0,107,104,3
市部／福生市,3902,3899,3,3635,3625,10,114,117,-4,14,14,0,139,142,-3
市部／狛江市,3874,3985,-111,3350,3450,-100,358,368,-9,8,8,0,158,159,-1
市部／東大和市,6052,6051,1,5217,5195,21,556,567,-12,186,187,-1,93,101,-8
市部／清瀬市,5893,5900,-7,3707,3678,29,1800,1815,-14,68,74,-6,317,333,-16
市部／東久留米市,8431,8447,-16,6766,6744,23,1442,1478,-36,45,49,-4,178,177,1
市部／武蔵村山市,8851,8854,-3,5487,5456,31,1746,1765,-19,442,443,-2,1176,1190,-14
市部／多摩市,10163,10168,-5,8197,8168,29,380,391,-11,324,323,1,1262,1287,-25
市部／稲城市,9350,9369,-19,5041,4958,83,1234,1283,-48,1086,1123,-37,1988,2005,-17
市部／羽村市,6075,6081,-6,5467,5461,7,369,376,-7,92,94,-2,146,150,-4
市部／あきる野市,39068,37760,1308,8392,8372,21,5268,5299,-31,18423,18463,-40,5631,5627,4
市部／西東京市,10428,10429,-1,8934,8901,33,1215,1244,-29,6,6,0,274,278,-4
市部／市部計,428828,427798,1030,246887,246243,644,45771,46407,-635,93324,93166,158,41491,41982,-492
西多摩郡／瑞穂町,9323,9334,-11,5039,5012,27,2835,2863,-28,632,644,-11,817,815,2
西多摩郡／日の出町,16300,16301,-1,2488,2482,6,1600,1608,-8,9581,9581,0,2631,2629,2
西多摩郡／檜原村,45774,45787,-14,442,442,0,1978,1982,-4,39893,39902,-9,3461,3461,0
西多摩郡／奥多摩町,57381,58350,-968,901,903,-2,1455,1459,-3,54501,55464,-963,525,525,0
西多摩郡計,128778,129772,-993,8870,8839,31,7868,7912,-44,104607,105591,-983,7433,7430,3
多摩地域計,557606,557570,37,255757,255082,675,53639,54319,-680,197931,198756,-825,48924,49412,-488
区部・多摩計,889798,888305,1494,571838,569314,2523,58224,59013,-789,198069,198897,-829,60313,61080,-767
