SAMPLEID,ANSWERDATE,SEX,AGE,AGEID,PREFECTURE,AREA,JOB,SQ1,SQ2,SQ3_1,SQ3_2,SQ3_3,SQ3_4,SQ3_5,SQ3_6,SQ3_7,SQ3_8,SQ4,SQ5,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_8FA,Q3,Q4,Q5,Q5_20FA,Q6,Q6_11FA,Q7S1,Q7S2,Q7S3,Q8,Q9,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_11FA,Q13,Q14,Q15S1,Q15S2,Q15S3,Q15S4,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_5FA,Q17S1,Q17S2,Q17S3,Q17S4,Q17S5,Q18,Q19,Q20
1171,2020/11/7 17:21,1,58,10,14,3,3,5,1,1,0,0,0,0,0,0,0,2,2,2,0,1,0,0,1,0,0,0,0,,4,4,8,,5,,2,3,2,2,2,2,4,1,0,0,0,0,0,1,0,0,0,0,0,,2,1,2,2,2,2,0,0,1,0,0,0,,1,1,1,1,1,2,2,1
2343,2020/11/6 23:39,1,51,9,11,3,3,3,1,1,0,0,0,0,0,0,0,2,2,2,0,1,0,0,1,0,0,0,0,,,1,15,,4,,1,3,2,2,2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,,2,3,2,2,3,4,0,1,0,1,0,0,,1,1,1,1,1,3,3,1
3644,2020/11/7 19:57,1,53,9,13,3,4,2,1,1,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,,,2,,5,,2,6,4,2,4,2,5,1,1,0,0,0,0,0,0,0,0,0,0,,1,1,,,,,0,1,0,0,0,0,,1,3,1,1,1,1,2,1
4103,2020/11/7 16:32,1,60,11,13,3,3,4,1,1,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,1,,19,,1,,2,2,2,1,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,,2,1,,,,,0,0,0,0,0,1,,1,1,2,2,2,4,2,3
20319,2020/11/6 23:59,2,46,8,13,3,4,2,1,1,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,,,11,,5,,1,3,4,1,4,1,5,0,0,0,0,0,1,0,0,0,0,0,0,,3,1,,,,,1,1,1,0,0,0,,1,1,1,1,1,2,2,1
23059,2020/11/6 22:47,1,56,10,13,3,4,2,1,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,,,,2,,5,,2,6,4,1,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,,2,1,1,1,1,4,1,0,1,0,0,0,,1,1,1,1,1,2,2,1
25050,2020/11/7 17:38,1,47,8,13,3,4,5,1,1,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,,4,4,2,,5,,2,2,2,1,2,2,5,1,0,0,0,0,0,0,0,1,0,0,0,,2,3,,,,,0,0,0,0,0,1,,3,2,2,2,3,5,3,2
27241,2020/11/7 14:35,1,52,9,13,3,3,2,1,1,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,9,,1,,2,4,3,1,4,1,2,0,1,0,0,1,0,0,0,0,0,0,0,,1,2,1,1,1,3,1,0,0,0,0,0,,1,1,1,1,3,2,2,1
28055,2020/11/7 17:31,1,60,11,13,3,4,2,1,1,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,,,1,,1,,2,6,3,2,3,1,5,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,,,,,1,1,0,0,0,0,,1,1,3,1,1,2,3,1
31035,2020/11/7 19:47,1,64,11,13,3,5,5,1,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,,4,4,7,,2,,2,5,2,2,6,2,5,1,0,0,0,0,0,0,0,0,0,0,0,,2,1,,,,,0,0,0,0,0,1,,1,1,3,1,1,5,5,3
33330,2020/11/7 6:07,1,43,7,12,3,4,5,1,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,,1,1,3,,1,,2,2,2,1,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,,1,3,1,1,1,1,0,0,0,0,0,1,,1,1,1,1,1,4,4,2
34044,2020/11/7 15:40,1,55,10,13,3,3,3,1,1,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,,1,8,,1,,2,4,4,2,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,,2,3,1,1,1,3,0,0,0,1,0,0,,1,1,1,1,1,2,2,1
51629,2020/11/7 19:59,1,57,10,13,3,4,2,1,1,0,0,0,0,0,0,0,3,1,1,,,,,,,,,,,,,3,,8,,2,3,2,2,6,2,5,0,0,0,0,0,1,0,0,0,0,0,0,,2,2,,,,,0,1,0,0,0,0,,1,3,3,1,1,2,5,1
62977,2020/11/7 19:58,1,54,9,14,3,4,5,1,1,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,,2,1,11,,6,,1,1,1,3,2,2,5,0,0,1,0,0,0,0,0,0,0,0,0,,3,1,,,,,1,0,0,0,0,0,,2,2,2,2,2,3,5,3
92670,2020/11/7 17:12,2,52,9,13,3,3,5,1,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,常時混雑している,4,1,20,社労士事務所,2,,1,1,1,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,,2,1,,,,,1,0,0,0,0,0,,1,1,1,1,1,4,1,1
96049,2020/11/7 0:02,1,55,10,13,3,5,2,1,1,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,,,6,,2,,1,5,4,1,4,1,1,1,0,1,1,0,1,0,1,0,1,0,0,,1,2,2,1,4,4,1,1,1,1,0,0,,1,1,1,1,1,1,1,1
103929,2020/11/7 17:46,1,54,9,13,3,3,2,1,1,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,,,2,,9,,1,3,3,2,6,1,2,0,0,0,0,0,1,0,0,0,1,0,0,,1,3,1,1,4,4,1,1,1,0,0,0,,1,2,2,1,1,2,2,1
116976,2020/11/6 22:27,2,52,9,13,3,3,5,1,1,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,2,1,7,,2,,2,2,2,2,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,,2,1,,,,,0,1,0,1,0,0,,3,3,3,3,3,3,5,3
181964,2020/11/7 17:55,1,57,10,12,3,3,3,1,1,0,0,0,0,1,0,0,2,2,2,0,0,0,0,0,1,0,0,0,,,1,4,,1,,2,4,4,2,4,2,4,1,1,0,0,0,1,0,0,0,0,0,0,,1,3,2,2,2,3,1,0,0,0,0,0,,3,3,3,3,3,5,3,3
189646,2020/11/6 22:39,1,58,10,11,3,4,2,1,1,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,,,3,,8,,2,4,4,1,4,3,5,0,1,0,0,0,0,0,0,0,0,0,0,,2,2,,,,,1,0,0,0,0,0,,1,1,1,1,1,1,1,1
272870,2020/11/7 13:10,1,48,8,13,3,4,5,1,1,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,2,1,4,,1,,1,1,1,1,2,1,5,0,1,0,0,0,0,0,0,1,0,0,0,,2,3,,,,,0,0,0,1,0,0,,1,2,1,1,1,2,4,3
275913,2020/11/7 0:04,2,47,8,13,3,3,3,1,1,0,0,0,0,0,0,0,3,1,1,,,,,,,,,,,,1,9,,2,,1,1,1,2,6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,,3,2,3,3,3,3,0,0,0,0,0,1,,1,1,1,1,1,2,2,1
277523,2020/11/7 17:23,1,44,7,11,3,4,5,1,1,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,4,4,4,,7,,2,2,2,2,2,1,3,1,1,1,0,0,0,0,0,1,0,0,0,,1,1,3,2,3,3,0,1,0,1,0,0,,1,1,1,1,1,1,2,1
282764,2020/11/7 3:43,1,47,8,11,3,4,1,1,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,11,,9,,2,5,6,1,6,1,2,0,0,1,0,0,0,0,0,0,0,1,0,西武鉄道アプリ,3,1,1,1,1,1,0,1,0,1,0,0,,,,,,,3,1,1
284925,2020/11/7 13:11,1,53,9,13,3,3,5,1,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,,4,4,19,,2,,2,2,2,1,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,1,1,2,0,0,0,0,0,1,,2,2,2,2,2,4,4,2
294841,2020/11/6 22:34,1,53,9,14,3,4,3,1,1,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,1,0,0,0,,,1,2,,5,,2,4,3,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,1,,3,3,,,,,1,0,0,0,0,0,,1,1,1,1,1,2,2,1
296189,2020/11/7 17:57,1,48,8,13,3,3,1,1,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,4,,2,,2,6,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,1,3,,,,,0,1,1,0,0,0,,,,,,,4,4,2
296535,2020/11/7 6:27,1,59,10,11,3,4,5,1,1,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,3,1,4,,6,,2,2,2,1,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,,3,2,3,2,3,3,0,1,0,0,0,0,,2,2,3,3,3,2,3,1
297620,2020/11/7 20:05,1,52,9,13,3,5,5,1,1,0,0,0,0,1,0,0,2,2,1,,,,,,,,,,,4,1,6,,3,,1,1,1,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,,2,1,3,3,3,3,0,0,1,0,0,0,,1,2,2,1,1,2,2,1
297834,2020/11/6 23:38,1,41,7,14,3,4,1,1,1,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,2,,1,,2,6,6,2,6,3,4,0,0,0,0,0,0,0,0,0,0,0,1,,2,3,,,,,0,0,0,0,0,1,,,,,,,3,3,2
