行,あいキッズ名称,郵便番号,所在地,電話
1, 志村小学校あいキッズ,174-0056,板橋区志村２－１６－３,3965-9793
2, 志村第一小学校あいキッズ,174-0055,板橋区泉町１７-１,3558-1020
3, 志村第二小学校あいキッズ,174-0056,板橋区志村１-７－１,3969-7190
4, 志村第三小学校あいキッズ,174-0053,板橋区清水町８３－１,3963-3370
5, 志村第四小学校あいキッズ,174-0051,板橋区小豆沢４－１３－１,3965-9631
6, 志村第五小学校あいキッズ,175-0045,板橋区西台３－３８－２３,5920-2181
7, 志村第六小学校あいキッズ,174-0043,板橋区坂下２－１８－１,3960-9263
8, 前野小学校あいキッズ,174-0063,板橋区前野町６－４０－１,3965-2915
9, 中台小学校あいキッズ,174-0064,板橋区中台１－９－７,3937-4757
10, 舟渡小学校あいキッズ,174-0041,板橋区舟渡３－６－１５,3965-2584
11, 新河岸小学校あいキッズ,175-0081,板橋区新河岸１－３－１,3936-4576
12, 富士見台小学校あいキッズ,174-0063,板橋区前野町１－１０－１,3969-8502
13, 蓮根小学校あいキッズ,174-0046,板橋区蓮根３－１０－１,3969-8403
14, 蓮根第二小学校あいキッズ,174-0046,板橋区蓮根３－１５－５,3966-4721
15, 志村坂下小学校あいキッズ,174-0044,板橋区相生町２６－１４,3935-3005
16, 北前野小学校あいキッズ,174-0063,板橋区前野町５－４４－３,3966-8824
17, 緑小学校あいキッズ,174-0064,板橋区中台３－２７－１,3932-2768
18, 若木小学校あいキッズ,174-0065,板橋区若木１－１４－１,3935-9994
19, 板橋第一小学校あいキッズ,173-0013,板橋区氷川町１３－１,3962-3013
20, 板橋第二小学校あいキッズ,173-0004,板橋区板橋２－５２－１,3962-1942
21, 板橋第四小学校あいキッズ,173-0004,板橋区板橋４－９－１３,3962-3214
22, 板橋第五小学校あいキッズ,173-0026,板橋区中丸町１９－１,3959-7810
23, 板橋第六小学校あいキッズ,173-0023,板橋区大山町１３－１,3972-1265
24, 板橋第七小学校あいキッズ,173-0024,板橋区大山金井町４５－８,3955-8474
25, 板橋第八小学校あいキッズ,173-0011,板橋区双葉町４２－１,3964-2534
26, 板橋第十小学校あいキッズ,173-0032,板橋区大谷口上町４３－１,3974-2665
27, 金沢小学校あいキッズ,173-0003,板橋区加賀２－２－１,3962-7781
28, 中根橋小学校あいキッズ,173-0015,板橋区栄町１６－７,3962-4207
29, 加賀小学校あいキッズ,173-0002,板橋区稲荷台２３－１,3961-4072
30, 上板橋小学校あいキッズ,174-0073,板橋区東山町４７－３,3958-5183
31, 上板橋第二小学校あいキッズ,173-0037,板橋区小茂根１－１４－１,3973-3506
32, 上板橋第四小学校あいキッズ,174-0076,板橋区上板橋１－３－１,3937-8896
33, 常盤台小学校あいキッズ,174-0071,板橋区常盤台１－６－１,3965-9751
34, 桜川小学校あいキッズ,174-0074,板橋区東新町２－２９－１,3973-0977
35, 弥生小学校あいキッズ,173-0021,板橋区弥生町１６－２,3958-1478
36, 大谷口小学校あいキッズ,173-0031,板橋区大谷口北町２１－１,3974-2750
37, 向原小学校あいキッズ,173-0036,板橋区向原２－３４－１,3974-6740
38, 赤塚小学校あいキッズ,175-0092,板橋区赤塚３－１－２２,3975-1577
39, 成増小学校あいキッズ,175-0094,板橋区成増１－１１－１,3977-0131
40, 赤塚新町小学校あいキッズ,175-0093,板橋区赤塚新町３－３１－１,3977-2652
41, 紅梅小学校あいキッズ,175-0083,板橋区徳丸８－１０－１,3935-4698
42, 北野小学校あいキッズ,175-0083,板橋区徳丸３－２３－１,3932-1568
43, 成増ケ丘小学校あいキッズ,175-0094,板橋区成増３－１７－７,3939-6503
44, 下赤塚小学校あいキッズ,175-0092,板橋区赤塚６－１４－１,3977-5140
45, 徳丸小学校あいキッズ,175-0083,板橋区徳丸1－２１－１,3935-3381
46, 三園小学校あいキッズ,175-0091,板橋区三園１－２４－１,3938-0422
47, 高島第一小学校あいキッズ,175-0082,板橋区高島平７－２４－１,5383-0882
48, 高島第二小学校あいキッズ,175-0082,板橋区高島平２－２５－３,3936-1566
49, 高島第三小学校あいキッズ,175-0082,板橋区高島平４－２１－２,3938-7808
50, 高島第五小学校あいキッズ,175-0082,板橋区高島平３－１１－１,3975-6105
51, 高島第六小学校あいキッズ,175-0082,板橋区高島平１－５０－２,3936-9555
