 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"286,257","108,430","286,257","108,430","70,657","106,286","70,657","106,286","215,600","2,144","215,600","2,144"
,101.2%,96.5%,101.2%,96.5%,103.4%,96.5%,103.4%,96.5%,100.5%,97.3%,100.5%,97.3%
外航計,"266,283","95,337","266,283","95,337","59,945","94,668","59,945","94,668","206,338",669,"206,338",669
,101.4%,95.7%,101.4%,95.7%,102.4%,95.7%,102.4%,95.7%,101.1%,92.1%,101.1%,92.1%
外航定期計,"266,283","95,337","266,283","95,337","59,945","94,668","59,945","94,668","206,338",669,"206,338",669
,101.4%,95.7%,101.4%,95.7%,102.4%,95.7%,102.4%,95.7%,101.1%,92.1%,101.1%,92.1%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"22,097","12,265","22,097","12,265","4,434","11,933","4,434","11,933","17,663",332,"17,663",332
,65.3%,97.3%,65.3%,97.3%,39.2%,97.6%,39.2%,97.6%,78.4%,87.8%,78.4%,87.8%
北米東岸(カリビア海含む),"7,173","1,282","7,173","1,282","3,283","1,280","3,283","1,280","3,890",2,"3,890",2
,96.8%,51.1%,96.8%,51.1%,106.0%,51.0%,106.0%,51.0%,90.1%,-,90.1%,-
北欧・地中海,"30,827","2,161","30,827","2,161","13,606","2,142","13,606","2,142","17,221",19,"17,221",19
,169.4%,98.5%,169.4%,98.5%,211.1%,98.9%,211.1%,98.9%,146.6%,63.3%,146.6%,63.3%
南米西岸,"3,065","1,821","3,065","1,821",250,"1,776",250,"1,776","2,815",45,"2,815",45
,93.4%,89.6%,93.4%,89.6%,58.1%,87.4%,58.1%,87.4%,98.7%,-,98.7%,-
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
