 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,739","13,720,981","1,739","13,720,981",663,"11,934,796",663,"11,934,796"
外航計,417,"10,253,345",417,"10,253,345",399,"10,022,221",399,"10,022,221"
外航定期計,401,"10,098,345",401,"10,098,345",399,"10,022,221",399,"10,022,221"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),30,"1,944,228",30,"1,944,228",30,"1,944,228",30,"1,944,228"
北米東岸(カリビア海含む),10,"677,385",10,"677,385",10,"677,385",10,"677,385"
北欧・地中海,10,"986,578",10,"986,578",10,"986,578",10,"986,578"
南米西岸,4,"535,763",4,"535,763",4,"535,763",4,"535,763"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,4,"177,983",4,"177,983",4,"177,983",4,"177,983"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,140,"3,509,924",140,"3,509,924",140,"3,509,924",140,"3,509,924"
台湾,-,-,-,-,-,-,-,-
韓国,42,"362,117",42,"362,117",42,"362,117",42,"362,117"
中国(香港含む),161,"1,904,367",161,"1,904,367",159,"1,828,243",159,"1,828,243"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,16,"155,000",16,"155,000",-,-,-,-
内航計,"1,322","3,467,636","1,322","3,467,636",264,"1,912,575",264,"1,912,575"
内航定期計,462,"2,398,829",462,"2,398,829",228,"1,768,101",228,"1,768,101"
北海道,101,"1,022,176",101,"1,022,176",101,"1,022,176",101,"1,022,176"
東北,45,"32,455",45,"32,455",45,"32,455",45,"32,455"
関東,79,"28,903",79,"28,903",-,-,-,-
伊豆諸島,131,"298,561",131,"298,561",-,-,-,-
中部,12,"8,988",12,"8,988",12,"8,988",12,"8,988"
近畿,7,"5,243",7,"5,243",7,"5,243",7,"5,243"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,66,"781,102",66,"781,102",42,"477,838",42,"477,838"
沖縄,21,"221,401",21,"221,401",21,"221,401",21,"221,401"
内航不定期,860,"1,068,807",860,"1,068,807",36,"144,474",36,"144,474"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
