 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
係留施設,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,739 ","13,720,981 ","1,739 ","13,720,981 ",417 ,"10,253,345 ",417 ,"10,253,345 ","1,322 ","3,467,636 ","1,322 ","3,467,636 "
公共計,874 ,"4,852,183 ",874 ,"4,852,183 ",161 ,"2,211,006 ",161 ,"2,211,006 ",713 ,"2,641,177 ",713 ,"2,641,177 "
ドルフィン,6 ,"3,481 ",6 ,"3,481 ",-,-,-,-,6 ,"3,481 ",6 ,"3,481 "
芝浦ふ頭,31 ,"68,083 ",31 ,"68,083 ",-,-,-,-,31 ,"68,083 ",31 ,"68,083 "
芝浦物揚場,17 ,"7,820 ",17 ,"7,820 ",-,-,-,-,17 ,"7,820 ",17 ,"7,820 "
日の出ふ頭,8 ,"5,880 ",8 ,"5,880 ",-,-,-,-,8 ,"5,880 ",8 ,"5,880 "
竹芝ふ頭,136 ,"344,418 ",136 ,"344,418 ",-,-,-,-,136 ,"344,418 ",136 ,"344,418 "
品川岸壁,141 ,"1,593,643 ",141 ,"1,593,643 ",78 ,"778,244 ",78 ,"778,244 ",63 ,"815,399 ",63 ,"815,399 "
　品川コンテナ,80 ,"767,916 ",80 ,"767,916 ",77 ,"764,562 ",77 ,"764,562 ",3 ,"3,354 ",3 ,"3,354 "
　品川外貿,1 ,"13,682 ",1 ,"13,682 ",1 ,"13,682 ",1 ,"13,682 ",-,-,-,-
　品川内貿,60 ,"812,045 ",60 ,"812,045 ",-,-,-,-,60 ,"812,045 ",60 ,"812,045 "
晴海ふ頭,5 ,"13,447 ",5 ,"13,447 ",-,-,-,-,5 ,"13,447 ",5 ,"13,447 "
月島ふ頭,23 ,"6,955 ",23 ,"6,955 ",-,-,-,-,23 ,"6,955 ",23 ,"6,955 "
漁業基地,1 ,986 ,1 ,986 ,-,-,-,-,1 ,986 ,1 ,986 
