 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,24,24,24,24,
,総トン数,,"303,264","303,264","303,264","303,264",
取扱貨物,計,計,"685,580","685,580","685,580","685,580",
,,出荷,"366,310","366,310","366,310","366,310",
,,入荷,"319,270","319,270","319,270","319,270",
取　扱　台　数,バ　ス,計,6,6,6,6,
,,出荷,1,1,1,1,
,,入荷,5,5,5,5,
,トラック,計,"6,197","6,197","6,197","6,197",
,,出荷,"3,347","3,347","3,347","3,347",
,,入荷,"2,850","2,850","2,850","2,850",
,乗用車,計,"3,922","3,922","3,922","3,922",
,,出荷,"2,228","2,228","2,228","2,228",
,,入荷,"1,694","1,694","1,694","1,694",
乗降人員,計,,"2,468","2,468","2,468","2,468",
,乗船,,"1,026","1,026","1,026","1,026",
,降船,,"1,442","1,442","1,442","1,442",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
