"年月日[西暦]","地区","面積[平方キロメートル]","昼間人口[人]","昼間人口密度[人毎平方キロメートル]","夜間人口[人]","夜間人口密度[人毎平方キロメートル]"
"20201001","芝地区総合支所","4.46","386758","86717","43553","9765"
"20201001","麻布地区総合支所","3.78","121516","32147","61615","16300"
"20201001","赤坂地区総合支所","4.02","180275","44845","35591","8853"
"20201001","高輪地区総合支所","3.50","89862","25675","60540","17297"
"20201001","芝浦港南地区総合支所","4.62","194260","42048","59182","12810"
"20201001","港区全体","20.37","972673","47750","260486","12788"

"国勢調査による総合支所別面積、昼夜間人口等 地区別合計(令和2年国勢調査)","Ver202010",,,,,
