"地区","事業所数[事業所]","事業所数のうち民営事業所数[事業所]","従業者数[人]","従業員数のうち民営事業所の従業員数[人]"
"港区総数",44916,44844,901544,894271
"芝地区",19392,19364,428213,425153
"麻布地区",7834,7819,103836,102534
"赤坂地区",11391,11380,173792,172879
"高輪地区",3419,3413,52054,51447
"芝浦港南地区",2880,2868,143649,142258

"平成18年事業所・企業統計調査港区支所管内別事業所数及び従業者数 支所管内別(平成18年10月1日現在)","Ver200610",,,
