"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","時刻27","時刻28","時刻29","時刻30","時刻31","時刻32","時刻33","時刻34","時刻35","時刻36","時刻37","時刻38","時刻39","備考"
"芝浦港南ルート2","田町駅東口→品川駅港南口","162","田町駅東口","7:33","7:53","8:13","8:33","8:53","9:13","9:33","9:53","10:13","10:33","10:53","11:13","11:33","11:53","12:13","12:33","12:53","13:13","13:33","13:53","14:13","14:33","14:53","15:13","15:33","15:53","16:13","16:33","16:53","17:13","17:33","17:53","18:13","18:33","18:53","19:13","19:33","19:53","20:13","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","2","藻塩橋","7:35","7:55","8:15","8:35","8:55","9:15","9:35","9:55","10:15","10:35","10:55","11:15","11:35","11:55","12:15","12:35","12:55","13:15","13:35","13:55","14:15","14:35","14:55","15:15","15:35","15:55","16:15","16:35","16:55","17:15","17:35","17:55","18:15","18:35","18:55","19:15","19:35","19:55","20:15","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","56","八千代橋","7:37","7:57","8:17","8:37","8:57","9:17","9:37","9:57","10:17","10:37","10:57","11:17","11:37","11:57","12:17","12:37","12:57","13:17","13:37","13:57","14:17","14:37","14:57","15:17","15:37","15:57","16:17","16:37","16:57","17:17","17:37","17:57","18:17","18:37","18:57","19:17","19:37","19:57","20:17","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","57","芝浦四丁目","7:38","7:58","8:18","8:38","8:58","9:18","9:38","9:58","10:18","10:38","10:58","11:18","11:38","11:58","12:18","12:38","12:58","13:18","13:38","13:58","14:18","14:38","14:58","15:18","15:38","15:58","16:18","16:38","16:58","17:18","17:38","17:58","18:18","18:38","18:58","19:18","19:38","19:58","20:18","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","174","高浜橋","7:39","7:59","8:19","8:39","8:59","9:19","9:39","9:59","10:19","10:39","10:59","11:19","11:39","11:59","12:19","12:39","12:59","13:19","13:39","13:59","14:19","14:39","14:59","15:19","15:39","15:59","16:19","16:39","16:59","17:19","17:39","17:59","18:19","18:39","18:59","19:19","19:39","19:59","20:19","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","175","芝浦中央公園運動場","7:42","8:02","8:22","8:42","9:02","9:22","9:42","10:02","10:22","10:42","11:02","11:22","11:42","12:02","12:22","12:42","13:02","13:22","13:42","14:02","14:22","14:42","15:02","15:22","15:42","16:02","16:22","16:42","17:02","17:22","17:42","18:02","18:22","18:42","19:02","19:22","19:42","20:02","20:22","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","176","浜路橋","7:43","8:03","8:23","8:43","9:03","9:23","9:43","10:03","10:23","10:43","11:03","11:23","11:43","12:03","12:23","12:43","13:03","13:23","13:43","14:03","14:23","14:43","15:03","15:23","15:43","16:03","16:23","16:43","17:03","17:23","17:43","18:03","18:23","18:43","19:03","19:23","19:43","20:03","20:23","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","177","港南の郷","7:44","8:04","8:24","8:44","9:04","9:24","9:44","10:04","10:24","10:44","11:04","11:24","11:44","12:04","12:24","12:44","13:04","13:24","13:44","14:04","14:24","14:44","15:04","15:24","15:44","16:04","16:24","16:44","17:04","17:24","17:44","18:04","18:24","18:44","19:04","19:24","19:44","20:04","20:24","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","178","港南三丁目","7:45","8:05","8:25","8:45","9:05","9:25","9:45","10:05","10:25","10:45","11:05","11:25","11:45","12:05","12:25","12:45","13:05","13:25","13:45","14:05","14:25","14:45","15:05","15:25","15:45","16:05","16:25","16:45","17:05","17:25","17:45","18:05","18:25","18:45","19:05","19:25","19:45","20:05","20:25","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","179","港南四丁目","7:48","8:08","8:28","8:48","9:08","9:28","9:48","10:08","10:28","10:48","11:08","11:28","11:48","12:08","12:28","12:48","13:08","13:28","13:48","14:08","14:28","14:48","15:08","15:28","15:48","16:08","16:28","16:48","17:08","17:28","17:48","18:08","18:28","18:48","19:08","19:28","19:48","20:08","20:28","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","180","港南小学校前","7:51","8:11","8:31","8:51","9:11","9:31","9:51","10:11","10:31","10:51","11:11","11:31","11:51","12:11","12:31","12:51","13:11","13:31","13:51","14:11","14:31","14:51","15:11","15:31","15:51","16:11","16:31","16:51","17:11","17:31","17:51","18:11","18:31","18:51","19:11","19:31","19:51","20:11","20:31","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","181","港南いきいきプラザ","7:52","8:12","8:32","8:52","9:12","9:32","9:52","10:12","10:32","10:52","11:12","11:32","11:52","12:12","12:32","12:52","13:12","13:32","13:52","14:12","14:32","14:52","15:12","15:32","15:52","16:12","16:32","16:52","17:12","17:32","17:52","18:12","18:32","18:52","19:12","19:32","19:52","20:12","20:32","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","182","新港南橋","7:53","8:13","8:33","8:53","9:13","9:33","9:53","10:13","10:33","10:53","11:13","11:33","11:53","12:13","12:33","12:53","13:13","13:33","13:53","14:13","14:33","14:53","15:13","15:33","15:53","16:13","16:33","16:53","17:13","17:33","17:53","18:13","18:33","18:53","19:13","19:33","19:53","20:13","20:33","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","184","品川駅港南口","8:01","8:21","8:41","9:01","9:21","9:41","10:01","10:21","10:41","11:01","11:21","11:41","12:01","12:21","12:41","13:01","13:21","13:41","14:01","14:21","14:41","15:01","15:21","15:41","16:01","16:21","16:41","17:01","17:21","17:41","18:01","18:21","18:41","19:01","19:21","19:41","20:01","20:21","20:41","品川駅港南口では、乗車したまま乗り継ぐことができます。"

"ちぃばす時刻表　芝浦港南ルート 品川駅港南口行き（平日）","Ver202204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
