"年度","区・財団関係 件数[件]","区・財団関係 人数[人]","社会教育関係団体 件数[件]","社会教育関係団体 人数[人]","その他団体 件数[件]","その他団体 人数[人]"
"2013","722","18474","3820","44004","5326","49601"
"2014","729","17385","4048","44701","4733","42158"
"2015","749","16470","4087","45594","4473","36649"
"2016","734","18651","3838","41287","4549","38058"
"2017","901","21072","3896","42632","4491","37508"

"平成30年度港区行政資料集　施設利用状況一覧 生涯学習センター","Ver201803",,,,,
