"名称","経度","緯度","分類"
"鍋横区民活動センター","139.668083896348","35.6936079425033","区民活動センター(一時避難所)"
"南中野区民活動センター","139.66638921183","35.686096707003","区民活動センター(一時避難所)"
"桃園区民活動センター","139.667326364145","35.7022641017382","区民活動センター(一時避難所)"
"弥生区民活動センター","139.678485129393","35.6923853640589","区民活動センター(一時避難所)"
"東部区民活動センター","139.682508961043","35.7004287298946","区民活動センター(一時避難所)"
"東中野区民活動センター","139.690288783994","35.7101784857775","区民活動センター(一時避難所)"
"昭和区民活動センター","139.67497571273","35.7073134964248","区民活動センター(一時避難所)"
"沼袋区民活動センター","139.663063218289","35.7236238544984","区民活動センター(一時避難所)"
"江古田区民活動センター","139.669768339553","35.7288235171399","区民活動センター(一時避難所)"
"新井区民活動センター","139.663463165216","35.7143016305493","区民活動センター(一時避難所)"
"上高田区民活動センター","139.672562322126","35.7115533544892","区民活動センター(一時避難所)"
"大和区民活動センター","139.648956793081","35.7136090416261","区民活動センター(一時避難所)"
"野方区民活動センター","139.653366385876","35.7183939800046","区民活動センター(一時避難所)"
"鷺宮区民活動センター","139.639798823145","35.7234455159365","区民活動センター(一時避難所)"
"上鷺宮区民活動センター","139.632133148144","35.7319064844055","区民活動センター(一時避難所)"
