"ID","地区名","設置場所所在地","設置場所名称","地域防災会名","備考","経度","緯度","分類"
"1","南中野","弥生町４－２０","栄町公園","神明本三地域防災会","30年度交換　ヨド4.78㎡","139.671809617781","35.6867636892161","防災資材倉庫"
"3","南中野","弥生町３－３４","ぱんだ公園","弥生町三丁目町会防災会","30年度交換　ヨド4.78㎡","139.674306791725","35.6891663917611","防災資材倉庫"
"4","南中野","弥生町５－４","弥生公園","弥生町五丁目地域防災会","28年度交換　ヨド4.78㎡","139.66691151551","35.6865014281676","防災資材倉庫"
"5","南中野","南台１－６－１１","方南通り資材置場","栄一地域防災会","　8年度交換　ヨド4.78㎡","139.67459855687","35.6864093632956","防災資材倉庫"
"6","南中野","南台２－４８","前原公園","南台前原防災会","10年度交換　ヨド4.90㎡","139.6707732596","35.6847633628312","防災資材倉庫"
"7","南中野","南台３－１９","多田防災広場","多田地域防災会","28年度交換　ヨド4.78㎡","139.667665169507","35.6846672055265","防災資材倉庫"
"8","南中野","南台２－８","新山通防災広場","新山通町会防災会","　9年度交換　ヨド4.78㎡","139.67036814928","35.6814599416695","防災資材倉庫"
"9","南中野","南台４－１４","ささの葉公園","南台四丁目東町会防災会","28年度交換　ヨド4.78㎡","139.666622794211","35.6830312793611","防災資材倉庫"
"11","南中野","南台５－７","南台公園","八島地域防災会","　7年度交換　イナバ4.71㎡","139.663827397547","35.6811736474208","防災資材倉庫"
"12","南中野","南台５－２８－３","雑色児童遊園","南台五丁目地域防災会","　8年度交換　ヨド4.78㎡","139.660977797695","35.681174116037","防災資材倉庫"
"13","南中野","弥生町６－２","丸太公園","弥生六南台地区防災会","　8年度交換　ヨド4.78㎡","139.662661247957","35.6868515411482","防災資材倉庫"
"14","南中野","弥生町４－２０","栄町公園","栄町二丁目地域防災会","30年度交換　ヨド4.78㎡","139.67164660162","35.6865178350253","防災資材倉庫"
"15","弥生","弥生町１－１４","弥生児童館","弥生一東防災会","　9年度交換　ヨド4.78㎡","139.680922197838","35.6904036518614","防災資材倉庫"
"16","弥生","弥生町２－７","花見公園","弥生町二丁目町会防災会","30年度交換　ヨド4.78㎡","139.676497684045","35.6924246490762","防災資材倉庫"
"17","弥生","弥生町１－３３","くすの木公園","弥一向台防災会","26年度交換　ヨド4.78㎡","139.677962549149","35.6890206274133","防災資材倉庫"
"18","弥生","本町１－２３","本一公園","本一相生防災会","27年度交換　ヨド4.78㎡","139.68271551916","35.694353022505","防災資材倉庫"
"19","弥生","本町２－１４","東郷公園","東郷防災会","27年度交換　ヨド4.78㎡","139.67825020673","35.6943900991564","防災資材倉庫"
"20","弥生","本町４－８","宮の台児童遊園","道玄防災会","　9年度交換　ヨド4.90㎡","139.673575104076","35.6955291821773","防災資材倉庫"
"21","弥生","本町２－３２","朝日が丘公園","朝日ヶ丘防災会","　9年度交換　ヨド4.78㎡","139.680995271939","35.6947651175391","防災資材倉庫"
"22","東部","本町１－１５","なかの坂公園","中本一地域防災会","22年度新設　ヨド2.98㎡","139.684662324648","35.6960076075474","防災資材倉庫"
"23","東部","中央２－３","防衛省宿舎","本町通二丁目防災会","　8年度交換　ヨド4.90㎡","139.680797246763","35.6975959371202","防災資材倉庫"
"24","東部","中央３－２３","白玉神社","本三西防災会","　8年度交換　ヨド4.90㎡","139.674175203954","35.6991440591668","防災資材倉庫"
"25","東部","中央２－７","塔の山公園","塔ノ山防災会","29年度交換　ヨド4.78㎡","139.681607026021","35.6988300289085","防災資材倉庫"
"26","東部","中央２－４６","本町通公園","本三宮前防災会","　8年度交換　ヨド4.90㎡","139.677122337417","35.698787916203","防災資材倉庫"
"28","東部","中央２－３５","かえで公園","宮一防災会","26年度交換　ヨド4.78㎡","139.680232786813","35.7007097116661","防災資材倉庫"
