"NAME","NAMEKANA","ADDRESS","INFO","TEL","FIELD007","FIELD008","FIELD009","FIELD010","FIELD011","FIELD012","分類HCODE","経度","緯度","分類"
"都立武蔵丘高校一帯","とりつむさしがおかこうこういったい","中野区上鷺宮","","","","","","","","","680100","139.630873510206","35.7286834680592","広域避難場所"
"公社鷺宮西住宅一帯","こうしゃさぎのみやにしじゅうたくいったい","中野区白鷺","","","","","","","","","680100","139.634450626939","35.7209573786991","広域避難場所"
"白鷺一丁目地区","しらさぎいっちょうめちく","中野区白鷺、若宮","","","","","","","","","680100","139.637138519432","35.7186536951126","広域避難場所"
"コーシャハイム中野弥生町・立正佼成会大聖堂一帯","コーシャハイムなかのやよいちょう・りっしょうこうせいかいだいせいどういったい","中野区弥生町・杉並区和田","","","","","","","","","680100","139.657406265704","35.6885126747604","広域避難場所"
"平和の森公園一帯","へいわのもりこうえんいったい","中野区新井","","","","","","","","","680100","139.661842438402","35.7160856571536","広域避難場所"
"中野区役所一帯","なかのくやくしょいったい","中野区中野・杉並区高円寺北","","","","","","","","","680100","139.661980874211","35.7074535951049","広域避難場所"
"江古田の森公園一帯","えごたのもりこうえんいったい","中野区江古田","","","","","","","","","680100","139.666816244656","35.7299903021112","広域避難場所"
"本町五丁目公園一帯","ほんちょうごちょうめこうえんいったい","中野区本町、弥生町","","","","","","","","","680100","139.669600794706","35.6918819916861","広域避難場所"
"哲学堂公園一帯","てつがくどうこうえんいったい","中野区上高田、松が丘・新宿区西落合、中井","","","","","","","","","680100","139.673644073849","35.7213824382041","広域避難場所"
"東京大学附属中等教育学校一帯","とうきょうだいがくふぞくちゅうとうきょういくがっこういったい","中野区南台","","","","","","","","","680100","139.673825677551","35.685664909089","広域避難場所"
"新宿中央公園・高層ビル群一帯（新宿区）","しんじゅくちゅうおうこうえん・こうそうびるぐんいったい（しんじゅくく）","新宿区西新宿","","","","","","","","","680100","139.689471183706","35.6901763941742","広域避難場所"
"落合中央公園（新宿区）","おちあいちゅうおうこうえん（しんじゅくく）","新宿区上落合","","","","","","","","","680100","139.69342979043","35.7129476536305","広域避難場所"
"百人町三・四丁目地区(新宿区)","ひゃくにんちょうさん・よんちょうめちく（しんじゅくく）","新宿区百人町","","","","","","","","","680100","139.700220399826","35.7064398835787","広域避難場所"
