 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"305,922","110,700","1,821,725","681,021","99,964","107,967","561,869","664,355","205,958","2,733","1,259,856","16,666"
,98.6%,97.6%,100.7%,105.8%,101.3%,98.3%,98.3%,106.1%,97.3%,77.0%,101.8%,95.4%
外航計,"282,457","88,978","1,676,981","550,460","87,459","88,429","481,051","544,965","194,998",549,"1,195,930","5,495"
,99.1%,96.8%,100.4%,106.1%,104.0%,97.7%,97.1%,106.7%,97.1%,39.7%,101.8%,71.1%
外航定期計,"282,457","88,978","1,676,981","550,460","87,459","88,429","481,051","544,965","194,998",549,"1,195,930","5,495"
,99.1%,96.8%,100.4%,106.1%,104.0%,97.7%,97.1%,106.7%,97.1%,39.7%,101.8%,71.1%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"41,933","17,189","237,490","87,882","15,676","17,018","85,571","86,445","26,257",171,"151,919","1,437"
,103.4%,109.5%,98.0%,110.0%,94.7%,115.5%,90.3%,112.9%,109.3%,17.7%,103.0%,43.5%
北米東岸(カリビア海含む),"9,326","1,637","67,588","13,050","4,330","1,617","28,947","12,823","4,996",20,"38,641",227
,90.7%,113.4%,94.5%,99.0%,86.2%,112.1%,79.4%,97.6%,95.0%,2000.0%,110.3%,567.5%
北欧・地中海,"16,903","2,599","110,227","14,195","8,133","2,583","50,251","13,937","8,770",16,"59,976",258
,87.3%,78.7%,107.2%,94.4%,110.6%,78.9%,111.9%,93.7%,73.0%,55.2%,103.6%,168.6%
南米西岸,"1,603",456,"22,373","3,908",32,446,556,"3,692","1,571",10,"21,817",216
,42.3%,46.9%,93.1%,61.8%,24.2%,46.0%,66.7%,61.3%,42.9%,500.0%,94.1%,73.7%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
