 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,31,170,31,170,
,総トン数,,"391,716","2,148,120","391,716","2,148,120",
取扱貨物,計,計,"950,475","5,325,980","950,475","5,325,980",
,,出荷,"496,290","2,806,195","496,290","2,806,195",
,,入荷,"454,185","2,519,785","454,185","2,519,785",
取　扱　台　数,バ　ス,計,11,83,11,83,
,,出荷,6,45,6,45,
,,入荷,5,38,5,38,
,トラック,計,"8,559","47,903","8,559","47,903",
,,出荷,"4,484","25,490","4,484","25,490",
,,入荷,"4,075","22,413","4,075","22,413",
,乗用車,計,"4,315","32,552","4,315","32,552",
,,出荷,"2,584","19,466","2,584","19,466",
,,入荷,"1,731","13,086","1,731","13,086",
乗降人員,計,,"1,818","16,731","1,818","16,731",
,乗船,,953,"8,490",953,"8,490",
,降船,,865,"8,241",865,"8,241",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
