 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"7,760,119","45,253,461","1,223,614","6,539,796","1,156,956","6,273,424","2,967,288","17,836,842","2,851,987","17,108,491","1,372,420","8,042,056","2,196,797","12,834,767"
農水産品,,"478,403","3,052,919","32,266","208,696","32,266","207,678","424,336","2,638,435","326,312","2,188,824","15,142","125,431","6,659","80,357"
1,麦,"29,446","188,239",-,15,-,15,"28,586","152,629","3,205","11,141",565,"6,405",295,"29,190"
2,米,"4,973","40,149",223,"1,406",223,"1,406","1,035","15,688","1,035","15,688","2,320","16,680","1,395","6,375"
3,とうもろこし,225,"2,983",-,60,-,60,195,"2,698",195,"2,698",30,225,-,-
4,豆類,"17,608","98,065",116,183,116,183,"15,592","86,516","15,592","86,516","1,375","9,521",525,"1,845"
5,その他雑穀,385,"4,099",-,-,-,-,330,"3,144",330,"3,144",45,825,10,130
6,野菜・果物,"182,203","1,114,111",378,"13,696",378,"13,696","173,150","1,028,816","100,507","720,693","6,705","47,187","1,970","24,412"
7,綿花,-,342,-,-,-,-,-,257,-,257,-,85,-,-
8,その他農産品,"19,127","128,551",490,"3,923",490,"3,923","17,601","115,735","17,601","115,735",816,"7,888",220,"1,005"
9,羊毛,69,531,-,-,-,-,42,429,42,429,27,102,-,-
10,その他畜産品,"132,610","845,168","3,184","17,244","3,184","17,244","128,057","810,124","128,057","810,124","1,049","14,965",320,"2,835"
11,水産品,"91,757","630,681","27,875","172,169","27,875","171,151","59,748","422,399","59,748","422,399","2,210","21,548","1,924","14,565"
林産品,,"115,367","654,800","2,571","13,145","2,571","13,145","101,674","582,320","91,646","513,242","8,786","44,902","2,336","14,433"
12,原木,744,"4,400",565,"2,128",565,"2,128",157,"2,155",157,"2,155",22,117,-,-
13,製材,"98,424","559,367","1,973","10,614","1,973","10,614","87,657","502,237","77,629","433,159","7,604","38,097","1,190","8,419"
14,樹脂類,"9,203","52,673",14,180,14,180,"7,644","43,151","7,644","43,151",865,"4,990",680,"4,352"
15,木材チップ,"1,110","7,372",15,84,15,84,990,"6,893",990,"6,893",-,13,105,382
16,その他林産品,632,"2,890",-,30,-,30,21,135,21,135,270,"1,470",341,"1,255"
17,薪炭,"5,254","28,098",4,109,4,109,"5,205","27,749","5,205","27,749",25,215,20,25
鉱産品,,"526,515","3,209,514","1,364","8,978","1,364","8,978","25,689","227,885","25,689","158,860","7,018","35,517","492,444","2,937,134"
18,石炭,"3,205","65,744",-,-,-,-,"3,190","57,739","3,190","20,339",15,255,-,"7,750"
19,鉄鉱石,38,103,-,10,-,10,38,93,38,93,-,-,-,-
20,金属鉱,660,"7,568",-,6,-,6,480,"4,916",480,"4,916",180,"2,646",-,-
21,砂利・砂,"367,776","2,259,814",88,367,88,367,"1,928","15,329","1,928","15,329","5,235","23,771","360,525","2,220,347"
22,石材,"108,343","581,211",195,"1,284",195,"1,284","9,041","47,401","9,041","47,401",207,"1,901","98,900","530,625"
23,原油,120,"1,162",-,-,-,-,120,"1,132",120,"1,132",-,30,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"32,949","178,526",-,-,-,-,270,"1,394",270,"1,394",60,740,"32,619","176,392"
26,原塩,"1,260","7,169",5,21,5,21,911,"5,347",911,"5,347",24,101,320,"1,700"
27,非金属鉱物,"12,164","108,217","1,076","7,290","1,076","7,290","9,711","94,534","9,711","62,909","1,297","6,073",80,320
金属機械工業品,,"2,611,557","14,823,973","477,830","2,651,898","474,869","2,634,437","725,226","4,130,874","719,534","4,092,078","743,974","4,292,636","664,527","3,748,565"
28,鉄鋼,"7,919","57,696","3,195","27,789","3,195","18,574","3,619","24,722","3,619","21,518",30,435,"1,075","4,750"
29,鋼材,"142,138","782,494","27,731","139,868","27,719","139,823","13,874","58,255","8,694","49,406","1,235","6,391","99,298","577,980"
