 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,760,119","2,596,034","5,164,085","45,253,461","14,581,852","30,671,609","5,200,014","1,809,647","3,390,367","30,098,260","10,062,818","20,035,442"
外航計,"4,190,902","1,223,614","2,967,288","24,376,638","6,539,796","17,836,842","4,070,702","1,160,867","2,909,835","23,600,521","6,283,150","17,317,371"
外航定期計,"4,070,702","1,160,867","2,909,835","23,624,654","6,283,589","17,341,065","4,070,702","1,160,867","2,909,835","23,600,521","6,283,150","17,317,371"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"594,672","204,825","389,847","3,319,697","1,089,302","2,230,395","594,672","204,825","389,847","3,319,697","1,089,302","2,230,395"
北米東岸(カリビア海含む),"124,306","50,531","73,775","860,711","302,474","558,237","124,306","50,531","73,775","860,711","302,474","558,237"
北欧・地中海,"234,809","109,171","125,638","1,509,681","673,428","836,253","234,809","109,171","125,638","1,509,681","673,428","836,253"
南米西岸,"23,198",466,"22,732","316,816","6,352","310,464","23,198",466,"22,732","316,816","6,352","310,464"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"93,497","13,205","80,292","378,222","61,827","316,395","93,497","13,205","80,292","378,222","61,827","316,395"
印パ･ペルシャ･ベンガル,-,-,-,"328,876","262,810","66,066",-,-,-,"328,876","262,810","66,066"
東南アジア,"1,782,859","504,614","1,278,245","9,244,227","2,423,089","6,821,138","1,782,859","504,614","1,278,245","9,227,945","2,422,650","6,805,295"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"162,080","42,531","119,549","978,705","267,714","710,991","162,080","42,531","119,549","978,705","267,714","710,991"
中国(香港含む),"1,055,281","235,524","819,757","6,687,719","1,196,593","5,491,126","1,055,281","235,524","819,757","6,679,868","1,196,593","5,483,275"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"120,200","62,747","57,453","751,984","256,207","495,777",-,-,-,-,-,-
内航計,"3,569,217","1,372,420","2,196,797","20,876,823","8,042,056","12,834,767","1,129,312","648,780","480,532","6,497,739","3,779,668","2,718,071"
内航定期計,"2,088,637","1,138,627","950,010","11,779,146","6,502,122","5,277,024","1,083,156","613,063","470,093","6,120,710","3,518,253","2,602,457"
北海道,"417,552","228,705","188,847","2,381,086","1,342,440","1,038,646","417,552","228,705","188,847","2,381,086","1,342,440","1,038,646"
東北,"36,194","15,756","20,438","199,165","99,070","100,095","33,397","15,263","18,134","181,934","91,360","90,574"
関東,"48,001","25,695","22,306","272,785","145,259","127,526",-,-,-,-,-,-
伊豆諸島,"4,208","3,086","1,122","40,222","24,705","15,517",-,-,-,-,-,-
中部,"8,178","1,413","6,765","60,360","8,300","52,060","8,178","1,413","6,765","58,142","8,300","49,842"
近畿,"3,813",120,"3,693","17,045",769,"16,276","3,813",120,"3,693","17,045",769,"16,276"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,449,079","770,606","678,473","8,102,141","4,364,870","3,737,271","498,604","274,316","224,288","2,776,161","1,558,675","1,217,486"
沖縄,"121,612","93,246","28,366","706,342","516,709","189,633","121,612","93,246","28,366","706,342","516,709","189,633"
内航不定期,"1,480,580","233,793","1,246,787","9,097,677","1,539,934","7,557,743","46,156","35,717","10,439","377,029","261,415","115,614"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
