"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2011120101,"芝浦",,7,13,20,20,,,,11,,,,,,
2011120102,"芝浦",,9,15,24,18,,,,6,,,,,,
2011120103,"芝浦",,8,13,21,18,,,,4,,,,,,
2011120104,"芝浦",,5,14,19,17,,,,7,,,,,,
2011120105,"芝浦",,7,18,25,11,,,,2,,,,,,
2011120106,"芝浦",,14,21,35,11,,,,3,,,,,,
2011120107,"芝浦",,16,24,40,10,,,,5,,,,,,
2011120108,"芝浦",,20,22,42,12,,,,5,,,,,,
2011120109,"芝浦",,17,24,41,11,,,,4,,,,,,
2011120110,"芝浦",,24,27,51,9,,,,4,,,,,,
2011120111,"芝浦",,32,26,58,10,,,,12,,,,,,
2011120112,"芝浦",,49,32,81,7,,,,6,,,,,,
2011120113,"芝浦",,29,28,57,9,,,,7,,,,,,
2011120114,"芝浦",,24,23,47,13,,,,7,,,,,,
2011120115,"芝浦",,21,25,46,12,,,,3,,,,,,
2011120116,"芝浦",,9998,9998,9998,9998,,,,9998,,,,,,
2011120117,"芝浦",,29,29,58,8,,,,11,,,,,,
2011120118,"芝浦",,21,28,49,10,,,,9,,,,,,
2011120119,"芝浦",,14,27,41,10,,,,2,,,,,,
2011120120,"芝浦",,11,24,35,11,,,,11,,,,,,
2011120121,"芝浦",,6,23,29,12,,,,6,,,,,,
2011120122,"芝浦",,9,21,30,15,,,,6,,,,,,
2011120123,"芝浦",,6,19,25,17,,,,10,,,,,,
2011120124,"芝浦",,7,23,30,15,,,,1,,,,,,
2011120201,"芝浦",,10,23,33,13,,,,6,,,,,,
2011120202,"芝浦",,6,20,26,16,,,,8,,,,,,
2011120203,"芝浦",,10,22,32,14,,,,7,,,,,,
2011120204,"芝浦",,8,16,24,20,,,,2,,,,,,
2011120205,"芝浦",,6,16,22,20,,,,6,,,,,,
2011120206,"芝浦",,6,19,25,17,,,,7,,,,,,
2011120207,"芝浦",,10,26,36,12,,,,5,,,,,,
2011120208,"芝浦",,27,32,59,7,,,,6,,,,,,
2011120209,"芝浦",,15,30,45,8,,,,6,,,,,,
2011120210,"芝浦",,36,34,70,6,,,,10,,,,,,
2011120211,"芝浦",,24,29,53,9,,,,8,,,,,,
2011120212,"芝浦",,26,29,55,9,,,,10,,,,,,
2011120213,"芝浦",,25,29,54,10,,,,8,,,,,,
2011120214,"芝浦",,19,28,47,10,,,,12,,,,,,
2011120215,"芝浦",,24,30,54,8,,,,14,,,,,,
2011120216,"芝浦",,19,32,51,7,,,,17,,,,,,
2011120217,"芝浦",,14,30,44,6,,,,16,,,,,,
2011120218,"芝浦",,15,31,46,4,,,,16,,,,,,
2011120219,"芝浦",,11,25,36,10,,,,14,,,,,,
2011120220,"芝浦",,11,24,35,10,,,,16,,,,,,
2011120221,"芝浦",,6,22,28,10,,,,18,,,,,,
2011120222,"芝浦",,4,18,22,13,,,,15,,,,,,
2011120223,"芝浦",,5,16,21,15,,,,15,,,,,,
2011120224,"芝浦",,3,15,18,16,,,,10,,,,,,
2011120301,"芝浦",,4,14,18,17,,,,9,,,,,,
2011120302,"芝浦",,3,12,15,18,,,,6,,,,,,
2011120303,"芝浦",,3,12,15,18,,,,9,,,,,,
2011120304,"芝浦",,3,11,14,18,,,,9,,,,,,
2011120305,"芝浦",,5,12,17,17,,,,6,,,,,,
2011120306,"芝浦",,4,17,21,11,,,,6,,,,,,
2011120307,"芝浦",,7,22,29,6,,,,3,,,,,,
2011120308,"芝浦",,7,22,29,6,,,,6,,,,,,
2011120309,"芝浦",,8,23,31,7,,,,3,,,,,,
2011120310,"芝浦",,10,25,35,8,,,,4,,,,,,
2011120311,"芝浦",,9,24,33,9,,,,2,,,,,,
2011120312,"芝浦",,13,25,38,8,,,,0,,,,,,
2011120313,"芝浦",,10,23,33,11,,,,5,,,,,,
2011120314,"芝浦",,11,21,32,14,,,,4,,,,,,
2011120315,"芝浦",,54,34,88,7,,,,2,,,,,,
2011120316,"芝浦",,97,46,143,1,,,,17,,,,,,
2011120317,"芝浦",,102,46,148,1,,,,20,,,,,,
2011120318,"芝浦",,90,45,135,1,,,,18,,,,,,
2011120319,"芝浦",,62,40,102,1,,,,28,,,,,,
2011120320,"芝浦",,12,28,40,10,,,,15,,,,,,
2011120321,"芝浦",,4,18,22,18,,,,14,,,,,,
2011120322,"芝浦",,40,39,79,2,,,,21,,,,,,
2011120323,"芝浦",,58,40,98,1,,,,21,,,,,,
2011120324,"芝浦",,39,34,73,1,,,,20,,,,,,
2011120401,"芝浦",,16,29,45,1,,,,21,,,,,,
2011120402,"芝浦",,12,25,37,4,,,,8,,,,,,
2011120403,"芝浦",,3,15,18,14,,,,5,,,,,,
2011120404,"芝浦",,2,8,10,24,,,,1,,,,,,
2011120405,"芝浦",,2,6,8,27,,,,4,,,,,,
