年度,個別算定経費,地方再生対策費,地域対策・地域資源活用臨時特例費（地域雇用創出推進費）,地域経済・雇用対策費,地域の元気づくり推進費,地域の元気創造事業費,人口減少等特別対策事業費,地域社会再生事業費,地域デジタル社会推進費,臨時経済対策費,公債費,包括算定経費,臨時財政対策債振替相当額,基準財政需要額,錯誤措置額（需要）,需要額,基準財政収入額,錯誤措置額（収入）,収入額,交付基準額,調整額,交付額
H20,14586415,127240,,,,,,,,,1922281,3063966,1182597,18517305,-,18517305,22715374,-,22715374,-4198069,-,0
H21,14578855,127240,203727,,,,,,,,2029062,2960416,1835429,18063871,-,18063871,22104479,-,22104479,-4040608,-,0
H22,15141564,127240,196476,,,,,,,,2101437,3040519,1839681,18767555,-,18767555,21083479,-,21083479,-2315924,-,0
H23,15283468,96720,118350,,,,,,,,2076546,3080851,881290,19774645,-,19774645,21467767,-,21467767,-1693122,-,0
H24,15253525,,,141308,,,,,,,2110120,3024980,443032,20086901,-,20086901,21432897,-,21432897,-1345996,-,0
H25,15405818,,,142345,69786,,,,,,2143328,2923314,,20684591,-,20684591,21680489,-,21680489,-995898,-,0
H26,15350535,,,106174,,282540,,,,,2184598,2740337,,20664184,-,20664184,22392499,-,22392499,-1728315,-,0
H27,15578451,,,88895,,371308,378009,,,,1738879,2767241,,20922783,-,20922783,23583588,-,23583588,-2660805,-,0
H28,15699272,,,14974,,404352,405804,,,,1702798,2602567,,20829767,-,20829767,23625699,-,23625699,-2795932,-,0
H29,15560655,,,10100,,394718,406813,,,,1611210,2508107,,20491603,-,20491603,23647054,-,23647054,-3155451,-,0
H30,16082231,,,,,382106,425758,,,,1522621,2380739,,20793455,-,20793455,23045497,-,23045497,-2252042,-,0
R1,16207650,,,,,355766,429746,,,,1368432,2334206,,20695800,-,20695800,23878697,-,23878697,-3182897,-,0
R2,16556251,,,,,368750,420274,108367,,,1253585,2427785,,21135012,-,21135012,24145297,-,24145297,-3010285,-,0
R3,17230527,,,,,449411,410808,101016,66662,187641,1162680,2571562,,22180307,-,22180307,23936750,-,23936750,-1756443,-,0
