年度,地方債発行額,償還額（公債費）,地方債現在高,債務負担行為額残高,債務負担行為限度額
S58,7264800,2143251,21343173,25667744,40743063
S59,3400100,2158345,24045779,20534350,43588862
S60,2876600,2524503,26089991,18653265,45878767
S61,2611000,2657006,27858568,17272966,48150131
S62,1295200,3260312,27770370,15430065,48431389
S63,1022600,3348737,27291231,24798460,58249819
H1,2252300,3180707,28129168,25848271,61212346
H2,1805100,2997209,28683999,24649584,61743492
H3,1682200,3430045,28678008,21592718,62262431
H4,1999900,3140962,29234495,21010139,61343620
H5,1456800,3566682,28800711,19268961,61792972
H6,2523500,3465088,29504561,22058896,63480923
H7,2746100,3608531,30280966,27281198,74870967
H8,6005200,4441543,33451297,27623585,75441217
H9,5232900,4151617,36127117,30011674,81446302
H10,3861300,4138069,37404667,28657041,81428709
H11,2798500,4273260,37430758,27009472,78317365
H12,2740800,3739565,37387339,24997221,77767406
H13,1441000,4064466,36064156,23170962,75567225
H14,2016600,4171407,35075975,20385789,75045748
H15,2715300,3785808,35062894,17385870,73849877
H16,1263800,3730812,33576895,14811123,62740937
H17,1241000,3800987,31850166,11399708,57077453
H18,477700,3839839,29236904,11806717,46671803
H19,621200,3849715,26663162,15477271,48894797
H20,1457600,3695199,24984359,14172252,46570579
H21,983600,3149473,23304510,12139688,44793199
H22,1327400,3011032,22055125,10914048,45097628
H23,893000,2800439,20533557,8450729,42449968
H24,768800,2680491,18964466,10962465,43404602
H25,1136600,2587758,17810921,10540180,31864996
H26,427200,2458788,16024807,9509002,26638350
H27,1795600,2075300,15950156,7075186,26517433
H28,1707800,2104563,15714810,10625723,31019548
H29,1452300,1945048,15358403,11846360,34422984
H30,571100,2022312,14024838,12197145,33127761
R1,2004600,2050136,14079191,10846366,27091884
R2,1882100,1994771,14042629,7997217,23362343
R3,3379400,1918926,15561318,6832582,25623997
