年度,特別交付税,震災復興特別交付税
H11,"223,000",
H12,"239,009",
H13,"224,021",
H14,"215,082",
H15,"194,110",
H16,"169,165",
H17,"144,043",
H18,"108,032",
H19,"89,813",
H20,"87,572",
H21,"88,022",
H22,"80,522",
H23,"89,467",19
H24,"103,651",13
H25,"92,030",48
H26,"72,750",31
H27,"72,013",115
H28,66020,51
H29,65736,107
H30,61113,88
R1,73763,68
R2,54577,82
R3,55889,24
