年度,市町村類型,交付税種地区分,国勢調査-人口（人）,"住民基本台帳-年度末（人）
※平成25年度からは各年度の１月１日の人口",住民基本台帳-65才以上人口（人）,普通会計職員数(人),歳入総額（千円）,歳出総額（千円）,歳入歳出差引額（千円）,翌年度へ繰り越すべき財源（千円）,実質収支（千円）,単年度収支（千円）,積立金（千円）,繰上償還額（千円）,積立金取崩額（千円）,実質単年度収支（千円）,基準財政需要額(千円）,基準財政収入額（千円）,標準財政規模（千円）,財政力指数-３年平均,財政力指数-単年度,実質収支比率(%),経常一般財源比率(%),公債費比率(%),起債制限比率(%),公債費負担比率(%),実質公債費比率(%),経常収支比率(%),現債高倍率(%),地方債現在高（千円）,債務負担行為限度額（千円）,債務負担行為翌年度以降支出予定額（千円）,積立金現在高（千円）,積立金現在高のうち財政調整基金（千円）,土地開発基金現在高（千円）,積立金取崩額（千円）,収益事業収入（千円）
S57,Ⅲ-5,乙-8,95248,102779,,784,24310605,23641846,668759,131053,537706,258763,64040,,188000,134803,7816665,6371335,9921132,,,0.054,,0.093,0.05,0.093,,0.845,,15140554,,29724274,4444533,738261,,,540000
S58,Ⅲ-5,乙-8,95248,109339,,798,31365089,30680884,684205,82961,601244,63538,41545,,,105083,8447499,7300006,10827096,0.81,0.86,0.056,,0.138,0.06,0.117,,0.863,,21343173,,25667744,4077964,779806,,0,550000
S59,Ⅲ-5,乙-8,95248,116405,,795,27675258,27025247,650011,207956,442055,-159189,42340,,,-116849,8869911,7907116,11463465,0.86,0.89,0.039,,0.103,0.054,0.089,,0.854,,24045779,,20534350,4585434,822146,,30000,580000
S60,Ⅲ-5,乙-8,122131,122326,5866,796,29317464,28660537,656927,17594,639333,197278,204444,,,401722,9672148,9077733,12656110,0.9,0.94,0.051,,0.11,0.058,0.095,,0.84,,26089991,,18653265,5003399,1026590,349669,172120,595000
S61,Ⅲ-5,乙-8,122135,127895,6237,804,34237776,33224317,1013459,138415,875044,235711,113647,,,349358,10531233,10435328,13951147,0.94,0.99,0.063,1.053,0.103,0.051,0.087,,82.3(81.1),1.997,27858568,,17272966,4511975,1140237,349669,3603544,650000
S62,Ⅲ-5,乙-8,122135,133511,6675,819,31691054,30649858,1041196,28668,1012528,137484,50948,416080,,604512,11237960,12102840,16081179,1.01,1.08,0.063,1.04,0.095,0.056,0.101,,0.798,1.727,27770370,,15430065,5377697,1191185,349669,1633559,800000
S63,Ⅲ-5,乙-9,122135,137050,7131,833,30772009,30063340,708669,96375,612294,-400234,55948,462366,,118080,12271899,13306824,17679438,1.051,1.084,0.035,1.076,0.085,0.049,0.091,,0.755,1.544,27291231,,24798460,8122170,1247133,349669,,470000
H1,Ⅲ-5,乙-9,122135,139289,7598,858,35857297,34568908,1288389,521805,766584,154290,66700,247376,,468366,13654946,15589392,20713812,1.101,1.142,0.037,1.038,0.072,0.041,0.072,,0.738,1.358,28129168,61212346,25848271,10732549,1313833,349669,,1050000
H2,Ⅲ-5,乙-9,144490,141190,8095,866,39082417,37945766,1136651,356331,780320,13736,1098426,,,1112162,14728143,16354759,21730074,1.112,1.11,0.036,1.092,0.073,0.037,0.058,,0.733,1.32,28683999,,,13657852,2412259,349669,,1300000
H3,Ⅲ-5,乙-9,144489,143158,8690,900,43009602,41906262,1103340,181114,922226,141906,156651,332840,,631397,15829669,18503368,24589678,1.14,1.169,0.038,1.048,0.069,0.035,0.069,,0.759,1.166,28678008,62262431,21592718,14438233,2568910,1000000,1010000,1500000
