年度,市税,地方譲与税等,国庫支出金,都支出金,繰入金,地方債,その他,市税の内訳-個人市民税,市税の内訳-法人市民税,市税の内訳-固定資産税・都市計画税,市税の内訳-その他
S57,9106623,1949717,3110222,2406395,625119,2796200,4316329,4416701,438715,3793301,457906
S58,10606933,1657876,4571665,2481508,1086734,7264800,3695573,5258708,474918,4343232,530075
S59,11444459,1492221,4145563,2920035,41970,3400100,4230910,5520939,617634,4706504,599382
S60,13208724,1138778,4071349,3493583,180089,2876600,4348341,6623070,678843,5243910,662901
S61,15192248,771996,3237318,3824348,3605820,2611000,4995046,7509866,810234,5845290,1026858
S62,17312767,784254,2517386,4160571,1634053,1295200,3986823,8771118,1223931,6499629,818089
S63,18784459,1533463,1313453,4399218,652,1022600,3718164,9790655,1420935,6702342,870527
H1,20608808,2295783,1566315,4652313,811,2252300,4480967,10691663,1787652,7512763,616730
H2,22165888,2900961,1667018,4960457,490,1805100,5582503,11681514,1625342,8271879,587153
H3,24518677,2640413,2545369,5238001,1030488,1682200,5354454,12564466,1734904,9565883,653424
H4,26604676,2093171,2173520,5421290,1185706,1999900,5680370,13349580,1978725,10560961,715410
H5,26948327,2289742,2665905,5736960,961981,1456800,4891553,13286551,1523696,11394902,743178
H6,27237367,2455429,1792229,5539420,598487,2523500,4847895,11568447,1597759,12894924,1176237
H7,28480304,2547799,2168960,5752308,1340058,2746100,7855522,12012824,2485195,13203627,778658
H8,29291184,2205765,2773805,5633632,3868509,6005200,5456652,11798442,3278558,13549628,664556
H9,29549363,5027765,2621700,5807207,1865232,5232900,2170663,12729392,2432668,13634213,753090
H10,29121044,2934295,5416191,6479767,1625829,3861300,3569921,11699902,2316310,14366151,738681
H11,29732080,3584417,5638683,5671968,298818,2798500,4118484,11045170,3271454,14657927,757529
H12,28761291,4495059,2630351,5338069,962901,2740800,3324534,10587796,2934840,14445027,793628
H13,28355193,4556045,2753423,5236568,208183,1441000,3291186,10366713,2289122,14893577,805781
H14,27844783,3713474,2786502,4989509,1164735,2016600,2987996,10178101,1802023,15025073,839586
H15,26476482,3852492,3564146,4874213,514508,2715300,2471856,9577486,1684536,14371758,842702
H16,26939055,4261042,3782435,4839314,931696,1263800,2765517,9136845,2599200,14272014,930996
H17,27550456,4562806,3998599,4799640,115798,1241000,3007943,9392494,3080720,14239452,837790
H18,27867998,4756232,3810216,4961880,335209,477700,2304725,10291657,2911395,13823857,841089
H19,28901180,3192924,4314683,5248036,995070,621200,2976993,11203989,2803795,14064105,829291
H20,28942916,2998809,7240955,5425388,1555705,1457600,2870853,11495391,2503459,14125787,818279
H21,28525105,2826977,4982415,5990853,1239862,983600,4995927,11375543,2075603,14264329,809630
H22,27888792,2759582,5823737,6935051,1164601,1327400,5129235,10596817,1921269,14543410,827296
H23,28417058,2746982,6379907,6842400,1298275,893000,3361698,10382721,2353099,14771056,910182
H24,27532659,2567019,7216567,6443183,1789903,768800,3679857,10272133,2323225,14041001,896300
H25,27792396,2748037,7909804,6767104,2311817,1136600,3512454,10158497,2245199,14409132,979568
H26,28716557,3176067,7750384,6465401,1372204,427200,4097501,10465203,2416323,14861586,973445
H27,28683356,4626612,8466687,6630000,2220138,1795600,3689669,10644679,2033260,15043209,962208
H28,28317204,3969945,8281926,6836744,1998001,1707800,3688643,10463702,1701875,15198836,952791
H29,28629843,4176122,8434768,7034915,1457253,1452300,5638884,10540760,1616466,15572079,900538
H30,29237529,3658357,8347793,7051530,1169537,571100,4893968,10624891,2181601,15551213,879824
R1,29148873,3674427,9238319,7800381,2302706,2004600,3381629,10720236,1701544,15831188,895905
R2,29446609,257090,27039848,8501149,634178,1882100,7216508,10790163,1820656,15953977,881813
R3,29291044,267707,15794393,8914377,4460042,3379400,9535433,10601037,1438929,16300680,950398
