年度,歳入総額,一般財源等,特定財源,自主財源,依存財源,経常的収入,経常的経費,臨時的収入,経常一般財源,経常特定財源
H3,43009602,29881173,13128429,30903619,12105983,30178162,26084987,12831440,25766545,4411617
H4,45158633,31339021,13819612,33470752,11687881,31762162,28548635,13396471,27015929,4746233
H5,44951268,31765375,13185893,32801861,12149407,32404757,29445339,12546511,27421594,4983163
H6,44994327,32832331,12161996,32683749,12310578,33095592,30126941,11898735,27812341,5283251
H7,50891051,37097975,13793076,37675884,13215167,34642633,31463353,16248418,29059483,5583150
H8,55234747,35586498,19648249,38617047,16617700,35227407,32576426,20007340,29447328,5780079
H9,52274830,34336805,17938025,36555258,15719572,35581598,34184858,16693232,29509515,6072083
H10,53008347,35538645,17469702,34316794,18691553,36162173,35125597,16846174,29833628,6328545
H11,51842950,35295542,16547408,34149382,17693568,37925259,35821192,13917691,31086112,6839147
H12,48253005,35378784,12874221,33048726,15204279,37227282,35086857,11025723,31068213,6159069
H13,45841598,34903671,10937927,31854562,13987036,37254899,35875663,8586699,30713194,6541705
H14,45503599,34704490,10799109,31974266,13529333,36182634,36550313,9320965,29385085,6797549
H15,44468997,34238181,10230816,29462846,15006151,35703013,36447393,8765984,28284386,7418627
H16,44782859,34292512,10490347,30614099,14168760,37038565,36119424,7744294,29189452,7849113
H17,45276242,35108375,10167867,30649751,14626491,38030801,36454785,7245441,30121492,7909309
H18,44513960,33955721,10558239,30461577,14052383,38712940,37195992,5801020,30743827,7969113
H19,46250086,34627685,11622401,32834280,13415806,38703617,37506241,7546469,30218481,8485136
H20,50492226,34372710,16119516,33328249,17164027,38874709,37443536,11617517,30047407,8827302
H21,49544739,34496115,15048624,32464871,17079868,38624303,37578041,10920436,29445691,9178612
H22,51028398,36193639,14834759,34148540,16879858,39910083,39983874,11118315,28733989,11176094
H23,49939320,34897592,15041728,33077031,16862289,41055454,40039005,8883866,29217371,11838083
H24,49997988,33998529,15999459,33002419,16995569,40681275,39962201,9316713,28481500,12199775
H25,52178212,34226739,17951473,33616667,18561545,41535002,40439130,10643210,28931892,12603110
H26,52005314,35549188,16456126,34186262,17819052,43303884,41518847,8701430,30267777,13036107
H27,56112062,36847182,19264880,34593163,21518899,45604541,42581529,10507521,31678118,13926423
H28,54800263,35710306,19089957,34003848,20796415,44862819,42877850,9937444,30641644,14221175
H29,56824085,37760271,19063814,35725980,21098105,45908853,43279363,10915232,31150692,14758161
H30,54929814,37026470,17903344,35301034,19628780,46335514,44159589,8594300,31265341,15070173
R1,57550935,36325552,21225383,34833208,22717727,46705635,44572990,10845300,31169974,15535661
R2,74977734,37425554,37552180,33301861,41675873,47874237,44666695,27103497,32052819,15821418
R3,71642396,39203771,32438625,33146296,38496100,49083158,45293123,22559238,32705090,16378068
