年度,自主財源-市税,自主財源-分担金及び負担金,自主財源-使用料,自主財源-手数料,自主財源-財産収入,自主財源-寄附金,自主財源-繰入金,自主財源-繰越金,自主財源-諸収入,依存財源-地方譲与税,依存財源-利子割交付金,依存財源-配当割交付金,依存財源-株式等譲渡所得割交付金,依存財源-地方消費税交付金,依存財源-ゴルフ場利用税交付金,依存財源-特別地方消費税交付金,依存財源-自動車取得税交付金,依存財源-自動車税環境性能交付金,依存財源-法人事業税交付金,依存財源-国有提供施設等所在市町村助成交付金,依存財源-地方特例交付金,依存財源-地方交付税,依存財源-交通安全対策特別交付金,依存財源-分担金及び負担金,依存財源-国庫支出金,依存財源-都支出金,依存財源-繰越金,依存財源-市債
H14,27844783,368634,556331,400314,305945,0,1163960,1021185,359679,317185,330580,0,0,1300718,54637,0,332064,-,-,17848,1120758,215082,24602,3201,2776927,4972566,0,2016600
H15,26476482,383186,578003,407758,17367,0,513760,767262,477567,335561,252167,0,0,1510903,49579,0,411882,-,-,17755,1054582,194110,25953,12458,3393567,4873795,0,2764300
H16,26939055,329365,576982,385872,87389,0,931030,920849,527134,607952,207579,54466,55934,1699394,47105,0,379124,-,-,18809,997068,169165,24446,0,3721438,4838903,0,4301900
H17,27550456,381593,572359,347407,18073,0,114862,1396419,314227,878684,187890,88514,128679,1573387,44709,0,411165,-,-,18667,1062875,144043,24193,0,3979812,4797228,0,1241000
H18,27867998,360603,467129,329937,82512,300,334626,759415,322179,1185090,200502,118794,105750,1628900,43334,0,424867,-,-,18325,897071,108032,25567,0,3793990,4961339,0,477700
H19,28901180,390792,474215,393013,78851,300,994336,1292734,370397,355476,272110,134236,91929,1592753,42806,0,374127,-,-,19029,195936,89813,24709,0,4298948,5241196,0,621200
H20,28942916,414252,343174,676113,97779,1076,1554951,1007283,336279,336704,216836,63195,22039,1525838,40767,0,337810,-,-,18892,327367,87572,21789,0,7237069,5424975,0,1457600
H21,28525105,456974,306427,622650,74716,715,1239857,947537,332846,315162,167853,50809,21510,1624967,38117,0,162740,-,-,18714,317122,88022,21961,0,4991342,5973390,2261601,983600
H22,27888792,476230,307461,606614,1557745,366,1164598,1863745,322498,289142,166837,62940,19382,1622176,34196,0,175855,-,-,50424,237199,80522,20909,0,6370691,6381635,0,1327400
H23,28417058,481929,305883,602709,49187,292,1298272,1519037,431026,286809,155639,69322,15407,1615717,33016,0,144211,-,-,34833,282298,89486,20244,0,6981857,6210912,0,893000
H24,27532659,485364,301334,606604,125487,160,1789900,1793124,364989,267956,149205,75386,19347,1605678,33449,0,162843,-,-,31345,98268,103664,19878,0,7221377,6436830,0,768800
H25,27792396,493610,342403,629789,48727,1100,2311815,1576604,415947,254935,188788,127960,166272,1591992,34273,0,158444,-,-,25520,89260,92078,18515,0,7927480,6748409,0,1136600
H26,28716557,522252,376466,611209,46893,2448,1372202,1844982,687473,242414,187411,235155,197008,2002615,26558,0,81225,-,-,25550,90035,72781,15316,0,7756715,6459070,0,427200
H27,28683356,591858,301451,612548,59565,10610,2220130,1072151,1035249,253436,158830,189966,186392,3492868,33596,0,114460,-,-,25622,83679,72128,15635,0,8466571,6630116,0,1795600
H28,28317204,599370,301085,641500,62359,12550,1998001,1582588,492346,250516,43303,141266,82012,3102406,34036,0,114568,-,-,26369,94323,66071,15075,0,8271858,6836744,0,1707800
H29,28629843,631814,309179,662080,1490206,12295,1443453,2088967,466785,249284,45666,187847,187782,3126755,32285,0,143717,-,-,25999,96504,65843,14440,0,8421574,7032249,0,1452300
H30,29237529,638131,341795,662873,1176809,64693,1169537,1567927,441740,251237,47849,159145,129223,2667494,33234,0,150536,-,-,24324,120469,61201,13645,0,8347793,7051530,0,571100
R1,29148873,447955,310153,666625,64342,15317,2302706,1345185,532052,254287,35450,175699,107788,2553107,33811,0,75469,26668,-,25535,298986,73831,13796,0,9238319,7800381,0,2004600
R2,29446609,213986,291470,626295,69103,17530,634178,1589244,413446,257090,33275,160700,186667,3186069,25800,0,22,45652,110812,25714,150822,54659,15242,0,27039848,8501401,0,1882100
R3,29291044,263045,306917,633376,91666,12957,4460042,2948302,460906,267707,30666,219606,267737,3477234,32830,0,1,60164,345003,25654,287327,55913,16129,0,15794393,8914377,0,3379400
