年　度,地方交付税総額,普通交付税,特別交付税,震災復興特別交付税
S57,1576320,1463687,112633,
S58,1249651,1136630,113021,
S59,1076044,963009,113035,
S60,720192,594232,125960,
S61,210129,80634,129495,
S62,129544,0,129544,
S63,152932,0,152932,
H1,166410,0,166410,
H2,183906,0,183906,
H3,190289,0,190289,
H4,193758,0,193758,
H5,181585,0,181585,
H6,182512,0,182512,
H7,183162,0,183162,
H8,186179,0,186179,
H9,188779,0,188779,
H10,258249,0,258249,
H11,223000,0,223000,
H12,239009,0,239009,
H13,224021,0,224021,
H14,215082,0,215082,
H15,194110,0,194110,
H16,169165,0,169165,
H17,144043,0,144043,
H18,108032,0,108032,
H19,89813,0,89813,
H20,87572,0,87572,
H21,88022,0,88022,
H22,80522,0,80522,
H23,89486,0,89467,19
H24,103664,0,103651,13
H25,92078,0,92030,48
H26,72781,0,72750,31
H27,72128,0,72013,115
H28,66071,0,66020,51
H29,65843,0,65736,107
H30,61201,0,61113,88
R1,73831,0,73763,68
R2,54659,0,54577,82
R3,55913,0,55889,24
