年度,基金残高合計,財政調整基金残高,公共施設整備基金残高,その他の基金,積立額,取崩額
S58,4077964,779806,0,3298158,718556,0
S59,4585434,822146,0,3763288,537470,-30000
S60,5003399,1026590,0,3976809,590085,-172120
S61,4511975,1140237,2743056,628682,3112120,-3603544
S62,5377697,1191185,2635279,1551233,2499281,-1633559
S63,8122170,1247133,4190809,2684228,2744473,0
H1,10732549,1313833,6075255,3343461,2610379,0
H2,13657852,2412259,6972678,4272915,2925303,0
H3,14438233,2568910,6477032,5392291,1790381,-1010000
H4,14237330,2693552,5772532,5771246,964283,-1165186
H5,14332336,2764573,5632782,5934981,995006,-900000
H6,14552652,3121725,5277997,6152930,720316,-500000
H7,16865270,2526987,7600783,6737500,3644618,-1332000
H8,13620122,2736726,3812124,7071272,600652,-3845800
H9,12106600,2370313,2431227,7305060,310865,-1824387
H10,10631012,1857676,1343748,7429588,144412,-1620000
H11,11197782,1859230,1075976,8262576,836770,-270000
H12,9921157,1910181,757237,7253739,310255,-1586880
H13,10053459,2080947,707531,7264981,325586,-193284
H14,9355347,1781196,707663,6866488,1888,-700000
H15,8850343,1335015,707766,6807562,1576,-506580
H16,9385006,2397435,990511,5997060,1447023,-912360
H17,10410383,2397923,1997952,6014508,1060677,-35300
H18,10526941,2449596,2000218,6077127,326558,-210000
H19,9859728,1722237,1857789,6279702,272511,-939724
H20,9115894,1439451,1246068,6430375,758759,-1502593
H21,8907714,1430413,1023205,6454096,1023128,-1231308
H22,10377934,1402194,2409792,6565948,2622880,-1152660
H23,10201810,1203008,2417012,6581790,1116217,-1292341
H24,11080089,2078259,2411440,6590390,2055375,-1177096
H25,11023450,2607287,2603869,5812294,2251968,-2308607
H26,12445005,3417998,2889328,6137679,2785567,-1364012
H27,13057003,3521114,2432769,7103120,2822116,-2210118
H28,13226474,3563367,1940298,7722809,2160680,-1991209
H29,16581970,3562459,3718176,9301335,4780326,-1424830
H30,19146865,4003069,4891323,10252473,3703477,-1138582
R1,18697549,3557195,4844453,10295901,1832849,-2282165
R2,19319431,3751627,4819472,10748332,1240784,-618902
R3,17618844,4033548,5180301,8404995,2737181,-4437768
