年度,経常,投資,その他(公債等）,臨時財政対策債振替相当額,基準財政需要額,錯誤措置額（需要）,需要額,基準財政収入額,錯誤措置額（収入）,収入額,交付基準額,調整額,交付額
H12,14933362,4425850,1114848,-,20474060,-,20474060,23471502,-,23471502,-2997442,-,0
H13,14904931,4075576,1084046,-,20064553,-,20064553,24685603,-,24685603,-4621050,-,0
H14,14269627,3663692,1176291,-,19109610,-,19109610,22578136,-,22578136,-3468526,-,0
H15,15151853,3835424,1263097,2749809,17500565,-,17500565,20936813,-,20936813,-3436248,-,0
H16,15107138,3064988,1345760,1991503,17526383,-,17526383,21054239,-,21054239,-3527856,-,0
H17,15120055,2721420,1417116,1530173,17728418,-,17728418,22296573,-,22296573,-4568155,-,0
H18,15644181,2371315,1546198,1391739,18169955,-,18169955,23277768,-,23277768,-5107813,-,0
H19,14740500,3147490,1762714,1262582,18388122,-,18388122,23152616,-,23152616,-4764494,-,0
