"年度","出前授業講座件数[件]","学習支援ボランティア登録団体件数[件]","出前授業実績件数[件]","職場体験登録団体件数[件]"
"2014","70","36","10","67"
"2015","123","68","83","67"
"2016","146","81","97","68"
"2017","189","98","117","70"
"2018","198","98","141","70"

"令和元年度港区行政資料集　学校支援地域本部事業","Ver201903",,,
