No.,名称,所在地,面積（㎡),開園年月日,区有地,国有地,都有地,民有地,利用時間等の制限,備考,だれでもトイレ,簡易型だれでもトイレ,ユニットトイレ,緯度,経度
1,駒場児童遊園,駒場1-26-5,640.74,S40.12.18,有,,,,,,,,有,35.65711724,139.6857594
2,日向児童遊園,青葉台1-6-47,300.02,S47.4.11,有,,,,,,,有,,35.6473532,139.6987044
3,大坂上児童遊園,青葉台4-7-29,735.16,S46.10.21,有,,,,,,,,有,35.65408493,139.6912604
4,小川児童遊園,東山1-21-3,152.06,S35.5.24,有,,,,,,,,,35.64663809,139.6933146
5,東山中児童遊園,東山2-10-14,413.22,S47.4.11,有,,,,,,,,,35.64767562,139.6903909
6,東山児童遊園,東山3-13-16,914,S27.3.31,有,,,,,,有,,,35.64986453,139.6854576
7,氷川台児童遊園,大橋2-15-9,325.7,S59.4.9,有,有,,,,,,,有,35.65312771,139.6885121
8,宮下児童遊園,大橋2-18-32,351.53,S41.1.21,,有,,,,,,,有,35.65249368,139.6867506
9,目黒銀座児童遊園,上目黒2-14-9,"1,362.27",S28.6.5,有,有,,有,,,有,,,35.64283398,139.6977245
10,烏森児童遊園,上目黒3-21-28,300.25,S61.5.31,有,,,,,,,,有,35.6454548,139.69298
11,上四児童遊園,上目黒4-1-37,387.04,S36.10.12,有,有,,,,,,有,,35.64235099,139.6910062
12,中目黒一丁目児童遊園,中目黒1-1-10,882.56,H1.3.30,有,有,,,,,,,有,35.64558456,139.7034589
13,別所坂児童遊園,中目黒2-1-15,"1,064.92",S42.11.14,有,,,,有,,,,,35.64333857,139.7039911
14,三田西児童遊園,三田2-4-1,310.28,S49.11.1,有,,,,,,,,有,35.6413276,139.711233
15,茶屋坂児童遊園,三田2-6-25,451.95,S54.12.1,有,,,,,,,,有,35.6409056,139.7097612
16,目黒東児童遊園,目黒1-9-15,621.48,S27.11.21,有,,,,,,,,有,35.63593365,139.7113281
17,下二児童遊園,下目黒2-6-1,319.59,S42.5.19,有,,,,,,,有,,35.63083098,139.7125101
18,不動前児童遊園,下目黒3-7-9,189.2,H3.3.15,有,,,,,,,,,35.62875138,139.7112212
19,下五児童遊園,下目黒5-33-6,361.48,S44.3.24,有,,,,,,,,有,35.62598464,139.7029381
20,下六児童遊園,下目黒6-16-3,526.64,S57.12.27,有,,,,,,,,有,35.62902846,139.6983602
21,油面住区ｾﾝﾀ-児童遊園,中町1-6-20,391.1,S62.3.30,有,,,,,,,,有,35.63093503,139.6998948
22,五本木児童遊園,五本木1-9-1,537.32,S42.3.27,有,,,,,,,有,,35.63936693,139.6915247
23,上目黒住区ｾﾝﾀ-児童遊園,祐天寺2-6-18,499.68,S55.6.1,有,,,,,,,,,35.63733895,139.6933335
24,中央町一丁目児童遊園,中央町1-14-6,617.64,S55.7.7,有,,,,,一時閉鎖中,,,,35.62866283,139.6916343
25,唐ヶ崎児童遊園,中央町2-24-1,804.29,S27.3.31,,,,有,,,,有,,35.63077828,139.6915959
26,五本木東児童遊園,中央町2-30-9,317.6,S57.12.27,有,,,,,,,,,35.63216002,139.6887274
27,清水東児童遊園,目黒本町1-11-11,476.93,S47.12.25,有,,,,,,,,有,35.62638039,139.6957633
28,清水町児童遊園,目黒本町2-3-16,910.01,S40.4.23,有,,,,,,,,有,35.62533029,139.6937835
29,月光町児童遊園,目黒本町4-3-5,341.26,S52.5.30,有,,,,,,,,有,35.62337968,139.6975767
30,東町南児童遊園,目黒本町5-7-18,647.47,S27.3.31,有,,,,,,,,有,35.61702248,139.6985131
31,東原児童遊園,目黒本町5-22-20,595.04,S43.1.26,有,,,,,,,,有,35.61939931,139.6988054
32,向原町児童遊園,目黒本町6-3-22,683.3,S27.3.31,有,,,,,,,,有,35.62111307,139.6971622
33,向原おもだか児童遊園,目黒本町6-17-10,451.21,H1.3.30,有,,,,,,,,有,35.61816247,139.6949754
34,原町児童遊園,原町2-2-15,439.66,S43.11.14,有,,,,,,,,有,35.6163,139.6920514
35,洗足二丁目児童遊園,洗足2-28-16,502.69,S57.12.24,有,,,,,,,,有,35.60900851,139.6951883
36,碑文谷五丁目児童遊園,碑文谷5-23-13,692,S50.7.15,有,,,,,,,有,,35.62405613,139.6802062
37,鷹番児童遊園,鷹番2-9-6,314.9,S56.10.1,有,,,,,,,,有,35.62891091,139.6884687
38,三谷児童遊園,鷹番3-19-3,600.06,S49.5.18,有,,,,,,有,,,35.62980535,139.6834772
39,桜森児童遊園,平町1-16-15,320.33,S52.5.30,有,,,,,,有,,,35.61634315,139.6786908
40,平町児童遊園,平町2-18-5,497.02,S47.10.16,有,,,,,,,,有,35.6132545,139.6822202
41,大岡山児童遊園,大岡山1-17-8,390.59,S43.10.31,有,,,,,,有,,,35.61050116,139.6835786
42,緑が丘児童遊園,緑が丘1-13-8,583.16,S45.6.19,有,,,,,,有,,,35.60920252,139.6777626
43,緑が丘西児童遊園,緑が丘2-22-24,330.57,S45.11.28,有,,,,,,,有,,35.6121559,139.6718961
44,柿の木坂西児童遊園,柿の木坂1-22-13,448.45,S50.6.2,有,,,,,,,,有,35.62280413,139.6757388
45,柿の木坂児童遊園,柿の木坂2-29-1,645.79,S46.10.19,有,,,,,,,有,,35.62571404,139.6733879
46,曽根児童遊園,柿の木坂3-6-9,346.24,S55.2.25,有,,,,,,,,有,35.6283563,139.6729461
47,第二曽根児童遊園,柿の木坂3-9-24,290.04,H2.3.15,,,,有,,,,,,35.62767002,139.6728035
48,八雲児童遊園,八雲1-2-11,264.46,S27.3.31,有,,,,,,,有,,35.61944859,139.6740845
49,宮前児童遊園,八雲3-14-17,292,S44.12.23,有,,,,,,,有,,35.61643884,139.6663172
