,,,,(単位：トン）,,
品種,,民間,,,,
,,合計,,,,
,,計,輸出,輸入,,
合計,,"2,720,358","486,752","2,233,606",,
農水産品,,"645,381","1,964","643,417",,
1,麦,30,-,30,,
2,米,165,-,165,,
3,とうもろこし,60,-,60,,
4,豆類,720,17,703,,
5,その他雑穀,-,-,-,,
6,野菜・果物,"585,497",252,"585,245",,
7,綿花,-,-,-,,
8,その他農産品,"10,857",88,"10,769",,
9,羊毛,-,-,-,,
10,その他畜産品,"29,901","1,064","28,837",,
11,水産品,"18,151",543,"17,608",,
林産品,,"36,861","2,722","34,139",,
12,原木,71,-,71,,
13,製材,"35,275","2,692","32,583",,
14,樹脂類,-,-,-,,
15,木材チップ,15,-,15,,
16,その他林産品,30,30,-,,
17,薪炭,"1,470",-,"1,470",,
鉱産品,,"35,348","6,841","28,507",,
18,石炭,450,-,450,,
19,鉄鉱石,30,-,30,,
20,金属鉱,-,-,-,,
21,砂利・砂,270,-,270,,
22,石材,"31,689","4,593","27,096",,
23,原油,-,-,-,,
24,りん鉱石,-,-,-,,
25,石灰石,-,-,-,,
26,原塩,60,-,60,,
27,非金属鉱物,"2,849","2,248",601,,
金属機械工業品,,"651,974","111,565","540,409",,
28,鉄鋼,258,12,246,,
29,鋼材,"4,011","1,660","2,351",,
30,非鉄金属,"7,377",586,"6,791",,
31,金属製品,"79,993","7,295","72,698",,
32,鉄道車両,-,-,-,,
33,完成自動車,429,50,379,,
34,その他輸送用車両,"10,174",122,"10,052",,
35,二輪自動車,364,15,349,,
36,自動車部品,"84,951","31,452","53,499",,
37,その他輸送機械,"8,039",444,"7,595",,
38,産業機械,"183,680","39,542","144,138",,
39,電気機械,"222,719","14,486","208,233",,
40,測量・光学・医療用機械,"32,840","15,446","17,394",,
41,事務用機器,"15,637",432,"15,205",,
42,その他機械,"1,502",23,"1,479",,
化学工業品,,"203,607","102,211","101,396",,
43,陶磁器,"6,266",53,"6,213",,
44,セメント,"2,281",60,"2,221",,
45,ガラス類,"26,268","2,431","23,837",,
46,窯業品,"5,531","2,270","3,261",,
47,重油,-,-,-,,
48,揮発油,-,-,-,,
49,その他の石油,777,130,647,,
50,LNG/液化天然ガス,-,-,-,,
51,LPG/液化石油ガス,-,-,-,,
52,その他石油製品,707,137,570,,
53,コークス,90,-,90,,
54,石炭製品,300,-,300,,
55,化学薬品,"25,239","5,579","19,660",,
56,化学肥料,"1,020",-,"1,020",,
57,その他化学工業品,"135,128","91,551","43,577",,
軽工業品,,"171,204","9,462","161,742",,
58,紙・パルプ,"54,088","1,589","52,499",,
59,糸及び紡績半製品,422,92,330,,
60,その他繊維工業品,"18,892","2,474","16,418",,
61,砂糖,"1,909",-,"1,909",,
62,製造食品,"90,465","4,459","86,006",,
63,飲料,"4,208",803,"3,405",,
64,水,885,45,840,,
65,たばこ,20,-,20,,
66,その他食料工業品,315,-,315,,
雑工業品,,"707,380","24,095","683,285",,
67,がん具,"36,589","1,313","35,276",,
68,衣服・身廻品・はきもの,"361,487","2,675","358,812",,
69,文房具・運動娯楽用品・楽器,"71,542","5,728","65,814",,
70,家具装備品,"129,493","2,374","127,119",,
71,その他日用品,"24,228","1,940","22,288",,
72,ゴム製品,"17,599","3,994","13,605",,
73,木製品,"41,274",150,"41,124",,
74,その他製造工業品,"25,168","5,921","19,247",,
特殊品,,"268,603","227,892","40,711",,
75,金属くず,"4,323","1,500","2,823",,
76,再利用資材,"201,883","201,313",570,,
77,動植物性製造飼肥料,"6,423",1,"6,422",,
78,廃棄物,-,-,-,,
79,廃土砂,-,-,-,,
80,輸送用容器,"46,015","19,042","26,973",,
81,取合せ品,"9,959","6,036","3,923",,
分類不能のもの,,-,-,-,,
