,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,アジア,,,,,,,,,,,,,,,,,,ヨーロッパ,,品種,,,,,,
,,レバノン,トルコ,,,,,,,,,カタール,,,キプロス,,バーレーン,,,計,ノルウェー,,,,,,,
,,ベイルート,小計,トラブゾン,イスタンブール,イズミト,イズミル,メルシン,ゲムポート,ヤリミカ,諸港(トルコ),小計,ウムサイド,諸港(カタール),小計,リマソル,小計,バーレーン,"諸港
（バーレーン）",,小計,,,,,,,
合計,,52,"22,737",292,"2,930","2,563",340,"3,684","3,224",810,"8,894",844,90,754,30,30,973,225,748,"2,265,212","13,915",合計,,,,,,
農水産品,,-,"4,003",292,281,-,60,380,-,-,"2,990",4,-,4,-,-,727,-,727,"195,107","11,909",農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,470",-,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,-,3,とうもろこし,,,,,
4,豆類,-,45,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,-,113,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,"3,476",-,281,-,60,310,-,-,"2,825",4,-,4,-,-,-,-,-,"8,449",-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,165,-,-,-,-,-,-,-,165,-,-,-,-,-,-,-,-,"21,406",-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,217,-,9,羊毛,,,,,
10,その他畜産品,-,25,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,"117,656",22,10,その他畜産品,,,,,
11,水産品,-,292,292,-,-,-,-,-,-,-,-,-,-,-,-,727,-,727,"45,691","11,887",11,水産品,,,,,
林産品,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"215,639",-,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"211,422",-,13,製材,,,,,
